Date,Open,High,Low,Close,Volume
16-Jun-17,87.30,91.00,87.30,89.45,3881
15-Jun-17,87.80,87.80,84.10,84.10,498
14-Jun-17,88.00,90.95,86.55,88.55,3907
13-Jun-17,86.00,87.85,84.20,87.85,1820
12-Jun-17,82.30,86.00,82.30,86.00,2435
9-Jun-17,85.60,89.00,85.60,88.70,2457
8-Jun-17,83.30,85.25,83.30,84.90,650
7-Jun-17,88.90,88.90,86.60,87.08,1513
6-Jun-17,90.00,90.00,86.98,89.80,6011
5-Jun-17,91.32,91.32,90.50,90.50,671
2-Jun-17,91.37,92.05,91.37,92.00,1518
1-Jun-17,92.00,93.89,91.75,91.75,2868
31-May-17,85.00,92.60,81.80,91.00,21383
30-May-17,90.05,92.00,88.40,90.00,4834
26-May-17,92.05,96.70,88.65,90.25,17545
25-May-17,89.60,92.35,87.50,91.95,15228
24-May-17,80.25,93.00,80.25,89.00,21218
23-May-17,74.65,83.00,74.65,78.55,9273
22-May-17,70.95,75.00,70.95,74.95,908
19-May-17,75.00,75.00,74.75,74.75,508
18-May-17,70.60,75.00,70.60,73.50,1121
17-May-17,75.85,76.10,72.70,73.05,19673
16-May-17,74.20,76.95,74.20,76.15,4797
15-May-17,69.60,76.00,69.60,73.45,4919
12-May-17,70.05,71.70,70.05,70.15,1517
11-May-17,71.10,71.95,71.10,71.95,3578
10-May-17,75.70,75.70,73.65,74.00,23154
9-May-17,72.35,75.50,71.35,75.50,4017
8-May-17,71.60,74.15,71.60,74.15,707
5-May-17,70.28,71.70,65.75,71.70,7582
4-May-17,69.15,69.65,67.35,69.65,4008
3-May-17,71.05,71.75,67.65,70.55,3567
2-May-17,77.25,77.25,70.46,71.75,10139
1-May-17,76.90,77.00,73.55,75.05,16259
28-Apr-17,73.54,77.95,73.54,76.25,6596
27-Apr-17,74.15,74.15,71.55,73.80,1748
26-Apr-17,74.50,75.00,74.00,74.50,1596
25-Apr-17,74.50,75.00,74.50,74.85,2479
24-Apr-17,71.65,75.25,68.50,72.25,6456
21-Apr-17,68.80,74.40,68.80,69.80,8319
20-Apr-17,74.00,76.00,63.20,70.35,69883
19-Apr-17,73.20,73.50,72.33,73.00,6601
18-Apr-17,75.00,75.00,69.75,72.95,7087
17-Apr-17,72.73,75.00,71.00,73.50,6923
13-Apr-17,72.60,72.60,70.90,72.00,2283
12-Apr-17,70.00,71.75,68.20,71.14,8251
11-Apr-17,69.00,70.50,67.16,69.60,6638
10-Apr-17,66.70,70.00,65.50,69.00,3551
7-Apr-17,64.95,67.85,64.42,67.00,4654
6-Apr-17,65.95,65.95,64.24,64.75,2366
5-Apr-17,67.40,67.40,63.61,64.00,10077
4-Apr-17,71.85,71.85,66.50,67.00,8230
3-Apr-17,75.20,75.25,71.05,72.80,7835
31-Mar-17,73.01,77.00,73.01,75.25,13017
30-Mar-17,67.40,75.00,67.40,75.00,43275
29-Mar-17,67.90,69.40,67.00,68.50,7952
28-Mar-17,60.75,69.44,60.75,67.95,50864
27-Mar-17,58.09,62.20,58.09,61.50,7631
24-Mar-17,54.00,59.25,54.00,57.75,13614
23-Mar-17,57.65,61.00,52.85,54.45,73694
22-Mar-17,59.55,65.05,56.85,57.95,22370
21-Mar-17,60.45,61.85,58.50,60.00,11014
20-Mar-17,63.35,64.40,59.14,60.50,19819
17-Mar-17,73.45,73.52,60.10,63.10,30722
16-Mar-17,74.90,76.75,70.20,73.50,4754
15-Mar-17,74.95,77.88,73.10,74.20,5649
14-Mar-17,74.60,76.80,72.30,74.55,5428
13-Mar-17,77.00,78.95,72.12,74.45,5190
10-Mar-17,75.90,79.00,72.40,75.95,8513
9-Mar-17,74.15,78.05,74.05,75.40,5959
8-Mar-17,77.95,78.39,73.75,76.60,4063
7-Mar-17,80.40,80.40,76.75,77.40,9278
6-Mar-17,85.65,89.12,80.60,80.60,8042
3-Mar-17,79.05,85.90,78.75,85.90,20356
2-Mar-17,74.45,79.00,72.27,79.00,5644
1-Mar-17,71.30,76.35,71.30,73.55,3332
28-Feb-17,69.60,70.30,66.62,70.30,9727
27-Feb-17,69.50,72.75,69.50,71.10,3865
24-Feb-17,71.20,71.20,69.57,70.55,5449
23-Feb-17,70.40,72.05,70.20,72.00,7015
22-Feb-17,73.80,77.00,73.35,73.50,6221
21-Feb-17,76.85,76.85,74.85,75.00,1104
17-Feb-17,74.30,77.00,74.30,76.85,7307
16-Feb-17,78.00,78.00,72.30,74.65,11288
15-Feb-17,76.35,78.38,76.35,77.98,3096
14-Feb-17,76.05,78.75,75.00,76.08,3758
13-Feb-17,75.90,78.50,75.00,75.50,7695
10-Feb-17,73.35,77.25,73.35,75.15,3192
9-Feb-17,78.25,78.25,72.05,73.30,5893
8-Feb-17,80.50,84.00,76.18,77.75,10633
7-Feb-17,82.00,84.00,79.15,80.66,5872
6-Feb-17,76.30,80.25,75.70,80.25,10344
3-Feb-17,77.30,77.90,72.45,76.35,8454
2-Feb-17,64.70,83.80,63.70,80.49,13767
1-Feb-17,62.55,65.50,62.55,65.00,3458
31-Jan-17,62.50,62.90,61.00,62.80,5233
30-Jan-17,61.58,63.39,58.88,62.25,4663
27-Jan-17,59.15,62.05,55.00,61.95,12823
26-Jan-17,62.25,62.95,59.00,59.65,10523
