Date,Open,High,Low,Close,Volume
16-Jun-17,0.97,0.99,0.97,0.98,22111
15-Jun-17,0.99,0.99,0.97,0.97,33732
14-Jun-17,1.04,1.08,0.99,0.99,29100
13-Jun-17,0.98,0.98,0.98,0.98,1505
12-Jun-17,0.99,1.00,0.97,0.97,19130
9-Jun-17,0.98,0.99,0.95,0.96,33655
8-Jun-17,0.95,0.97,0.92,0.95,17610
7-Jun-17,0.99,0.99,0.95,0.98,13870
6-Jun-17,1.01,1.05,0.95,0.95,101670
5-Jun-17,1.03,1.03,0.91,1.03,85994
2-Jun-17,1.00,1.02,0.98,1.00,17247
1-Jun-17,0.99,1.00,0.97,0.97,12191
31-May-17,1.04,1.04,0.90,1.01,47160
30-May-17,1.03,1.04,1.03,1.04,12106
26-May-17,1.08,1.09,1.04,1.06,100192
25-May-17,1.04,1.14,1.04,1.08,70244
24-May-17,1.05,1.06,1.02,1.04,47251
23-May-17,1.11,1.14,1.04,1.06,57277
22-May-17,1.15,1.16,1.05,1.13,120417
19-May-17,1.08,1.19,1.05,1.12,104131
18-May-17,1.08,1.14,1.04,1.05,77553
17-May-17,1.10,1.18,1.04,1.09,98283
16-May-17,1.14,1.16,1.00,1.13,228447
15-May-17,1.02,1.18,1.00,1.18,108628
12-May-17,1.00,1.01,0.98,0.99,37288
11-May-17,0.96,0.99,0.96,0.97,14960
10-May-17,0.99,1.02,0.98,0.99,21245
9-May-17,0.95,1.00,0.95,0.97,9438
8-May-17,0.97,0.99,0.94,0.94,43692
5-May-17,1.03,1.03,0.95,0.96,19448
4-May-17,1.02,1.02,0.95,0.95,67302
3-May-17,1.04,1.06,1.03,1.03,13819
2-May-17,1.05,1.06,1.03,1.04,44128
1-May-17,1.05,1.07,1.05,1.07,2237
28-Apr-17,1.02,1.07,1.02,1.05,20784
27-Apr-17,1.07,1.11,1.03,1.03,25068
26-Apr-17,1.05,1.11,1.04,1.11,148320
25-Apr-17,1.07,1.12,1.03,1.08,60001
24-Apr-17,1.08,1.09,1.03,1.03,17040
21-Apr-17,1.07,1.08,1.03,1.06,7861
20-Apr-17,1.07,1.09,1.03,1.03,76504
19-Apr-17,1.09,1.10,1.05,1.05,40826
18-Apr-17,1.08,1.10,1.05,1.06,85227
17-Apr-17,1.08,1.11,1.08,1.08,6912
13-Apr-17,1.05,1.12,1.05,1.06,14960
12-Apr-17,1.02,1.11,1.02,1.08,18580
11-Apr-17,1.17,1.17,1.03,1.03,43816
10-Apr-17,1.15,1.19,1.04,1.12,84341
