Date,Open,High,Low,Close,Volume
16-Jun-17,50.82,50.82,50.75,50.81,25032
15-Jun-17,50.80,50.80,50.69,50.76,25825
14-Jun-17,50.90,50.97,50.82,50.83,6898
13-Jun-17,50.54,50.65,50.54,50.65,8829
12-Jun-17,50.58,50.64,50.55,50.62,6294
9-Jun-17,50.58,50.65,50.56,50.62,5606
8-Jun-17,50.70,50.70,50.58,50.68,14739
7-Jun-17,50.77,50.80,50.67,50.74,9350
6-Jun-17,50.73,50.83,50.73,50.82,10655
5-Jun-17,50.68,50.71,50.63,50.66,10004
2-Jun-17,50.70,50.77,50.64,50.74,10387
1-Jun-17,50.50,50.57,50.50,50.57,13695
31-May-17,50.51,50.60,50.50,50.55,9328
30-May-17,50.50,50.53,50.48,50.53,9704
26-May-17,50.44,50.45,50.39,50.45,13268
25-May-17,50.41,50.43,50.37,50.41,13447
24-May-17,50.24,50.41,50.24,50.38,17867
23-May-17,50.48,50.48,50.23,50.28,36224
22-May-17,50.42,50.55,50.40,50.43,36424
19-May-17,50.45,50.57,50.44,50.57,12669
18-May-17,50.59,50.59,50.50,50.56,8632
17-May-17,50.51,50.60,50.51,50.59,8131
16-May-17,50.28,50.39,50.22,50.32,56518
15-May-17,50.24,50.27,50.15,50.25,28334
12-May-17,50.19,50.25,50.13,50.24,20084
11-May-17,49.96,50.04,49.86,50.04,10357
10-May-17,50.06,50.06,49.96,50.01,22007
9-May-17,49.97,50.00,49.89,50.00,4432
8-May-17,50.05,50.05,49.96,50.00,14613
5-May-17,50.01,50.07,49.97,50.07,12499
4-May-17,50.03,50.06,49.96,50.06,7801
3-May-17,50.21,50.21,50.11,50.13,6899
2-May-17,50.07,50.19,50.04,50.19,20988
1-May-17,50.14,50.21,50.01,50.08,13818
28-Apr-17,50.06,50.18,50.05,50.16,9711
27-Apr-17,50.08,50.15,50.04,50.14,5490
26-Apr-17,49.99,50.10,49.96,50.10,21824
25-Apr-17,50.10,50.12,49.99,49.99,20929
24-Apr-17,50.14,50.19,50.10,50.15,13709
21-Apr-17,50.41,50.44,50.36,50.37,4561
20-Apr-17,50.40,50.42,50.32,50.37,5612
19-Apr-17,50.46,50.46,50.41,50.44,6198
18-Apr-17,50.44,50.64,50.43,50.50,92816
17-Apr-17,50.37,50.37,50.23,50.24,3612
13-Apr-17,50.26,50.35,50.24,50.33,3225
12-Apr-17,50.15,50.26,50.12,50.26,14644
11-Apr-17,50.04,50.17,50.04,50.15,11925
10-Apr-17,49.94,49.98,49.92,49.96,6754
7-Apr-17,50.05,50.06,49.87,49.87,16186
6-Apr-17,49.99,49.99,49.86,49.97,12010
5-Apr-17,49.92,49.96,49.85,49.88,14530
4-Apr-17,49.92,49.97,49.90,49.92,6237
3-Apr-17,49.82,49.98,49.80,49.92,35940
31-Mar-17,49.80,49.82,49.75,49.82,2285
30-Mar-17,49.81,49.81,49.70,49.75,3096
29-Mar-17,49.76,49.86,49.76,49.85,21502
28-Mar-17,49.85,49.86,49.71,49.71,10581
27-Mar-17,49.82,49.87,49.78,49.78,7362
24-Mar-17,49.74,49.86,49.74,49.83,8438
23-Mar-17,49.80,49.83,49.74,49.74,14056
22-Mar-17,49.86,49.86,49.75,49.84,13097
21-Mar-17,49.58,49.78,49.58,49.77,12273
20-Mar-17,49.56,49.62,49.53,49.57,8373
17-Mar-17,49.48,49.55,49.43,49.51,7514
16-Mar-17,49.39,49.46,49.39,49.43,5588
15-Mar-17,49.15,49.52,49.15,49.52,8692
14-Mar-17,49.17,49.18,49.12,49.15,19415
13-Mar-17,49.16,49.21,49.08,49.08,16934
10-Mar-17,49.20,49.24,49.17,49.22,10432
9-Mar-17,49.24,49.24,49.13,49.18,16598
8-Mar-17,49.31,49.36,49.30,49.31,9075
7-Mar-17,49.55,49.55,49.50,49.52,9686
6-Mar-17,49.59,49.62,49.53,49.62,49656
3-Mar-17,49.61,49.65,49.50,49.65,10135
2-Mar-17,49.63,49.63,49.52,49.62,35798
1-Mar-17,49.67,49.71,49.60,49.68,32802
28-Feb-17,49.99,50.01,49.93,49.93,3848
27-Feb-17,50.00,50.02,49.93,49.93,10857
24-Feb-17,49.96,50.07,49.91,50.00,8469
23-Feb-17,49.81,49.87,49.79,49.87,4394
22-Feb-17,49.74,49.79,49.60,49.74,55407
21-Feb-17,49.57,49.83,49.57,49.73,25059
17-Feb-17,49.72,49.73,49.66,49.71,7853
16-Feb-17,49.57,49.79,49.57,49.63,6417
15-Feb-17,49.55,49.61,49.49,49.61,11907
14-Feb-17,49.56,49.72,49.52,49.65,9792
13-Feb-17,49.73,49.82,49.72,49.82,4931
10-Feb-17,49.69,49.80,49.69,49.79,2219
9-Feb-17,49.95,49.95,49.78,49.78,26633
8-Feb-17,50.00,50.00,49.87,49.99,3624
7-Feb-17,49.77,49.85,49.74,49.80,25723
6-Feb-17,49.65,49.81,49.60,49.68,106183
3-Feb-17,49.67,49.72,49.49,49.53,13221
2-Feb-17,49.60,49.70,49.52,49.57,35484
1-Feb-17,49.53,49.60,49.45,49.56,6762
31-Jan-17,49.66,49.70,49.56,49.67,26295
30-Jan-17,49.56,49.61,49.49,49.55,24983
27-Jan-17,49.47,49.54,49.44,49.48,12570
26-Jan-17,49.38,49.50,49.33,49.50,6809
25-Jan-17,49.47,49.50,49.32,49.36,132556
24-Jan-17,49.63,49.66,49.53,49.53,13485
23-Jan-17,49.51,49.76,49.51,49.73,20925
20-Jan-17,49.58,49.64,49.50,49.64,22186
19-Jan-17,49.60,49.66,49.52,49.59,8630
18-Jan-17,49.92,49.92,49.65,49.73,11219
17-Jan-17,50.03,50.04,49.90,50.02,6221
13-Jan-17,49.72,49.79,49.72,49.79,1197
12-Jan-17,49.95,50.01,49.84,49.88,3675
11-Jan-17,49.84,49.96,49.74,49.84,5324
10-Jan-17,49.83,49.89,49.78,49.83,16663
9-Jan-17,49.83,49.89,49.81,49.89,6390
6-Jan-17,49.82,49.88,49.71,49.77,19887
5-Jan-17,49.77,49.94,49.70,49.94,14150
4-Jan-17,49.53,49.68,49.53,49.66,19823
3-Jan-17,49.45,49.63,49.39,49.63,41108
30-Dec-16,49.48,49.60,49.46,49.58,17104
29-Dec-16,49.45,49.50,49.42,49.50,24612
28-Dec-16,49.13,49.52,49.13,49.36,42528
27-Dec-16,49.12,49.20,49.07,49.20,10396
23-Dec-16,49.27,49.39,49.25,49.26,12060
22-Dec-16,49.30,49.36,49.30,49.34,11382
21-Dec-16,49.25,49.36,49.24,49.24,14221
20-Dec-16,49.20,49.26,49.14,49.14,21518
19-Dec-16,49.16,49.31,49.16,49.30,6698
16-Dec-16,49.20,49.21,49.01,49.13,25442
15-Dec-16,49.11,49.33,49.08,49.11,58161
14-Dec-16,49.50,49.66,49.16,49.17,31021
13-Dec-16,49.52,49.53,49.35,49.44,14415
12-Dec-16,49.30,49.45,49.29,49.30,12631
9-Dec-16,49.57,49.57,49.36,49.36,24409
8-Dec-16,49.59,49.64,49.53,49.54,16887
7-Dec-16,49.60,49.74,49.60,49.72,7072
6-Dec-16,49.53,49.62,49.50,49.62,14901
5-Dec-16,49.41,49.58,49.41,49.53,3956
2-Dec-16,49.61,49.82,49.61,49.78,129625
1-Dec-16,49.63,49.64,49.47,49.53,6697
30-Nov-16,49.72,49.83,49.62,49.76,21336
29-Nov-16,49.80,49.93,49.79,49.93,3773
28-Nov-16,49.77,49.88,49.77,49.85,20149
25-Nov-16,49.71,49.81,49.66,49.66,2157
23-Nov-16,49.66,49.79,49.64,49.69,16203
22-Nov-16,49.96,50.00,49.83,49.92,55779
21-Nov-16,49.84,49.88,49.82,49.83,11680
18-Nov-16,50.09,50.15,49.88,49.88,9252
17-Nov-16,50.23,50.28,50.14,50.18,15572
16-Nov-16,50.20,50.35,50.20,50.33,9891
15-Nov-16,50.31,50.37,50.23,50.30,43964
14-Nov-16,50.16,50.28,50.10,50.24,7009
11-Nov-16,50.46,50.47,50.32,50.40,6922
10-Nov-16,50.58,50.69,50.44,50.44,11880
9-Nov-16,51.06,51.06,50.67,50.67,25104
8-Nov-16,51.35,51.42,51.21,51.21,20649
7-Nov-16,51.40,51.42,51.34,51.41,30013
4-Nov-16,51.46,51.55,51.41,51.46,27036
3-Nov-16,51.35,51.39,51.26,51.34,13230
2-Nov-16,51.38,51.42,51.30,51.38,6762
1-Nov-16,51.26,51.35,51.21,51.26,6315
31-Oct-16,51.28,51.37,51.28,51.35,7940
28-Oct-16,51.27,51.35,51.24,51.25,4897
27-Oct-16,51.40,51.40,51.26,51.33,8987
26-Oct-16,51.53,51.54,51.42,51.52,27912
25-Oct-16,51.56,51.67,51.54,51.54,16657
24-Oct-16,51.61,51.62,51.55,51.60,11182
21-Oct-16,51.74,51.82,51.71,51.81,22838
20-Oct-16,51.78,51.85,51.74,51.78,73070
19-Oct-16,51.71,51.80,51.71,51.76,11200
18-Oct-16,51.56,51.73,51.56,51.70,30024
17-Oct-16,51.51,51.67,51.51,51.65,13435
14-Oct-16,51.61,51.68,51.54,51.56,9371
13-Oct-16,51.61,51.74,51.61,51.69,27540
12-Oct-16,51.55,51.59,51.52,51.59,19900
11-Oct-16,51.58,51.64,51.58,51.58,2794
10-Oct-16,51.59,51.66,51.53,51.62,8521
7-Oct-16,51.66,51.69,51.55,51.64,34880
6-Oct-16,51.62,51.67,51.58,51.58,23805
5-Oct-16,51.70,51.79,51.62,51.63,7454
4-Oct-16,51.91,51.91,51.66,51.72,17876
3-Oct-16,51.90,51.96,51.79,51.91,55514
30-Sep-16,51.97,52.01,51.93,52.00,19442
29-Sep-16,51.94,52.31,51.94,52.04,9277
28-Sep-16,52.03,52.10,52.00,52.08,5382
27-Sep-16,52.09,52.09,52.00,52.08,9750
26-Sep-16,51.91,52.01,51.91,51.98,2416
