Date,Open,High,Low,Close,Volume
16-Jun-17,38.77,39.03,38.77,39.03,2518
15-Jun-17,38.84,38.98,38.80,38.95,4055
14-Jun-17,39.03,39.16,38.98,38.98,4066
13-Jun-17,38.82,39.11,38.82,39.03,1750
12-Jun-17,39.18,39.18,39.08,39.08,5595
9-Jun-17,39.11,39.15,38.96,39.14,56745
8-Jun-17,38.93,39.16,38.93,39.12,58635
7-Jun-17,39.23,39.24,38.98,38.98,83621
6-Jun-17,39.13,39.22,39.13,39.22,1223
5-Jun-17,39.12,39.23,39.08,39.08,2152
2-Jun-17,39.07,39.39,39.07,39.39,1779
1-Jun-17,39.18,39.34,39.18,39.34,570
31-May-17,39.01,39.23,39.01,39.19,4019
30-May-17,39.04,39.23,39.04,39.20,1087
26-May-17,39.22,39.29,39.02,39.02,665
25-May-17,39.29,39.29,39.18,39.28,4097
24-May-17,39.12,39.26,39.12,39.26,7170
23-May-17,39.14,39.23,39.14,39.23,318
22-May-17,38.88,39.21,38.88,39.19,4578
19-May-17,39.12,39.12,39.12,39.12,204
18-May-17,38.76,38.76,38.75,38.75,1241
17-May-17,39.00,39.01,38.98,38.98,1224
16-May-17,39.10,39.10,39.10,39.10,677
15-May-17,39.11,39.11,38.97,38.97,961
12-May-17,38.97,39.05,38.93,39.05,1430
11-May-17,38.74,39.20,38.74,39.20,663
10-May-17,39.10,39.15,39.00,39.15,3908
9-May-17,39.09,39.11,38.87,39.10,19667
8-May-17,38.80,39.10,38.80,38.92,8934
5-May-17,38.93,39.06,38.93,39.06,960
4-May-17,39.02,39.11,38.85,39.01,3722
3-May-17,39.23,39.24,39.14,39.14,1579
2-May-17,39.30,39.34,39.14,39.15,2251
1-May-17,38.99,39.31,38.99,39.08,1366
28-Apr-17,39.35,39.35,39.02,39.02,5396
27-Apr-17,39.28,39.28,39.07,39.28,1460
26-Apr-17,39.27,39.29,39.03,39.03,621
25-Apr-17,39.02,39.24,39.02,39.24,382
24-Apr-17,39.11,39.15,38.89,38.95,6332
21-Apr-17,38.95,39.11,38.86,39.11,13285
20-Apr-17,38.86,38.90,38.78,38.84,1953
19-Apr-17,38.89,38.89,38.68,38.72,2438
18-Apr-17,38.96,38.99,38.82,38.93,1770
17-Apr-17,38.94,38.97,38.70,38.70,11262
13-Apr-17,39.05,39.05,38.81,38.93,1657
12-Apr-17,38.97,38.97,38.61,38.61,1435
11-Apr-17,38.84,39.02,38.77,39.02,3780
10-Apr-17,39.05,39.05,38.94,39.05,13281
7-Apr-17,38.93,39.06,38.82,38.82,139439
