Date,Open,High,Low,Close,Volume
16-Jun-17,11.66,11.83,11.28,11.44,59779528
15-Jun-17,11.34,11.58,11.21,11.50,61665981
14-Jun-17,11.91,12.05,11.65,11.77,51909425
13-Jun-17,12.33,12.48,11.67,11.96,87302253
12-Jun-17,11.75,12.35,11.27,12.09,125781768
9-Jun-17,13.10,13.40,11.63,12.28,167454433
8-Jun-17,12.81,12.91,12.40,12.90,89515129
7-Jun-17,12.42,12.96,12.23,12.38,151005890
6-Jun-17,11.27,12.24,11.24,12.03,114998567
5-Jun-17,10.84,11.34,10.80,11.24,66207307
2-Jun-17,10.93,10.96,10.56,10.90,43056165
1-Jun-17,11.25,11.28,10.81,10.93,48001971
31-May-17,11.29,11.49,11.10,11.19,42929027
30-May-17,10.95,11.27,10.90,11.12,35338977
26-May-17,10.85,11.02,10.74,11.00,31907640
25-May-17,11.01,11.01,10.80,10.98,33584259
24-May-17,11.05,11.06,10.71,10.89,43028139
23-May-17,10.97,11.06,10.62,10.89,49799586
22-May-17,11.49,11.55,10.77,11.04,78696444
19-May-17,11.47,11.62,11.35,11.41,50319692
18-May-17,10.99,11.49,10.81,11.28,86900076
17-May-17,11.81,12.29,11.16,11.20,160109462
16-May-17,11.66,12.77,11.63,12.75,164186884
15-May-17,11.41,11.60,11.30,11.42,52564965
12-May-17,11.20,11.40,11.08,11.26,56072619
11-May-17,10.74,11.26,10.51,11.07,72946523
10-May-17,10.46,10.85,10.45,10.79,65995889
9-May-17,10.04,10.40,10.04,10.18,51017346
8-May-17,10.22,10.22,10.00,10.04,35101132
5-May-17,10.13,10.26,9.94,10.19,51758963
4-May-17,10.55,10.55,9.94,10.10,77031372
3-May-17,10.29,10.68,9.85,10.39,140899380
2-May-17,11.73,11.76,10.30,10.32,268336455
1-May-17,13.43,13.63,13.25,13.62,68036349
28-Apr-17,13.73,13.76,13.16,13.30,50375992
27-Apr-17,13.43,13.70,13.37,13.62,31327634
26-Apr-17,13.42,13.53,13.22,13.41,36644522
25-Apr-17,13.24,13.52,13.16,13.49,35880950
24-Apr-17,13.23,13.23,13.04,13.13,36120264
21-Apr-17,13.08,13.12,12.90,13.00,25689590
20-Apr-17,12.98,13.15,12.88,13.11,41976064
19-Apr-17,13.09,13.20,12.80,12.84,36491056
18-Apr-17,12.63,12.97,12.58,12.95,37172004
17-Apr-17,12.53,12.80,12.37,12.79,38188238
13-Apr-17,12.50,12.72,12.22,12.31,53442631
12-Apr-17,12.94,13.10,12.74,12.76,37385363
11-Apr-17,13.02,13.29,12.71,13.10,59916607
10-Apr-17,13.52,13.59,13.04,13.10,47178017
7-Apr-17,13.33,13.68,13.22,13.52,70440981
6-Apr-17,13.42,13.46,12.83,13.27,139500105
5-Apr-17,14.28,14.64,14.10,14.17,58816711
4-Apr-17,14.31,14.67,14.03,14.16,58413020
3-Apr-17,14.60,14.74,14.30,14.64,48423677
31-Mar-17,14.10,14.75,14.01,14.55,84566239
30-Mar-17,13.73,14.05,13.65,14.05,44132830
29-Mar-17,13.74,13.87,13.63,13.71,37863470
28-Mar-17,13.75,13.86,13.55,13.69,37420153
27-Mar-17,13.35,13.78,13.21,13.70,42686840
24-Mar-17,14.16,14.18,13.54,13.70,50099472
23-Mar-17,13.96,14.12,13.77,13.79,44549945
22-Mar-17,13.70,14.14,13.55,14.10,61239502
21-Mar-17,14.40,14.49,13.78,13.82,72552725
20-Mar-17,13.68,14.50,13.54,14.40,91565591
17-Mar-17,13.62,13.74,13.36,13.49,224892327
16-Mar-17,13.79,13.88,13.65,13.65,44494793
15-Mar-17,14.03,14.06,13.62,13.98,55179561
14-Mar-17,14.00,14.15,13.64,14.10,52554505
13-Mar-17,14.48,14.68,14.18,14.28,73078146
10-Mar-17,13.50,13.93,13.45,13.91,65142157
9-Mar-17,13.45,13.45,13.11,13.33,45244233
8-Mar-17,13.25,13.55,13.10,13.22,71294747
7-Mar-17,13.07,13.37,12.79,13.05,76666266
6-Mar-17,13.00,13.34,12.38,13.04,117192621
3-Mar-17,13.55,13.58,12.79,13.03,163641702
2-Mar-17,14.59,14.78,13.87,13.90,104330930
1-Mar-17,15.08,15.09,14.52,14.96,73450388
28-Feb-17,15.45,15.55,14.35,14.46,141782979
27-Feb-17,14.27,15.35,14.27,15.20,95422869
24-Feb-17,14.00,14.32,13.86,14.12,46288614
23-Feb-17,14.20,14.45,13.82,14.32,80317617
22-Feb-17,14.30,14.50,14.04,14.28,71505039
21-Feb-17,13.41,14.10,13.40,14.00,66357063
17-Feb-17,12.79,13.14,12.60,13.13,40887978
16-Feb-17,13.25,13.35,12.84,12.97,52502531
15-Feb-17,13.20,13.44,13.15,13.30,33722253
14-Feb-17,13.43,13.49,13.19,13.26,40479052
13-Feb-17,13.70,13.95,13.38,13.49,57413113
10-Feb-17,13.86,13.86,13.25,13.58,54579343
9-Feb-17,13.78,13.89,13.40,13.42,73339932
8-Feb-17,13.21,13.75,13.08,13.56,75942906
7-Feb-17,14.05,14.27,13.06,13.29,158683771
6-Feb-17,12.46,13.70,12.38,13.63,140474084
3-Feb-17,12.37,12.50,12.04,12.24,60036740
2-Feb-17,11.98,12.66,11.95,12.28,116324549
1-Feb-17,10.90,12.14,10.81,12.06,165939278
31-Jan-17,10.60,10.67,10.22,10.37,53704949
30-Jan-17,10.62,10.68,10.30,10.61,37724991
27-Jan-17,10.60,10.73,10.52,10.67,32719173
26-Jan-17,10.35,10.66,10.30,10.52,35866570
25-Jan-17,10.74,10.98,10.15,10.35,61886202
24-Jan-17,9.95,10.49,9.95,10.44,43991188
23-Jan-17,9.68,10.06,9.68,9.91,27905681
20-Jan-17,9.88,9.96,9.67,9.75,27982147
19-Jan-17,9.92,10.25,9.75,9.77,46151282
18-Jan-17,9.54,10.10,9.42,9.88,51797592
17-Jan-17,10.17,10.23,9.78,9.82,70491802
13-Jan-17,10.79,10.87,10.56,10.58,38377455
12-Jan-17,10.98,11.04,10.33,10.76,75244087
11-Jan-17,11.39,11.41,11.15,11.20,39377016
10-Jan-17,11.55,11.63,11.33,11.44,29201580
9-Jan-17,11.37,11.64,11.31,11.49,37304797
6-Jan-17,11.29,11.49,11.11,11.32,34453462
5-Jan-17,11.43,11.69,11.23,11.24,38855214
4-Jan-17,11.45,11.52,11.24,11.43,40781190
3-Jan-17,11.42,11.65,11.02,11.43,55181960
30-Dec-16,11.70,11.78,11.25,11.34,44095368
29-Dec-16,11.24,11.62,11.01,11.59,50234261
28-Dec-16,12.28,12.42,11.46,11.55,71254459
27-Dec-16,11.65,12.08,11.60,12.07,44336488
23-Dec-16,11.30,11.60,11.26,11.58,32288235
22-Dec-16,11.65,11.75,11.47,11.60,36450756
21-Dec-16,11.61,11.72,11.31,11.47,44814131
20-Dec-16,11.19,11.51,11.15,11.51,59314159
19-Dec-16,10.81,11.00,10.52,10.95,46085840
16-Dec-16,10.94,11.23,10.60,10.66,77777741
15-Dec-16,10.68,10.93,10.64,10.86,48871302
14-Dec-16,10.43,10.74,10.27,10.55,46968552
13-Dec-16,10.75,10.80,10.40,10.54,46967790
12-Dec-16,10.40,10.93,10.38,10.68,63342940
9-Dec-16,10.38,10.54,9.87,10.34,60600759
8-Dec-16,9.90,10.66,9.80,10.34,104613009
7-Dec-16,9.65,9.79,9.24,9.56,54897332
6-Dec-16,8.95,9.54,8.82,9.45,92242854
5-Dec-16,8.69,8.71,8.45,8.68,31410058
2-Dec-16,8.38,8.74,8.38,8.53,42398936
1-Dec-16,8.92,9.03,8.26,8.39,56682384
30-Nov-16,9.02,9.12,8.90,8.91,36511914
29-Nov-16,9.00,9.23,8.85,8.93,54831388
28-Nov-16,8.72,8.98,8.72,8.83,25907789
25-Nov-16,8.80,8.91,8.69,8.77,14214120
23-Nov-16,8.72,8.86,8.50,8.80,34645960
22-Nov-16,9.05,9.06,8.54,8.69,71312775
21-Nov-16,8.87,9.22,8.86,8.94,65595921
18-Nov-16,8.68,8.83,8.40,8.71,62336214
17-Nov-16,7.79,8.77,7.77,8.46,124048654
16-Nov-16,7.09,7.75,7.07,7.67,78083174
15-Nov-16,6.82,7.08,6.79,6.97,28909399
14-Nov-16,6.83,6.84,6.61,6.79,29596401
11-Nov-16,6.64,6.69,6.47,6.68,39492150
10-Nov-16,6.82,6.91,6.22,6.30,71749547
9-Nov-16,6.70,7.05,6.64,6.94,38479532
8-Nov-16,6.85,7.18,6.75,7.00,37728535
7-Nov-16,6.79,6.99,6.76,6.96,36999238
4-Nov-16,6.69,6.72,6.46,6.56,32215709
3-Nov-16,6.78,6.79,6.56,6.70,33673558
2-Nov-16,7.03,7.06,6.67,6.76,33852218
1-Nov-16,7.32,7.42,6.92,7.09,39906861
31-Oct-16,7.24,7.46,7.20,7.23,42345904
28-Oct-16,7.10,7.53,7.02,7.20,77261334
27-Oct-16,7.44,7.46,7.10,7.11,37804176
26-Oct-16,7.40,7.48,7.26,7.29,47619312
25-Oct-16,6.90,7.50,6.87,7.50,78862046
24-Oct-16,6.57,7.01,6.54,7.00,52998430
21-Oct-16,6.50,6.65,6.37,6.52,64243549
20-Oct-16,6.81,6.98,6.77,6.96,64607539
19-Oct-16,6.70,6.80,6.57,6.77,29420227
18-Oct-16,6.76,6.89,6.69,6.73,25314837
17-Oct-16,6.92,6.97,6.64,6.67,24261489
14-Oct-16,6.92,7.12,6.74,6.75,66934374
13-Oct-16,6.50,6.54,6.24,6.49,30401706
12-Oct-16,6.64,6.77,6.42,6.62,33592702
11-Oct-16,6.80,6.84,6.38,6.50,32510803
10-Oct-16,6.82,6.94,6.80,6.84,13800510
7-Oct-16,6.92,6.96,6.62,6.75,33058999
6-Oct-16,6.72,6.98,6.63,6.96,27059688
5-Oct-16,6.97,7.01,6.70,6.78,31235592
4-Oct-16,7.00,7.09,6.89,6.97,25770031
3-Oct-16,6.95,7.15,6.87,6.95,30456683
30-Sep-16,6.70,7.04,6.70,6.91,47453145
29-Sep-16,6.57,6.73,6.54,6.67,30746101
28-Sep-16,6.57,6.65,6.48,6.59,27878252
27-Sep-16,6.45,6.58,6.29,6.54,30035862
26-Sep-16,6.54,6.54,6.31,6.32,29875788
23-Sep-16,6.31,6.65,6.31,6.55,61022355
22-Sep-16,6.35,6.44,6.33,6.37,35848186
21-Sep-16,6.20,6.32,6.14,6.29,33450003
20-Sep-16,6.23,6.28,6.12,6.17,28990858
19-Sep-16,6.12,6.28,6.08,6.16,37837160
16-Sep-16,6.22,6.22,5.97,6.05,47829445
15-Sep-16,6.09,6.20,5.95,6.02,52718477
14-Sep-16,5.75,6.08,5.75,6.04,64344764
13-Sep-16,5.92,5.95,5.66,5.74,50819506
12-Sep-16,5.83,6.06,5.77,5.94,78014372
9-Sep-16,6.23,6.24,5.85,5.90,170828036
8-Sep-16,6.64,6.65,6.15,6.22,90814651
7-Sep-16,7.05,7.07,6.78,6.84,57721907
6-Sep-16,7.56,7.60,7.25,7.34,24994613
2-Sep-16,7.49,7.64,7.38,7.51,18538362
1-Sep-16,7.18,7.44,7.09,7.35,22284592
31-Aug-16,7.52,7.52,7.28,7.40,18808801
30-Aug-16,7.61,7.64,7.41,7.49,16088129
29-Aug-16,7.72,7.79,7.57,7.59,16916273
26-Aug-16,7.49,7.80,7.46,7.67,31387878
25-Aug-16,7.49,7.49,7.20,7.46,16451281
24-Aug-16,7.67,7.67,7.37,7.43,22943869
23-Aug-16,7.66,7.74,7.53,7.67,27531065
22-Aug-16,7.83,7.95,7.37,7.58,41519225
19-Aug-16,7.24,8.00,7.22,7.62,75129305
18-Aug-16,6.74,7.07,6.72,7.04,30783305
17-Aug-16,6.70,6.75,6.61,6.68,13791311
16-Aug-16,6.94,6.94,6.65,6.78,26768769
15-Aug-16,6.79,6.97,6.78,6.95,28339380
12-Aug-16,6.60,6.79,6.55,6.73,25466386
11-Aug-16,6.50,6.59,6.46,6.58,13240292
10-Aug-16,6.35,6.58,6.25,6.49,29070733
9-Aug-16,6.75,6.78,6.54,6.60,16772428
8-Aug-16,6.70,6.85,6.65,6.68,21462238
5-Aug-16,6.56,6.76,6.47,6.61,20163999
4-Aug-16,6.39,6.61,6.37,6.47,22411032
3-Aug-16,6.18,6.45,6.15,6.30,23807809
2-Aug-16,6.56,6.60,6.15,6.26,40816397
1-Aug-16,6.89,6.92,6.57,6.64,26729026
29-Jul-16,6.88,6.96,6.75,6.86,22580538
28-Jul-16,6.79,6.98,6.74,6.82,27515622
27-Jul-16,6.93,6.98,6.68,6.85,38567259
26-Jul-16,6.76,7.16,6.71,6.98,81230638
25-Jul-16,5.93,6.95,5.92,6.70,118328614
22-Jul-16,5.73,5.97,5.45,5.84,101838278
21-Jul-16,5.43,5.45,5.10,5.22,40242023
20-Jul-16,5.48,5.50,5.40,5.41,20102373
19-Jul-16,5.50,5.55,5.34,5.41,23439607
18-Jul-16,5.19,5.57,5.13,5.51,38619404
15-Jul-16,5.20,5.20,5.10,5.14,14219263
14-Jul-16,5.15,5.24,5.06,5.17,20050141
13-Jul-16,5.14,5.19,5.04,5.09,14032518
12-Jul-16,5.01,5.17,5.01,5.14,20832476
11-Jul-16,5.13,5.19,5.00,5.01,21027948
8-Jul-16,4.84,5.15,4.82,5.10,28140749
7-Jul-16,5.07,5.10,4.94,5.02,15813768
6-Jul-16,4.91,5.11,4.90,5.04,19392887
5-Jul-16,5.03,5.05,4.88,4.96,16332466
1-Jul-16,5.09,5.14,5.00,5.07,18255878
30-Jun-16,5.13,5.19,4.95,5.14,26124847
29-Jun-16,5.31,5.40,5.10,5.13,33118283
28-Jun-16,4.95,5.18,4.91,5.12,29221367
27-Jun-16,4.88,5.05,4.65,4.72,31187599
24-Jun-16,4.82,5.07,4.76,4.88,36735157
23-Jun-16,5.17,5.26,5.05,5.21,29159174
22-Jun-16,5.46,5.52,4.96,5.02,47943335
