Date,Open,High,Low,Close,Volume
16-Jun-17,29.65,29.65,29.56,29.58,213451
15-Jun-17,29.69,29.69,29.57,29.61,745486
14-Jun-17,29.77,29.80,29.66,29.72,179782
13-Jun-17,29.69,29.76,29.66,29.76,124836
12-Jun-17,29.59,29.69,29.55,29.69,813245
9-Jun-17,29.53,29.63,29.53,29.56,238996
8-Jun-17,29.62,29.64,29.53,29.62,402789
7-Jun-17,29.71,29.72,29.54,29.58,439084
6-Jun-17,29.67,29.72,29.65,29.67,251760
5-Jun-17,29.70,29.71,29.62,29.64,301642
2-Jun-17,29.67,29.74,29.64,29.72,594504
1-Jun-17,29.69,29.70,29.61,29.67,237523
31-May-17,29.76,29.80,29.71,29.74,255420
30-May-17,29.76,29.79,29.70,29.75,979695
26-May-17,29.75,29.77,29.73,29.76,181706
25-May-17,29.80,29.84,29.72,29.73,224255
24-May-17,29.78,29.80,29.74,29.79,322910
23-May-17,29.73,29.80,29.70,29.73,811308
22-May-17,29.75,29.75,29.65,29.70,160938
19-May-17,29.69,29.70,29.61,29.65,225704
18-May-17,29.54,29.62,29.48,29.58,978769
17-May-17,29.61,29.67,29.57,29.58,257413
16-May-17,29.71,29.72,29.65,29.71,793164
15-May-17,29.69,29.70,29.60,29.64,796633
12-May-17,29.60,29.62,29.58,29.60,117902
11-May-17,29.54,29.59,29.48,29.57,169227
10-May-17,29.46,29.54,29.42,29.54,803617
9-May-17,29.50,29.50,29.39,29.40,340015
8-May-17,29.42,29.45,29.31,29.43,274223
5-May-17,29.42,29.43,29.29,29.41,270003
4-May-17,29.59,29.59,29.33,29.37,308846
3-May-17,29.61,29.63,29.54,29.59,207227
2-May-17,29.59,29.60,29.54,29.59,871811
1-May-17,29.63,29.66,29.53,29.60,274591
28-Apr-17,29.69,29.70,29.60,29.69,191662
27-Apr-17,29.64,29.66,29.58,29.64,167985
26-Apr-17,29.68,29.68,29.58,29.60,312213
25-Apr-17,29.67,29.71,29.62,29.68,1050022
24-Apr-17,29.65,29.68,29.57,29.65,361308
21-Apr-17,29.57,29.60,29.51,29.54,643648
20-Apr-17,29.53,29.57,29.49,29.55,206398
19-Apr-17,29.52,29.55,29.47,29.47,201130
18-Apr-17,29.54,29.55,29.43,29.54,182067
17-Apr-17,29.49,29.56,29.47,29.52,221977
13-Apr-17,29.49,29.53,29.43,29.46,400385
12-Apr-17,29.60,29.60,29.38,29.46,1046221
11-Apr-17,29.59,29.61,29.42,29.52,220809
10-Apr-17,29.61,29.61,29.56,29.60,354972
7-Apr-17,29.55,29.61,29.48,29.50,536764
6-Apr-17,29.45,29.54,29.42,29.52,861382
5-Apr-17,29.56,29.59,29.44,29.44,321592
4-Apr-17,29.46,29.51,29.41,29.48,136334
3-Apr-17,29.52,29.52,29.35,29.39,304553
31-Mar-17,29.59,29.64,29.46,29.56,303801
30-Mar-17,29.40,29.56,29.35,29.52,1992312
29-Mar-17,29.26,29.37,29.22,29.36,954107
28-Mar-17,29.10,29.24,29.07,29.22,187420
27-Mar-17,29.05,29.11,29.04,29.08,122981
24-Mar-17,29.08,29.18,29.04,29.12,255283
23-Mar-17,29.05,29.05,28.97,29.02,114748
22-Mar-17,28.91,29.05,28.78,29.04,451737
21-Mar-17,29.22,29.25,28.96,28.96,907134
20-Mar-17,29.19,29.25,29.15,29.19,253906
17-Mar-17,29.24,29.26,29.18,29.21,938124
16-Mar-17,29.33,29.34,29.12,29.16,315762
15-Mar-17,28.90,29.24,28.85,29.20,622944
14-Mar-17,28.80,28.84,28.75,28.82,221019
13-Mar-17,28.92,28.97,28.82,28.92,231206
10-Mar-17,28.99,29.02,28.73,28.83,1735328
9-Mar-17,28.92,28.98,28.75,28.87,1056212
8-Mar-17,29.20,29.20,28.95,29.00,945977
7-Mar-17,29.40,29.40,29.12,29.20,1096072
6-Mar-17,29.51,29.51,29.39,29.41,216468
3-Mar-17,29.58,29.58,29.47,29.52,186044
2-Mar-17,29.61,29.61,29.52,29.53,245498
1-Mar-17,29.58,29.58,29.51,29.58,141183
28-Feb-17,29.60,29.63,29.55,29.56,210401
27-Feb-17,29.58,29.59,29.54,29.56,215318
24-Feb-17,29.58,29.60,29.54,29.58,220686
23-Feb-17,29.62,29.62,29.53,29.59,239367
22-Feb-17,29.53,29.55,29.46,29.52,151931
21-Feb-17,29.49,29.53,29.42,29.53,646932
17-Feb-17,29.42,29.48,29.41,29.48,180898
16-Feb-17,29.47,29.49,29.41,29.44,227645
15-Feb-17,29.46,29.48,29.44,29.46,234072
14-Feb-17,29.47,29.49,29.38,29.49,231060
13-Feb-17,29.43,29.47,29.41,29.46,249130
10-Feb-17,29.37,29.40,29.30,29.39,293900
9-Feb-17,29.35,29.36,29.29,29.32,289524
8-Feb-17,29.38,29.38,29.29,29.34,424069
7-Feb-17,29.38,29.38,29.33,29.36,921430
6-Feb-17,29.36,29.39,29.30,29.35,266690
