Date,Open,High,Low,Close,Volume
16-Jun-17,19.36,19.58,19.36,19.56,120312
15-Jun-17,19.09,19.35,19.09,19.34,288148
14-Jun-17,19.67,19.71,19.57,19.64,167757
13-Jun-17,19.45,19.54,19.43,19.52,168491
12-Jun-17,19.44,19.53,19.41,19.48,139723
9-Jun-17,19.40,19.53,19.39,19.42,90156
8-Jun-17,19.32,19.39,19.28,19.34,103564
7-Jun-17,19.22,19.32,19.14,19.26,298890
6-Jun-17,19.22,19.34,19.22,19.29,218493
5-Jun-17,19.52,19.52,19.35,19.46,248316
2-Jun-17,19.54,19.60,19.51,19.55,317153
1-Jun-17,19.25,19.29,19.22,19.27,199212
31-May-17,19.34,19.42,19.25,19.25,153447
30-May-17,19.14,19.19,19.09,19.13,1993279
26-May-17,19.08,19.18,19.03,19.18,1255631
25-May-17,19.20,19.27,19.14,19.21,112812
24-May-17,19.15,19.28,19.15,19.25,225227
23-May-17,19.24,19.32,19.15,19.16,273816
22-May-17,19.27,19.30,19.21,19.25,126893
19-May-17,18.96,19.08,18.96,19.04,101884
18-May-17,18.83,19.00,18.83,18.95,164177
17-May-17,19.06,19.14,18.86,18.86,195563
16-May-17,19.22,19.27,19.13,19.26,192826
15-May-17,19.01,19.10,19.00,19.10,116254
12-May-17,18.84,18.98,18.83,18.95,204958
11-May-17,18.82,18.88,18.76,18.86,250841
10-May-17,18.80,18.87,18.78,18.87,109890
9-May-17,18.94,18.95,18.81,18.84,132228
8-May-17,18.92,18.96,18.87,18.93,178761
5-May-17,19.04,19.35,18.98,19.31,272689
4-May-17,18.84,19.09,18.80,19.09,178072
3-May-17,19.25,19.34,19.23,19.23,172674
2-May-17,19.15,19.22,19.12,19.22,154021
1-May-17,19.11,19.12,19.01,19.07,167934
28-Apr-17,19.10,19.10,19.00,19.01,116064
27-Apr-17,18.98,19.03,18.90,18.98,77139
26-Apr-17,19.00,19.14,19.00,19.04,122866
25-Apr-17,19.14,19.25,19.11,19.22,2020185
24-Apr-17,19.00,19.09,18.98,19.04,209985
21-Apr-17,18.26,18.30,18.20,18.25,122020
20-Apr-17,18.15,18.25,18.10,18.14,127653
19-Apr-17,18.12,18.16,18.03,18.07,105242
18-Apr-17,18.08,18.18,18.03,18.16,160343
17-Apr-17,18.06,18.28,18.05,18.25,128456
13-Apr-17,18.08,18.14,18.02,18.04,111336
12-Apr-17,18.13,18.23,18.08,18.19,381859
11-Apr-17,18.21,18.23,18.00,18.14,336184
10-Apr-17,18.22,18.26,18.13,18.13,109558
7-Apr-17,18.20,18.32,18.20,18.25,180346
6-Apr-17,18.41,18.53,18.37,18.40,122473
5-Apr-17,18.41,18.48,18.28,18.32,181234
4-Apr-17,18.48,18.51,18.43,18.50,183855
3-Apr-17,18.45,18.48,18.27,18.42,133384
31-Mar-17,18.46,18.60,18.44,18.53,120541
30-Mar-17,18.55,18.59,18.44,18.47,152178
29-Mar-17,18.55,18.55,18.47,18.52,533837
28-Mar-17,18.44,18.61,18.42,18.55,732915
27-Mar-17,18.36,18.48,18.30,18.42,250006
24-Mar-17,18.28,18.38,18.20,18.23,422638
23-Mar-17,18.26,18.54,18.25,18.29,1081836
22-Mar-17,18.30,18.39,18.25,18.32,252146
21-Mar-17,18.54,18.56,18.28,18.32,292660
20-Mar-17,18.31,18.35,18.22,18.25,148127
17-Mar-17,18.38,18.39,18.28,18.30,115215
16-Mar-17,18.26,18.40,18.22,18.38,111497
15-Mar-17,18.01,18.16,17.97,18.12,91993
14-Mar-17,18.00,18.03,17.92,17.96,177148
13-Mar-17,18.06,18.14,18.06,18.10,1821952
10-Mar-17,18.09,18.09,17.97,18.05,226245
9-Mar-17,17.98,18.04,17.95,18.01,773099
8-Mar-17,17.82,17.85,17.68,17.68,165202
7-Mar-17,17.77,17.80,17.71,17.74,130709
6-Mar-17,17.71,17.77,17.64,17.76,730530
3-Mar-17,17.70,17.78,17.65,17.72,154113
2-Mar-17,17.58,17.64,17.51,17.55,193065
1-Mar-17,17.59,17.69,17.57,17.63,301287
28-Feb-17,17.36,17.45,17.35,17.41,1558029
27-Feb-17,17.34,17.39,17.30,17.36,337243
24-Feb-17,17.24,17.35,17.22,17.32,190676
23-Feb-17,17.51,17.57,17.44,17.52,791305
22-Feb-17,17.43,17.58,17.42,17.54,248190
21-Feb-17,17.34,17.52,17.34,17.45,1627720
17-Feb-17,17.25,17.33,17.20,17.32,204933
16-Feb-17,16.80,17.41,16.79,17.40,154025
15-Feb-17,16.71,16.84,16.70,16.80,90636
14-Feb-17,16.77,16.86,16.75,16.83,116877
13-Feb-17,16.88,16.89,16.77,16.82,139615
10-Feb-17,16.63,16.70,16.59,16.70,126636
9-Feb-17,16.62,16.77,16.61,16.72,304740
8-Feb-17,16.58,16.62,16.50,16.60,122248
7-Feb-17,16.71,16.81,16.65,16.69,272144
6-Feb-17,16.66,16.83,16.66,16.81,229657
3-Feb-17,17.05,17.12,17.01,17.10,98974
2-Feb-17,16.98,17.02,16.91,16.97,226649
1-Feb-17,17.05,17.06,16.92,16.98,168207
31-Jan-17,17.18,17.19,16.91,16.96,200267
30-Jan-17,16.92,17.06,16.86,17.04,469971
27-Jan-17,17.30,17.31,17.21,17.26,231093
26-Jan-17,17.38,17.39,17.30,17.34,1570581
25-Jan-17,17.29,17.45,17.27,17.41,375012
24-Jan-17,16.78,16.90,16.76,16.88,1525760
23-Jan-17,16.94,16.95,16.81,16.94,343700
20-Jan-17,16.92,17.02,16.92,17.01,110851
19-Jan-17,17.02,17.03,16.88,16.98,207471
18-Jan-17,16.97,17.05,16.94,17.00,454611
17-Jan-17,17.06,17.15,16.97,17.00,457131
13-Jan-17,17.01,17.05,16.89,16.97,227468
12-Jan-17,16.94,17.00,16.83,16.92,234294
11-Jan-17,16.70,16.93,16.69,16.87,200597
10-Jan-17,16.83,16.93,16.78,16.79,162826
9-Jan-17,16.76,16.90,16.74,16.84,198048
6-Jan-17,16.93,17.02,16.91,16.94,198386
5-Jan-17,16.94,17.07,16.91,17.05,268186
4-Jan-17,16.74,17.01,16.70,16.97,409117
3-Jan-17,16.60,16.60,16.47,16.55,422181
30-Dec-16,16.46,16.57,16.37,16.48,153567
29-Dec-16,16.25,16.30,16.18,16.22,184161
28-Dec-16,16.20,16.21,16.11,16.16,143335
27-Dec-16,16.32,16.39,16.32,16.36,231764
23-Dec-16,16.33,16.37,16.30,16.36,163212
22-Dec-16,16.40,16.44,16.31,16.33,240924
21-Dec-16,16.36,16.43,16.35,16.39,368137
20-Dec-16,16.32,16.36,16.28,16.31,363625
19-Dec-16,16.26,16.32,16.18,16.23,483908
16-Dec-16,16.28,16.38,16.21,16.24,227186
15-Dec-16,16.21,16.30,16.18,16.20,512555
14-Dec-16,16.45,16.55,16.24,16.24,253723
13-Dec-16,16.52,16.66,16.52,16.59,235222
12-Dec-16,16.40,16.44,16.37,16.39,230043
9-Dec-16,16.56,16.60,16.50,16.58,373532
8-Dec-16,16.68,16.84,16.68,16.77,190986
7-Dec-16,16.66,16.89,16.66,16.84,272925
6-Dec-16,16.38,16.53,16.37,16.53,202193
5-Dec-16,16.00,16.29,16.00,16.24,363292
2-Dec-16,15.66,15.83,15.61,15.75,401228
1-Dec-16,15.81,15.84,15.74,15.81,267041
30-Nov-16,15.86,15.91,15.80,15.86,226601
29-Nov-16,15.81,15.98,15.80,15.92,278176
28-Nov-16,15.78,15.80,15.65,15.70,514762
25-Nov-16,15.95,16.00,15.90,16.00,113481
23-Nov-16,15.83,15.95,15.80,15.92,354951
22-Nov-16,16.26,16.29,16.12,16.21,251733
21-Nov-16,16.00,16.04,15.88,15.96,433754
18-Nov-16,16.00,16.07,15.91,15.94,799928
17-Nov-16,16.20,16.24,16.14,16.15,338157
16-Nov-16,16.24,16.31,16.17,16.29,4581031
15-Nov-16,16.36,16.51,16.26,16.51,691947
14-Nov-16,16.32,16.43,16.27,16.32,3031539
11-Nov-16,16.39,16.44,16.26,16.44,201251
10-Nov-16,16.18,16.35,15.98,16.24,275230
9-Nov-16,15.68,15.94,15.59,15.86,399793
8-Nov-16,15.39,15.60,15.38,15.56,134932
7-Nov-16,15.52,15.52,15.40,15.46,155820
4-Nov-16,15.13,15.19,15.03,15.08,196431
