Date,Open,High,Low,Close,Volume
16-Jun-17,29.95,30.07,29.95,30.00,85825
15-Jun-17,30.03,30.05,30.00,30.04,118737
14-Jun-17,30.18,30.23,30.10,30.16,95647
13-Jun-17,29.96,30.02,29.96,30.01,166155
12-Jun-17,29.98,30.04,29.95,29.99,76259
9-Jun-17,29.97,30.03,29.96,30.00,132662
8-Jun-17,30.09,30.09,30.00,30.06,72639
7-Jun-17,30.11,30.16,30.08,30.08,100489
6-Jun-17,30.15,30.18,30.12,30.15,97729
5-Jun-17,30.08,30.14,30.03,30.07,84106
2-Jun-17,30.03,30.15,29.99,30.08,85809
1-Jun-17,29.96,30.00,29.94,29.99,98275
31-May-17,30.00,30.07,29.95,30.05,133872
30-May-17,29.96,30.00,29.88,29.98,87020
26-May-17,29.87,29.90,29.80,29.84,60961
25-May-17,29.86,29.88,29.78,29.87,193950
24-May-17,29.79,29.86,29.70,29.86,179019
23-May-17,29.87,29.87,29.77,29.80,212135
22-May-17,29.80,29.86,29.75,29.84,117645
19-May-17,29.82,29.85,29.77,29.84,91739
18-May-17,29.83,29.86,29.78,29.82,56890
17-May-17,29.67,29.86,29.60,29.81,238965
16-May-17,29.43,29.62,29.43,29.56,107921
15-May-17,29.37,29.43,29.35,29.42,61905
12-May-17,29.50,29.54,29.44,29.54,85357
11-May-17,29.30,29.45,29.30,29.44,133189
10-May-17,29.40,29.41,29.32,29.33,56610
9-May-17,29.35,29.40,29.30,29.32,102129
8-May-17,29.41,29.42,29.35,29.42,59270
5-May-17,29.42,29.48,29.41,29.43,52656
4-May-17,29.40,29.44,29.33,29.41,81279
3-May-17,29.50,29.56,29.47,29.48,139548
2-May-17,29.40,29.50,29.35,29.50,70896
1-May-17,29.44,29.50,29.37,29.41,171989
28-Apr-17,29.39,29.48,29.36,29.48,329968
27-Apr-17,29.44,29.49,29.38,29.46,129337
26-Apr-17,29.36,29.41,29.33,29.41,62597
25-Apr-17,29.46,29.48,29.34,29.37,89849
24-Apr-17,29.51,29.54,29.44,29.53,104572
21-Apr-17,29.59,29.67,29.57,29.57,135825
20-Apr-17,29.64,29.64,29.54,29.59,101501
19-Apr-17,29.68,29.70,29.62,29.67,143653
18-Apr-17,29.60,29.73,29.59,29.73,76201
17-Apr-17,29.56,29.61,29.55,29.56,47995
13-Apr-17,29.59,29.59,29.50,29.56,91288
12-Apr-17,29.59,29.64,29.52,29.64,56865
11-Apr-17,29.46,29.58,29.46,29.53,74639
10-Apr-17,29.40,29.46,29.40,29.45,49692
7-Apr-17,29.49,29.50,29.35,29.36,127099
6-Apr-17,29.42,29.49,29.31,29.37,81053
5-Apr-17,29.30,29.42,29.30,29.39,106179
4-Apr-17,29.41,29.45,29.36,29.38,82538
3-Apr-17,29.30,29.48,29.26,29.44,268331
31-Mar-17,29.38,29.43,29.30,29.36,84390
30-Mar-17,29.42,29.46,29.33,29.33,92725
29-Mar-17,29.44,29.48,29.42,29.48,74371
28-Mar-17,29.51,29.51,29.38,29.40,174026
27-Mar-17,29.49,29.50,29.45,29.45,218928
24-Mar-17,29.40,29.44,29.35,29.43,182193
23-Mar-17,29.42,29.43,29.34,29.39,182643
22-Mar-17,29.39,29.42,29.29,29.35,119670
21-Mar-17,29.23,29.36,29.17,29.35,132752
20-Mar-17,29.19,29.23,29.14,29.21,91109
17-Mar-17,29.07,29.16,29.07,29.12,99432
16-Mar-17,29.15,29.15,29.04,29.08,98875
15-Mar-17,29.12,29.20,29.00,29.14,454371
14-Mar-17,29.08,29.14,29.00,29.08,59579
13-Mar-17,29.05,29.14,29.01,29.01,72781
10-Mar-17,29.09,29.16,29.02,29.07,120576
9-Mar-17,29.06,29.12,29.02,29.02,159302
8-Mar-17,28.98,29.15,28.92,29.11,683881
7-Mar-17,29.09,29.11,29.03,29.04,148763
6-Mar-17,29.18,29.18,29.05,29.10,133697
3-Mar-17,29.11,29.20,29.07,29.12,116518
2-Mar-17,29.14,29.21,29.10,29.12,169477
1-Mar-17,29.29,29.30,29.17,29.24,194564
28-Feb-17,29.47,29.50,29.40,29.42,100423
27-Feb-17,29.50,29.52,29.35,29.39,232577
24-Feb-17,29.45,29.50,29.41,29.46,339739
23-Feb-17,29.40,29.44,29.30,29.32,278502
22-Feb-17,29.40,29.47,29.23,29.34,165396
21-Feb-17,29.36,29.41,29.31,29.39,106593
17-Feb-17,29.45,29.45,29.33,29.34,305725
16-Feb-17,29.29,29.41,29.29,29.33,191583
15-Feb-17,29.21,29.36,29.17,29.22,272331
14-Feb-17,29.38,29.45,29.33,29.43,155722
13-Feb-17,29.27,29.35,29.22,29.34,177707
10-Feb-17,29.19,29.35,29.19,29.31,201927
9-Feb-17,29.32,29.34,29.23,29.24,148967
8-Feb-17,29.35,29.45,29.30,29.42,401546
7-Feb-17,29.14,29.27,29.11,29.23,113306
6-Feb-17,29.09,29.18,29.08,29.14,121485
3-Feb-17,29.15,29.19,29.03,29.04,88755
2-Feb-17,29.17,29.20,29.06,29.07,131600
1-Feb-17,29.09,29.14,29.02,29.12,215945
31-Jan-17,29.11,29.20,29.06,29.17,157095
30-Jan-17,29.14,29.16,29.06,29.09,210906
27-Jan-17,29.08,29.13,29.02,29.07,209328
26-Jan-17,29.03,29.06,28.93,29.01,200357
25-Jan-17,29.06,29.10,28.95,28.97,212511
24-Jan-17,29.14,29.23,29.07,29.12,149568
23-Jan-17,29.16,29.29,29.10,29.24,182470
20-Jan-17,29.14,29.14,29.00,29.11,64149
19-Jan-17,29.17,29.27,29.01,29.13,238454
18-Jan-17,29.29,29.33,29.17,29.18,142913
17-Jan-17,29.42,29.47,29.29,29.36,172895
13-Jan-17,29.27,29.29,29.19,29.23,297417
12-Jan-17,29.45,29.51,29.36,29.39,219905
11-Jan-17,29.41,29.45,29.30,29.38,93602
10-Jan-17,29.39,29.43,29.33,29.36,68101
9-Jan-17,29.37,29.43,29.34,29.39,164095
6-Jan-17,29.39,29.39,29.23,29.29,192076
5-Jan-17,29.21,29.46,29.20,29.39,209131
4-Jan-17,29.20,29.21,29.12,29.18,120765
3-Jan-17,29.00,29.15,28.99,29.12,103591
30-Dec-16,29.10,29.19,29.04,29.09,227647
29-Dec-16,29.04,29.20,29.02,29.10,119382
28-Dec-16,28.88,29.13,28.88,29.11,157584
27-Dec-16,28.88,28.95,28.82,28.86,200108
23-Dec-16,28.88,28.95,28.86,28.91,82912
22-Dec-16,28.84,28.91,28.82,28.86,127267
21-Dec-16,28.91,28.95,28.87,28.89,128245
20-Dec-16,28.85,28.94,28.83,28.94,218347
19-Dec-16,28.90,29.00,28.85,28.94,157248
16-Dec-16,28.81,28.94,28.77,28.83,191272
15-Dec-16,28.77,28.91,28.75,28.75,504801
14-Dec-16,29.11,29.15,28.87,28.88,297872
13-Dec-16,29.02,29.06,28.93,29.05,261714
12-Dec-16,29.01,29.09,28.93,29.01,231482
9-Dec-16,29.22,29.25,29.03,29.13,177608
8-Dec-16,29.26,29.39,29.18,29.25,280759
7-Dec-16,29.39,29.42,29.29,29.37,187908
6-Dec-16,29.34,29.38,29.22,29.27,191984
5-Dec-16,29.17,29.35,29.12,29.28,254027
2-Dec-16,29.25,29.33,29.18,29.27,179565
1-Dec-16,29.18,29.26,29.03,29.12,215228
30-Nov-16,29.27,29.34,29.20,29.31,321675
29-Nov-16,29.43,29.50,29.36,29.44,279359
28-Nov-16,29.43,29.48,29.30,29.46,131914
25-Nov-16,29.27,29.39,29.22,29.25,100330
23-Nov-16,29.25,29.30,29.10,29.28,221790
22-Nov-16,29.40,29.46,29.31,29.37,251711
21-Nov-16,29.42,29.47,29.29,29.31,251264
18-Nov-16,29.40,29.56,29.26,29.28,543063
17-Nov-16,29.55,29.61,29.39,29.43,159245
16-Nov-16,29.64,29.68,29.51,29.60,123371
15-Nov-16,29.32,29.69,29.32,29.57,395392
14-Nov-16,29.31,29.40,29.11,29.12,482311
11-Nov-16,29.60,29.67,29.34,29.44,316554
10-Nov-16,30.00,30.02,29.64,29.71,329570
9-Nov-16,30.30,30.36,29.86,29.90,609598
8-Nov-16,30.75,30.80,30.61,30.61,75048
7-Nov-16,30.75,30.76,30.65,30.69,85785
4-Nov-16,30.80,30.86,30.78,30.79,97237
3-Nov-16,30.68,30.78,30.65,30.71,125716
2-Nov-16,30.78,30.85,30.74,30.82,129655
1-Nov-16,30.67,30.78,30.66,30.78,301699
31-Oct-16,30.67,30.77,30.66,30.72,92285
28-Oct-16,30.67,30.72,30.55,30.67,141181
