Date,Open,High,Low,Close,Volume
16-Jun-17,45.58,45.88,45.29,45.75,19794
15-Jun-17,46.66,46.66,45.50,45.95,33100
14-Jun-17,47.42,47.42,46.83,46.97,24769
13-Jun-17,47.59,47.59,47.39,47.55,7410
12-Jun-17,47.97,47.97,47.87,47.87,2695
9-Jun-17,48.38,48.38,48.01,48.04,11615
8-Jun-17,48.09,48.60,48.09,48.43,3361
7-Jun-17,48.25,48.25,48.09,48.14,1199
6-Jun-17,48.55,48.55,48.29,48.35,2264
5-Jun-17,48.63,48.63,48.45,48.46,5603
2-Jun-17,48.95,49.14,48.69,48.70,4106
1-Jun-17,49.03,49.33,48.96,49.30,10413
31-May-17,48.90,48.94,48.79,48.79,37027
30-May-17,49.08,49.37,49.00,49.10,19399
26-May-17,49.35,49.35,49.00,49.04,2046
25-May-17,49.16,49.34,49.02,49.02,10390
24-May-17,49.75,49.90,49.21,49.21,1728
23-May-17,49.44,49.66,49.03,49.03,9589
22-May-17,50.19,50.23,49.94,50.02,8362
19-May-17,50.07,50.68,50.02,50.66,9041
18-May-17,50.95,51.00,50.40,50.45,4966
17-May-17,52.98,52.98,50.92,51.23,12022
16-May-17,53.75,53.75,51.85,51.92,19586
15-May-17,56.22,56.45,53.00,54.62,43610
12-May-17,52.52,53.89,52.47,52.56,30413
11-May-17,48.48,50.44,48.48,50.39,20371
10-May-17,49.19,49.19,48.57,48.60,10894
9-May-17,49.21,49.39,49.20,49.32,4849
8-May-17,49.02,49.24,49.02,49.10,6895
5-May-17,49.93,49.93,49.44,49.46,11907
4-May-17,50.34,50.48,50.29,50.29,5826
3-May-17,50.42,50.50,50.14,50.16,3527
2-May-17,50.23,50.54,50.12,50.40,1165
1-May-17,49.93,50.40,49.93,50.20,2157
28-Apr-17,49.50,50.18,49.50,50.17,727
27-Apr-17,50.06,50.14,49.54,49.54,4662
26-Apr-17,50.59,50.78,50.23,50.38,15460
25-Apr-17,49.75,50.58,49.75,50.58,14479
24-Apr-17,50.45,50.50,49.62,49.62,2278
21-Apr-17,50.31,50.52,50.24,50.50,2841
20-Apr-17,50.26,50.65,50.22,50.39,2819
19-Apr-17,50.02,50.22,49.40,49.87,7544
18-Apr-17,49.59,49.88,49.59,49.71,5316
17-Apr-17,49.06,49.87,49.06,49.87,5057
13-Apr-17,48.50,48.50,48.40,48.40,3420
12-Apr-17,48.59,48.60,48.38,48.38,1707
11-Apr-17,48.35,48.79,48.29,48.40,3025
10-Apr-17,47.97,48.68,47.85,48.63,23960
7-Apr-17,48.03,48.05,47.51,47.59,25233
6-Apr-17,48.42,48.42,48.29,48.31,1291
5-Apr-17,48.63,48.63,48.49,48.50,1861
4-Apr-17,48.71,48.79,48.39,48.79,32661
3-Apr-17,50.34,50.39,48.94,48.95,8880
31-Mar-17,49.49,50.31,49.28,50.17,9604
30-Mar-17,49.57,49.58,49.43,49.43,3795
29-Mar-17,49.68,49.75,49.24,49.35,3690
28-Mar-17,49.85,50.25,49.85,49.88,5086
27-Mar-17,50.45,50.45,50.02,50.02,2299
24-Mar-17,50.63,50.77,50.23,50.31,2399
23-Mar-17,50.37,50.48,50.10,50.10,1957
22-Mar-17,50.35,50.66,50.35,50.36,1130
21-Mar-17,50.00,50.01,49.87,49.95,3708
20-Mar-17,51.02,51.23,50.25,50.26,10840
17-Mar-17,50.86,51.03,50.86,50.97,5040
16-Mar-17,51.30,51.30,50.78,50.87,8020
15-Mar-17,50.51,50.85,50.51,50.85,2023
14-Mar-17,50.12,50.12,49.92,50.10,4960
13-Mar-17,50.35,50.35,49.86,49.99,5836
10-Mar-17,50.41,50.41,50.16,50.16,1450
9-Mar-17,50.71,51.00,50.23,50.58,8075
8-Mar-17,50.64,50.87,50.64,50.75,10188
7-Mar-17,51.38,51.38,50.53,50.58,1002
6-Mar-17,51.48,51.57,51.17,51.49,3955
3-Mar-17,50.12,50.64,49.89,50.59,2001
2-Mar-17,51.01,51.48,49.53,49.93,21635
1-Mar-17,49.67,50.67,49.67,50.67,14602
28-Feb-17,49.51,49.73,49.50,49.50,1593
27-Feb-17,50.04,50.10,49.32,49.36,2913
24-Feb-17,50.01,50.01,49.56,49.81,9131
23-Feb-17,49.30,49.51,49.30,49.36,4283
22-Feb-17,49.37,49.37,48.86,48.96,4782
21-Feb-17,49.00,49.24,48.96,49.05,23200
