Date,Open,High,Low,Close,Volume
19-Jun-17,310.50,312.10,308.70,311.70,1483311
16-Jun-17,306.40,309.70,304.90,308.40,4260072
15-Jun-17,314.30,314.30,303.70,305.20,2459748
14-Jun-17,309.80,314.60,309.80,314.10,1672639
13-Jun-17,308.00,308.80,306.40,308.80,1851082
12-Jun-17,308.80,309.70,306.10,307.40,1520978
9-Jun-17,305.00,310.90,304.20,310.60,1884809
8-Jun-17,304.60,305.20,303.40,304.70,1423722
7-Jun-17,305.60,305.70,303.40,305.00,2561927
6-Jun-17,315.40,315.90,305.00,305.60,2789562
5-Jun-17,315.00,320.00,314.00,317.20,1792438
2-Jun-17,321.20,324.40,320.40,323.70,1127312
1-Jun-17,324.50,324.50,321.80,321.80,1558788
31-May-17,319.80,324.00,318.60,322.30,2474519
30-May-17,318.40,319.10,316.20,318.60,1314119
26-May-17,317.10,319.90,315.00,319.00,1137019
25-May-17,316.00,316.70,313.30,316.10,1203419
24-May-17,315.20,315.41,311.30,313.70,1201432
23-May-17,310.90,319.20,310.90,313.70,1790458
22-May-17,307.80,313.80,306.79,307.47,2126685
19-May-17,304.40,308.00,304.40,308.00,1953895
18-May-17,305.00,305.00,302.60,304.50,2738138
17-May-17,301.40,305.20,301.40,304.20,1697490
16-May-17,300.60,304.30,299.50,303.80,2062478
15-May-17,303.90,303.90,299.60,300.60,1376935
12-May-17,304.70,305.90,301.20,302.10,1005927
11-May-17,304.90,306.50,303.10,305.10,1819745
10-May-17,301.40,304.40,300.90,304.40,1565180
9-May-17,299.10,305.00,298.80,302.00,2031261
8-May-17,309.50,310.90,297.70,299.70,4684780
5-May-17,311.70,313.80,308.90,313.80,1773131
4-May-17,312.60,313.70,308.10,311.30,2155423
3-May-17,316.20,316.20,311.30,311.80,1328035
2-May-17,312.00,317.10,311.70,316.20,1362721
28-Apr-17,310.50,313.00,309.30,311.30,1418082
27-Apr-17,309.30,312.20,309.30,312.00,1307699
26-Apr-17,309.90,315.40,309.90,311.90,1354222
25-Apr-17,309.60,312.80,309.60,311.00,1091738
24-Apr-17,308.30,312.17,306.50,311.00,2186108
