Date,Open,High,Low,Close,Volume
16-Jun-17,21.58,21.58,21.40,21.40,6255
15-Jun-17,21.38,21.54,21.35,21.47,9197
14-Jun-17,21.62,21.62,21.46,21.57,10626
13-Jun-17,21.78,21.86,21.73,21.73,5175
12-Jun-17,21.54,21.79,21.54,21.67,22516
9-Jun-17,22.00,22.00,21.54,21.54,7031
8-Jun-17,22.00,22.00,21.73,21.97,16869
7-Jun-17,21.55,21.80,21.55,21.65,14733
6-Jun-17,21.76,21.76,21.65,21.68,4999
5-Jun-17,21.89,21.89,21.65,21.78,13729
2-Jun-17,21.54,21.68,21.42,21.65,6932
1-Jun-17,21.52,21.53,21.25,21.46,17012
31-May-17,21.55,21.61,21.28,21.34,14547
30-May-17,21.58,21.58,21.43,21.45,5763
26-May-17,21.36,21.56,21.36,21.43,17925
25-May-17,21.58,21.58,21.41,21.41,8537
24-May-17,21.26,21.51,21.26,21.43,25816
23-May-17,21.30,21.38,21.23,21.35,12293
22-May-17,21.53,21.53,21.20,21.21,15660
19-May-17,21.06,21.34,21.06,21.28,7046
18-May-17,21.53,21.53,21.01,21.12,6977
17-May-17,21.56,21.56,21.12,21.27,6112
16-May-17,21.50,21.53,21.34,21.45,19476
15-May-17,21.36,21.54,21.34,21.36,10855
12-May-17,21.41,21.47,21.26,21.32,7797
11-May-17,21.47,21.47,21.29,21.34,5869
10-May-17,21.44,21.50,21.37,21.45,8540
9-May-17,21.18,21.45,21.18,21.36,5691
8-May-17,21.28,21.44,21.22,21.22,12771
5-May-17,21.28,21.31,21.10,21.18,12198
4-May-17,21.28,21.35,21.06,21.16,9355
3-May-17,21.45,21.45,21.16,21.24,6188
2-May-17,21.48,21.48,21.32,21.37,8072
1-May-17,21.38,21.45,21.20,21.38,13083
28-Apr-17,21.37,21.38,21.26,21.31,6127
27-Apr-17,21.33,21.34,21.29,21.33,8843
26-Apr-17,21.22,21.39,21.22,21.33,4585
25-Apr-17,21.25,21.47,21.09,21.29,13605
24-Apr-17,21.16,21.26,21.16,21.18,7505
21-Apr-17,21.17,21.21,21.04,21.08,8569
20-Apr-17,21.20,21.20,21.03,21.10,13600
19-Apr-17,21.22,21.22,21.02,21.03,7616
18-Apr-17,21.03,21.05,20.95,21.02,5264
17-Apr-17,21.17,21.39,21.06,21.12,5972
13-Apr-17,20.98,21.17,20.96,20.96,4965
12-Apr-17,21.30,21.39,21.00,21.08,23905
11-Apr-17,21.26,21.31,21.05,21.31,7335
10-Apr-17,21.27,21.31,21.20,21.21,8772
7-Apr-17,21.18,21.28,21.05,21.17,5223
6-Apr-17,21.22,21.22,21.09,21.14,13514
