Date,Open,High,Low,Close,Volume
16-Jun-17,14.88,14.88,14.85,14.85,2738
15-Jun-17,14.79,14.83,14.75,14.82,10145
14-Jun-17,14.86,14.89,14.79,14.83,10749
13-Jun-17,14.82,14.82,14.76,14.76,3987
12-Jun-17,14.72,14.80,14.72,14.79,2890
9-Jun-17,14.89,14.89,14.72,14.72,12336
8-Jun-17,14.89,14.95,14.85,14.87,4513
7-Jun-17,14.95,14.95,14.94,14.95,2425
6-Jun-17,14.88,14.95,14.88,14.88,2759
5-Jun-17,14.87,14.95,14.84,14.88,6353
2-Jun-17,14.89,14.95,14.88,14.95,18477
1-Jun-17,14.89,14.89,14.85,14.85,3832
31-May-17,14.91,14.91,14.76,14.88,13944
30-May-17,14.71,14.77,14.70,14.77,10134
26-May-17,14.63,14.81,14.63,14.76,14196
25-May-17,14.71,14.93,14.67,14.67,6112
24-May-17,14.80,14.83,14.72,14.78,11687
23-May-17,14.84,14.84,14.70,14.72,7841
22-May-17,14.82,14.82,14.72,14.73,10559
19-May-17,14.74,14.78,14.70,14.72,16949
18-May-17,15.03,15.03,14.81,14.84,8512
17-May-17,14.97,14.97,14.81,14.89,6070
16-May-17,14.88,14.88,14.81,14.81,3665
15-May-17,14.94,14.94,14.78,14.86,5936
12-May-17,14.63,14.83,14.63,14.82,16298
11-May-17,14.65,14.72,14.54,14.55,28135
10-May-17,14.71,14.71,14.61,14.63,8590
9-May-17,14.68,14.76,14.63,14.67,13699
8-May-17,14.80,14.80,14.68,14.69,11318
5-May-17,14.63,14.81,14.63,14.70,9252
4-May-17,14.69,14.84,14.65,14.72,10266
3-May-17,14.73,14.91,14.70,14.75,9415
2-May-17,14.82,14.82,14.72,14.73,9043
1-May-17,14.75,14.82,14.73,14.77,10131
28-Apr-17,14.68,14.76,14.68,14.75,6866
27-Apr-17,14.89,14.89,14.81,14.81,4714
26-Apr-17,14.84,14.87,14.84,14.86,4023
25-Apr-17,14.88,14.90,14.80,14.80,7213
24-Apr-17,15.08,15.12,14.85,14.85,10876
21-Apr-17,15.15,15.15,15.00,15.12,6766
20-Apr-17,15.10,15.15,14.94,15.01,9102
19-Apr-17,14.95,15.05,14.87,15.05,12814
18-Apr-17,14.78,14.95,14.78,14.95,7417
17-Apr-17,14.81,14.84,14.76,14.81,2357
13-Apr-17,14.83,14.89,14.79,14.80,10872
12-Apr-17,14.86,14.90,14.86,14.88,7960
11-Apr-17,14.74,15.02,14.74,14.93,8652
10-Apr-17,14.87,14.91,14.85,14.89,1370
7-Apr-17,14.92,14.98,14.88,14.91,8106
6-Apr-17,14.87,14.98,14.79,14.92,12214
5-Apr-17,14.85,14.95,14.73,14.80,4589
4-Apr-17,14.81,14.81,14.70,14.71,2869
3-Apr-17,14.56,14.77,14.56,14.71,3885
31-Mar-17,14.67,14.67,14.65,14.65,717
30-Mar-17,14.58,14.67,14.58,14.59,2023
29-Mar-17,14.51,14.65,14.51,14.65,2567
28-Mar-17,14.63,14.63,14.55,14.56,4948
27-Mar-17,14.57,14.59,14.52,14.55,9213
24-Mar-17,14.44,14.56,14.44,14.48,1153
23-Mar-17,14.48,14.51,14.47,14.51,10183
22-Mar-17,14.37,14.48,14.37,14.46,17707
21-Mar-17,14.33,14.38,14.28,14.35,8117
20-Mar-17,14.23,14.36,14.18,14.36,13526
17-Mar-17,14.13,14.22,14.11,14.21,8857
16-Mar-17,14.15,14.23,14.10,14.18,19010
15-Mar-17,14.13,14.23,14.12,14.23,14307
14-Mar-17,14.12,14.21,14.11,14.19,5362
13-Mar-17,14.11,14.24,14.08,14.18,13353
10-Mar-17,14.53,14.53,14.20,14.26,38426
9-Mar-17,14.66,14.69,14.46,14.46,22197
8-Mar-17,14.75,14.77,14.64,14.65,12504
7-Mar-17,14.82,14.89,14.74,14.80,7906
6-Mar-17,14.84,15.04,14.82,14.84,4122
3-Mar-17,14.82,15.14,14.80,14.83,5957
2-Mar-17,14.85,14.85,14.80,14.83,6537
1-Mar-17,14.84,14.88,14.76,14.88,12972
28-Feb-17,14.84,14.90,14.82,14.89,9992
27-Feb-17,14.83,14.87,14.74,14.84,11411
24-Feb-17,14.78,14.85,14.78,14.84,7918
23-Feb-17,14.92,14.92,14.75,14.79,6251
22-Feb-17,14.84,14.87,14.77,14.87,8640
21-Feb-17,14.74,14.90,14.72,14.84,17278
17-Feb-17,14.77,14.82,14.70,14.72,14156
16-Feb-17,14.72,14.74,14.70,14.71,7155
15-Feb-17,14.82,14.82,14.71,14.71,12565
14-Feb-17,14.90,14.90,14.80,14.81,27359
13-Feb-17,14.90,15.01,14.88,14.88,4343
10-Feb-17,14.91,14.96,14.90,14.96,3889
9-Feb-17,14.99,15.03,14.91,14.92,8641
8-Feb-17,15.01,15.13,14.97,15.03,5409
7-Feb-17,14.98,15.02,14.95,14.98,5504
6-Feb-17,14.85,14.95,14.85,14.91,10516
3-Feb-17,14.86,15.12,14.86,14.93,14427
2-Feb-17,14.91,14.94,14.81,14.87,2487
1-Feb-17,14.95,14.95,14.84,14.84,3072
31-Jan-17,14.78,14.87,14.78,14.84,5152
30-Jan-17,14.82,14.88,14.75,14.88,1925
27-Jan-17,14.77,14.77,14.75,14.77,1616
26-Jan-17,14.70,14.77,14.69,14.71,8106
25-Jan-17,14.82,14.82,14.71,14.73,4539
24-Jan-17,14.89,14.89,14.79,14.79,19731
23-Jan-17,14.73,14.88,14.73,14.85,8880
20-Jan-17,14.86,14.86,14.67,14.79,8443
19-Jan-17,14.88,14.92,14.80,14.83,9999
18-Jan-17,14.89,14.93,14.83,14.88,11358
17-Jan-17,14.94,14.94,14.86,14.86,15485
13-Jan-17,14.86,14.94,14.80,14.92,7206
12-Jan-17,14.76,14.89,14.76,14.85,5494
11-Jan-17,14.67,14.79,14.67,14.74,12391
10-Jan-17,14.62,14.99,14.62,14.76,15775
9-Jan-17,14.62,14.77,14.62,14.63,4988
6-Jan-17,14.61,14.66,14.58,14.61,4608
