Date,Open,High,Low,Close,Volume
16-Jun-17,37.17,37.17,36.97,37.15,13579
15-Jun-17,37.03,37.09,36.83,37.02,9565
14-Jun-17,37.71,37.72,37.29,37.42,11437
13-Jun-17,37.63,37.75,37.49,37.54,14495
12-Jun-17,37.49,37.53,37.27,37.45,13436
9-Jun-17,38.19,38.19,37.56,37.72,33372
8-Jun-17,38.18,38.18,37.95,38.18,20914
7-Jun-17,37.76,37.84,37.60,37.74,14031
6-Jun-17,37.56,37.84,37.56,37.71,32614
5-Jun-17,37.59,37.67,37.51,37.52,25141
2-Jun-17,37.69,37.69,37.53,37.63,12098
1-Jun-17,37.52,37.70,37.45,37.65,16282
31-May-17,37.54,37.61,37.30,37.35,54163
30-May-17,37.64,37.72,37.57,37.69,14349
26-May-17,37.55,37.65,37.52,37.65,52043
25-May-17,37.49,37.60,37.38,37.47,18739
24-May-17,37.16,37.30,37.10,37.18,37579
23-May-17,37.21,37.25,37.05,37.10,37544
22-May-17,37.15,37.26,37.07,37.17,73279
19-May-17,36.98,37.22,36.94,37.11,94854
18-May-17,36.18,36.78,36.00,36.45,81788
17-May-17,37.91,37.93,37.48,37.51,144896
16-May-17,38.00,38.22,38.00,38.21,120948
15-May-17,37.83,38.00,37.75,37.98,85267
12-May-17,37.51,37.67,37.51,37.65,20999
11-May-17,37.35,37.39,37.11,37.39,38824
10-May-17,37.20,37.40,37.14,37.40,54178
9-May-17,36.83,37.07,36.78,36.84,4499071
8-May-17,36.64,36.64,36.44,36.49,38625
5-May-17,36.26,36.51,36.20,36.51,38301
4-May-17,36.58,36.58,36.27,36.33,32918
3-May-17,37.00,37.04,36.78,36.80,44957
2-May-17,37.00,37.15,37.00,37.12,23267
1-May-17,36.87,37.10,36.86,37.01,59777
28-Apr-17,36.71,36.86,36.65,36.85,101687
27-Apr-17,36.87,36.88,36.68,36.79,74359
26-Apr-17,36.92,37.02,36.80,36.86,50457
25-Apr-17,36.82,37.04,36.81,36.99,42805
24-Apr-17,36.55,36.65,36.55,36.60,55549
21-Apr-17,36.12,36.17,36.02,36.10,65549
20-Apr-17,36.17,36.25,36.05,36.18,53692
19-Apr-17,36.02,36.04,35.67,35.69,51349
18-Apr-17,35.96,36.10,35.82,35.91,32155
17-Apr-17,36.15,36.43,36.05,36.43,32512
13-Apr-17,36.21,36.31,35.96,35.98,149909
12-Apr-17,36.23,36.23,36.01,36.17,29411
11-Apr-17,36.30,36.30,35.95,36.17,79536
10-Apr-17,36.29,36.38,36.21,36.33,55740
7-Apr-17,36.43,36.60,36.40,36.47,25279
6-Apr-17,36.54,36.67,36.40,36.47,24698
5-Apr-17,36.84,36.87,36.57,36.57,42547
4-Apr-17,36.58,36.71,36.45,36.62,109412
3-Apr-17,36.34,36.67,36.33,36.65,3382785
31-Mar-17,36.24,36.39,36.20,36.32,23347
30-Mar-17,36.49,36.55,36.46,36.48,16317
29-Mar-17,36.38,36.67,36.38,36.67,35280
28-Mar-17,36.36,36.54,36.32,36.46,12627
27-Mar-17,36.06,36.33,35.94,36.33,27112
