Date,Open,High,Low,Close,Volume
19-Jun-17,83.83,84.39,83.79,84.05,3472
16-Jun-17,83.69,84.07,83.15,83.50,2350
15-Jun-17,84.24,84.24,83.00,83.21,5212
14-Jun-17,85.15,85.15,83.81,84.09,2712
13-Jun-17,84.95,85.42,84.95,85.27,1490
12-Jun-17,84.43,85.71,84.26,85.11,3074
9-Jun-17,84.38,84.61,84.17,84.54,1182
8-Jun-17,85.15,85.15,83.80,84.00,3641
7-Jun-17,84.80,85.29,84.36,84.81,1413
6-Jun-17,85.90,85.90,84.50,84.84,3648
2-Jun-17,85.25,86.92,85.25,86.14,3991
1-Jun-17,83.66,85.27,83.66,85.13,2680
31-May-17,84.07,84.38,83.08,83.65,1964
30-May-17,84.83,84.83,84.03,84.44,3175
29-May-17,84.10,84.77,83.89,84.77,6925
26-May-17,84.97,85.29,83.78,84.30,4188
25-May-17,85.84,85.99,84.91,85.40,745
24-May-17,86.10,86.14,85.19,85.98,3669
23-May-17,86.07,87.42,86.03,86.21,5819
22-May-17,86.35,86.58,85.20,85.91,3665
19-May-17,85.53,86.57,85.40,86.39,3396
18-May-17,85.90,86.30,83.88,85.00,9270
17-May-17,86.43,87.05,85.79,85.87,8748
16-May-17,87.49,87.49,86.48,86.48,5679
15-May-17,87.41,87.70,86.63,87.25,8155
12-May-17,86.70,87.90,86.70,87.41,16753
11-May-17,90.80,91.02,89.68,90.30,13510
10-May-17,89.65,90.84,89.35,90.84,14649
9-May-17,90.27,90.27,88.84,89.76,14795
8-May-17,90.18,90.37,88.97,89.67,16340
5-May-17,87.89,89.29,87.00,89.29,21264
4-May-17,87.30,88.50,86.78,87.92,8385
3-May-17,87.65,87.78,86.68,87.12,6650
2-May-17,88.28,88.28,87.18,87.92,8442
28-Apr-17,87.98,88.21,87.53,87.53,3856
27-Apr-17,88.64,88.64,87.32,87.92,3832
26-Apr-17,88.40,88.92,86.40,88.44,7180
25-Apr-17,87.40,87.99,87.00,87.55,5502
24-Apr-17,86.00,87.60,86.00,87.11,20709
21-Apr-17,84.43,85.36,84.02,84.72,5593
20-Apr-17,83.95,85.02,83.43,83.87,9292
19-Apr-17,82.75,84.20,82.75,84.19,1795
18-Apr-17,83.30,83.45,81.92,82.64,8080
13-Apr-17,83.56,83.78,82.62,82.64,3066
12-Apr-17,83.25,83.84,83.04,83.60,8440
11-Apr-17,82.88,82.95,82.05,82.42,4072
10-Apr-17,82.96,83.17,82.15,82.90,4363
7-Apr-17,82.78,83.15,82.37,83.15,4267
6-Apr-17,82.74,83.16,81.90,83.16,5925
5-Apr-17,83.78,84.12,83.00,83.13,6568
4-Apr-17,85.04,85.04,83.00,83.74,17852
3-Apr-17,85.44,86.00,84.63,85.08,6643
31-Mar-17,85.55,85.60,84.80,85.50,4079
30-Mar-17,84.64,85.79,84.64,85.65,6707
29-Mar-17,84.70,85.25,84.24,85.02,7670
28-Mar-17,84.00,84.85,83.58,84.49,16082
27-Mar-17,83.45,83.94,82.48,83.94,5100
24-Mar-17,83.50,83.89,82.50,83.47,4584
23-Mar-17,83.41,83.41,82.22,83.29,5336
22-Mar-17,82.54,82.94,81.11,82.94,10537
21-Mar-17,82.50,84.64,81.90,82.84,11867
20-Mar-17,83.00,83.00,82.00,82.69,8858
17-Mar-17,83.60,83.70,82.16,82.70,14090
16-Mar-17,84.10,84.61,83.24,84.20,60373
15-Mar-17,83.77,83.77,82.96,83.60,5130
14-Mar-17,84.26,84.26,83.05,83.71,4951
13-Mar-17,83.34,84.19,83.34,84.10,6719
10-Mar-17,84.78,85.50,83.40,83.90,11862
9-Mar-17,86.65,86.90,83.06,84.52,22809
8-Mar-17,86.49,87.12,85.88,86.96,5679
7-Mar-17,86.52,86.86,86.12,86.53,2163
6-Mar-17,86.97,87.00,86.04,86.14,2990
3-Mar-17,86.95,87.60,86.31,87.22,3017
2-Mar-17,86.71,87.36,86.43,86.96,5288
1-Mar-17,84.84,86.76,84.84,85.91,7280
28-Feb-17,84.92,84.92,84.00,84.20,3601
27-Feb-17,84.75,84.77,84.31,84.73,3581
24-Feb-17,85.59,85.68,83.60,84.15,8437
23-Feb-17,86.84,87.50,85.55,85.55,2516
22-Feb-17,86.70,87.13,86.25,86.59,5567
21-Feb-17,85.39,86.74,84.79,86.69,2761
20-Feb-17,85.80,86.21,85.00,85.28,4826
17-Feb-17,85.28,85.39,84.30,84.82,2733
16-Feb-17,86.35,86.35,85.16,85.76,1887
15-Feb-17,86.84,86.95,85.33,85.97,6856
14-Feb-17,86.42,86.69,86.07,86.51,3865
13-Feb-17,85.40,87.20,85.30,86.48,8895
10-Feb-17,84.96,85.44,84.80,84.86,1325
9-Feb-17,83.86,85.00,83.34,85.00,5810
8-Feb-17,82.79,84.10,82.50,83.85,5225
7-Feb-17,82.68,83.54,82.57,82.99,6909
6-Feb-17,84.34,84.34,82.58,82.80,9358
3-Feb-17,84.57,84.63,84.00,84.34,2727
2-Feb-17,84.49,84.71,83.72,84.46,6345
1-Feb-17,85.04,85.57,84.26,84.83,11270
31-Jan-17,86.46,86.46,83.96,84.38,9721
30-Jan-17,87.24,87.24,85.99,86.50,2472
27-Jan-17,87.70,87.77,87.14,87.73,5267
26-Jan-17,89.45,89.71,87.56,87.95,5478
25-Jan-17,87.50,89.33,87.50,89.02,7511
