Date,Open,High,Low,Close,Volume
16-Jun-17,82.08,82.17,82.07,82.16,1376407
15-Jun-17,82.13,82.13,82.03,82.07,2063366
14-Jun-17,82.21,82.33,82.08,82.16,2472954
13-Jun-17,81.81,81.89,81.79,81.86,1515102
12-Jun-17,81.79,81.95,81.77,81.84,2053929
9-Jun-17,81.80,81.91,81.77,81.86,1404519
8-Jun-17,81.97,81.97,81.81,81.93,1828154
7-Jun-17,82.08,82.10,81.97,81.99,1743506
6-Jun-17,82.11,82.15,82.05,82.10,3262507
5-Jun-17,81.98,82.01,81.93,81.95,1916218
2-Jun-17,81.99,82.11,81.97,82.08,1795159
1-Jun-17,81.71,81.82,81.69,81.81,1710895
31-May-17,81.92,82.01,81.90,81.96,2290054
30-May-17,81.87,81.92,81.82,81.92,1283326
26-May-17,81.77,81.81,81.73,81.80,952666
25-May-17,81.77,81.79,81.69,81.76,1108371
24-May-17,81.63,81.77,81.58,81.76,1568743
23-May-17,81.84,81.84,81.58,81.59,1679534
22-May-17,81.80,81.80,81.74,81.76,1570719
19-May-17,81.81,81.83,81.70,81.83,1394681
18-May-17,81.87,81.89,81.74,81.78,1881841
17-May-17,81.63,81.87,81.63,81.85,1987109
16-May-17,81.36,81.51,81.36,81.41,1760573
15-May-17,81.30,81.39,81.30,81.33,1823465
12-May-17,81.29,81.38,81.25,81.35,1510314
11-May-17,81.00,81.11,80.93,81.11,1421523
10-May-17,81.14,81.20,81.01,81.05,1845536
9-May-17,81.05,81.10,81.00,81.06,2532184
8-May-17,81.19,81.21,81.06,81.10,1832262
5-May-17,81.20,81.24,81.10,81.24,1658920
4-May-17,81.14,81.20,81.09,81.19,1216082
3-May-17,81.40,81.45,81.22,81.28,2948426
2-May-17,81.24,81.38,81.20,81.37,1664291
1-May-17,81.34,81.41,81.14,81.23,1478157
28-Apr-17,81.40,81.59,81.36,81.55,2100002
27-Apr-17,81.42,81.52,81.37,81.46,1543129
26-Apr-17,81.29,81.42,81.26,81.40,1876229
25-Apr-17,81.41,81.46,81.27,81.32,1670922
24-Apr-17,81.48,81.59,81.43,81.57,2665681
21-Apr-17,81.73,81.79,81.66,81.68,1241682
20-Apr-17,81.74,81.74,81.58,81.66,1425716
