Date,Open,High,Low,Close,Volume
16-Jun-17,71.10,71.59,70.84,71.47,1692061
15-Jun-17,69.99,70.81,69.85,70.50,2670068
14-Jun-17,70.86,71.22,70.49,70.73,2747062
13-Jun-17,70.14,70.14,69.60,69.85,1417065
12-Jun-17,70.25,70.33,69.78,70.02,2000131
9-Jun-17,71.26,71.54,69.56,70.12,3420734
8-Jun-17,72.72,72.77,71.87,72.03,1934127
7-Jun-17,72.91,73.28,72.71,73.28,1662402
6-Jun-17,72.75,73.41,72.75,73.22,1595978
5-Jun-17,72.90,73.03,72.65,73.03,1918914
2-Jun-17,72.30,73.04,72.20,73.04,2273686
1-Jun-17,72.12,72.37,71.58,72.32,2691352
31-May-17,71.57,72.19,71.51,72.12,2605892
30-May-17,71.01,71.61,70.95,71.56,2450400
26-May-17,71.53,71.97,71.52,71.86,791947
25-May-17,71.37,71.80,71.22,71.67,2223480
24-May-17,70.75,71.05,70.57,71.00,838303
23-May-17,71.14,71.41,70.45,70.65,2401428
22-May-17,71.10,71.62,71.04,71.54,1072029
19-May-17,70.52,70.98,70.39,70.94,1469161
18-May-17,70.66,70.72,69.89,69.89,2336819
17-May-17,71.49,71.49,71.02,71.12,1599945
16-May-17,71.08,71.30,70.87,71.24,1620321
15-May-17,70.00,70.02,69.68,70.02,1150799
12-May-17,69.28,69.91,69.19,69.91,1258487
11-May-17,69.02,69.31,68.80,69.24,1866407
10-May-17,68.87,69.18,68.79,69.18,1702111
9-May-17,69.38,69.44,68.57,68.79,3034638
8-May-17,69.00,69.03,68.57,68.90,1565021
5-May-17,68.71,68.77,68.38,68.63,2178773
4-May-17,68.01,68.14,67.76,68.03,1962645
3-May-17,68.26,68.26,67.70,67.91,1220353
2-May-17,68.37,68.44,68.11,68.32,1224110
1-May-17,67.49,68.18,67.49,67.77,1125675
28-Apr-17,67.90,68.14,67.80,68.04,937346
27-Apr-17,68.16,68.31,67.72,67.83,1528078
26-Apr-17,68.65,68.79,68.22,68.25,2849746
