Date,Open,High,Low,Close,Volume
16-Jun-17,9.60,9.60,9.50,9.58,20165
15-Jun-17,9.70,9.70,9.61,9.63,8979
14-Jun-17,9.67,9.73,9.54,9.73,14013
13-Jun-17,9.82,9.87,9.75,9.76,55618
12-Jun-17,10.12,10.13,9.89,9.91,153903
9-Jun-17,10.01,10.05,9.98,10.00,6114
8-Jun-17,9.90,10.11,9.87,10.09,6321
7-Jun-17,9.92,9.97,9.75,9.90,9374
6-Jun-17,9.75,9.90,9.70,9.81,6260
5-Jun-17,9.81,9.97,9.75,9.80,33490
2-Jun-17,10.01,10.08,9.70,9.75,25745
1-Jun-17,10.25,10.31,10.00,10.04,19028
31-May-17,10.50,10.50,10.34,10.40,21029
30-May-17,10.46,10.52,10.36,10.50,29407
26-May-17,10.59,10.70,10.54,10.60,27572
25-May-17,10.85,10.93,10.83,10.87,3162
24-May-17,10.83,10.90,10.71,10.88,55399
23-May-17,11.15,11.15,10.93,10.93,19488
22-May-17,11.27,11.30,11.18,11.20,169595
19-May-17,11.08,11.26,11.08,11.18,6823
18-May-17,10.98,11.15,10.90,10.98,33145
17-May-17,11.25,11.33,11.10,11.33,25016
16-May-17,11.00,11.18,11.00,11.17,50927
15-May-17,11.01,11.03,10.91,10.91,2733
12-May-17,10.93,10.95,10.90,10.91,7281
11-May-17,10.95,11.06,10.95,11.06,3162
10-May-17,10.90,11.12,10.90,11.12,11084
9-May-17,10.98,10.98,10.80,10.92,9095
8-May-17,10.84,10.90,10.80,10.90,6367
5-May-17,10.96,10.96,10.75,10.85,74978
4-May-17,10.85,10.87,10.74,10.76,8574
3-May-17,10.92,11.14,10.89,11.14,4015
2-May-17,11.14,11.14,11.12,11.12,1202
1-May-17,11.23,11.29,11.09,11.29,6620
28-Apr-17,11.06,11.25,11.05,11.22,20157
27-Apr-17,11.00,11.00,10.76,10.78,61400
26-Apr-17,11.30,11.35,10.91,10.98,67616
25-Apr-17,11.42,11.44,11.38,11.38,3219
24-Apr-17,11.38,11.42,11.35,11.40,2421
21-Apr-17,11.58,11.59,11.47,11.50,7605
20-Apr-17,11.55,11.56,11.38,11.49,9269
19-Apr-17,11.66,11.73,11.51,11.55,22235
18-Apr-17,11.54,11.85,11.40,11.83,77349
17-Apr-17,11.63,11.65,11.49,11.58,268362
13-Apr-17,11.77,11.78,11.53,11.70,13356
12-Apr-17,11.70,11.70,11.64,11.64,2439
