Date,Open,High,Low,Close,Volume
16-Jun-17,107.41,107.41,107.01,107.06,3296
15-Jun-17,107.30,107.56,107.16,107.48,3293
14-Jun-17,107.87,108.07,107.87,107.96,1741
13-Jun-17,107.58,107.69,107.54,107.54,1309
12-Jun-17,107.60,107.60,106.80,107.09,3506
9-Jun-17,108.06,108.22,107.20,107.36,9274
8-Jun-17,108.08,108.29,107.96,107.96,7303
7-Jun-17,108.48,108.53,108.34,108.53,2722
6-Jun-17,108.35,108.61,108.34,108.34,2975
5-Jun-17,120.00,120.00,108.72,108.82,14479
2-Jun-17,108.74,109.07,108.74,108.94,11192
1-Jun-17,107.79,108.30,107.73,108.30,4095
31-May-17,107.85,107.85,107.06,107.54,4228
30-May-17,107.37,107.43,107.19,107.38,7881
26-May-17,107.27,107.30,107.15,107.30,6557
25-May-17,106.61,107.37,106.61,107.27,19149
24-May-17,106.15,106.48,106.15,106.37,7024
23-May-17,106.27,106.27,106.05,106.09,15260
22-May-17,116.03,116.03,105.43,106.08,5607
19-May-17,105.15,105.65,105.11,105.41,4857
18-May-17,104.64,105.20,104.50,104.88,3648
17-May-17,105.81,105.81,104.48,104.48,6239
16-May-17,106.09,106.29,105.98,106.23,4765
15-May-17,106.31,106.31,106.26,106.26,841
12-May-17,106.11,106.11,105.86,105.86,961
11-May-17,105.55,106.13,105.55,106.08,3798
10-May-17,106.07,106.35,106.07,106.32,4085
9-May-17,106.16,106.54,106.16,106.50,3049
8-May-17,106.27,106.27,106.16,106.16,2961
5-May-17,105.95,106.27,105.87,106.27,2747
4-May-17,105.62,105.82,105.62,105.82,4954
3-May-17,105.75,105.75,105.52,105.56,2129
2-May-17,105.98,105.98,105.67,105.95,4116
1-May-17,105.97,105.97,105.67,105.75,6923
28-Apr-17,105.89,105.89,105.46,105.61,1883
27-Apr-17,105.69,105.78,105.51,105.67,3296
26-Apr-17,105.58,105.60,105.35,105.37,4525
25-Apr-17,105.11,105.30,105.11,105.21,2512
24-Apr-17,104.55,104.67,104.29,104.58,3903
21-Apr-17,103.53,103.53,103.28,103.49,3282
20-Apr-17,103.02,103.76,102.98,103.70,3973
19-Apr-17,103.05,103.18,102.55,102.61,4186
18-Apr-17,102.60,102.78,102.34,102.64,4089
17-Apr-17,102.45,102.84,102.37,102.84,2397
13-Apr-17,102.69,102.76,102.14,102.14,6291
12-Apr-17,102.88,102.98,102.58,102.58,5157
11-Apr-17,103.03,103.12,102.56,102.99,9134
10-Apr-17,103.53,103.59,103.21,103.41,1897
7-Apr-17,103.39,103.39,103.15,103.30,2778
6-Apr-17,102.95,103.55,102.95,103.23,5284
5-Apr-17,104.00,104.29,103.66,103.67,21957
4-Apr-17,103.33,103.33,103.13,103.29,3854
3-Apr-17,103.77,103.77,102.95,103.33,4733
31-Mar-17,103.78,103.86,103.53,103.66,7384
30-Mar-17,103.65,103.80,103.54,103.70,15126
29-Mar-17,102.93,103.58,102.93,103.47,8830
28-Mar-17,102.68,103.42,102.68,103.38,3386
27-Mar-17,101.65,102.78,101.65,102.70,3604
24-Mar-17,103.07,103.13,102.35,102.72,7356
23-Mar-17,102.60,103.02,102.46,102.46,4773
22-Mar-17,102.08,102.83,102.08,102.79,7137
21-Mar-17,104.10,104.10,102.43,102.47,2490
20-Mar-17,104.12,104.12,103.70,103.76,4104
17-Mar-17,103.93,104.17,103.83,104.17,6476
16-Mar-17,104.33,104.33,103.70,103.86,5346
15-Mar-17,103.77,104.29,103.60,104.29,2416
14-Mar-17,103.66,103.66,103.14,103.14,1654
13-Mar-17,103.47,103.72,103.42,103.72,2820
10-Mar-17,103.22,103.69,103.22,103.55,4981
9-Mar-17,103.20,103.26,102.79,103.17,5954
8-Mar-17,103.30,103.39,103.04,103.21,2993
7-Mar-17,103.10,103.31,102.94,102.94,4134
6-Mar-17,103.34,103.56,102.97,103.48,4603
3-Mar-17,103.70,103.70,103.22,103.64,3886
2-Mar-17,104.25,104.25,103.42,103.57,3317
1-Mar-17,103.65,104.31,103.65,104.24,4839
28-Feb-17,103.13,103.13,102.68,102.76,2914
27-Feb-17,102.93,103.27,102.91,103.27,3165
24-Feb-17,102.42,103.04,102.28,103.04,12099
23-Feb-17,103.25,103.25,102.36,102.60,9200
22-Feb-17,102.96,102.96,102.60,102.75,5578
21-Feb-17,102.70,102.96,102.41,102.89,18257
17-Feb-17,102.11,102.18,101.85,102.18,4859
16-Feb-17,101.84,102.05,101.50,102.05,2637
15-Feb-17,101.45,101.90,101.45,101.84,1496
14-Feb-17,101.00,101.49,100.89,101.49,4354
13-Feb-17,100.89,101.12,100.89,101.00,1753
10-Feb-17,100.42,100.58,100.33,100.58,2165
9-Feb-17,99.86,100.33,99.86,100.20,2892
8-Feb-17,99.00,99.65,99.00,99.59,12678
7-Feb-17,99.64,99.64,99.32,99.35,5886
6-Feb-17,99.11,99.35,99.08,99.17,3726
3-Feb-17,99.85,99.85,99.08,99.35,5148
2-Feb-17,98.62,99.14,98.51,98.90,5534
1-Feb-17,99.29,99.29,98.62,98.91,5365
31-Jan-17,99.30,99.30,98.55,98.80,2508
30-Jan-17,99.51,99.51,98.81,99.21,3555
27-Jan-17,99.70,99.77,99.48,99.60,5474
26-Jan-17,99.90,100.04,99.72,99.88,3083
25-Jan-17,99.98,99.98,99.69,99.80,3259
24-Jan-17,98.68,99.29,98.63,99.21,6694
23-Jan-17,98.35,98.35,98.00,98.33,3018
20-Jan-17,98.65,98.65,98.24,98.35,2706
19-Jan-17,98.08,98.50,98.07,98.10,2419
18-Jan-17,98.27,98.27,97.96,98.08,4287
17-Jan-17,98.14,98.14,97.84,97.93,1156
13-Jan-17,97.88,97.96,97.81,97.87,1695
12-Jan-17,97.60,97.71,97.15,97.63,3242
11-Jan-17,97.56,97.76,97.39,97.76,5900
10-Jan-17,97.49,97.75,97.33,97.43,1809
9-Jan-17,97.41,97.66,97.41,97.53,2404
6-Jan-17,97.41,97.95,97.41,97.81,2054
5-Jan-17,97.45,97.45,97.02,97.41,3484
4-Jan-17,97.12,97.41,97.12,97.31,2003
3-Jan-17,96.87,97.05,96.46,96.46,5421
30-Dec-16,96.79,96.79,95.87,95.98,2336
29-Dec-16,96.82,96.89,96.68,96.80,2131
28-Dec-16,97.30,97.30,96.70,96.70,1441
27-Dec-16,97.47,97.66,97.47,97.55,3965
23-Dec-16,97.20,97.23,97.20,97.23,400
22-Dec-16,97.29,97.38,97.24,97.24,668
21-Dec-16,97.95,97.95,97.61,97.65,8708
20-Dec-16,97.77,97.85,97.57,97.70,7005
19-Dec-16,97.34,97.58,97.34,97.58,2175
16-Dec-16,97.18,97.28,96.87,96.90,8358
15-Dec-16,97.50,97.64,97.04,97.23,4439
14-Dec-16,97.77,98.06,97.29,97.44,2920
13-Dec-16,97.75,97.99,97.51,97.78,9269
12-Dec-16,97.44,97.44,96.93,97.19,3740
9-Dec-16,97.27,97.40,97.00,97.39,3834
8-Dec-16,97.27,97.27,96.68,96.82,3668
7-Dec-16,95.42,96.97,95.25,96.87,3926
6-Dec-16,94.94,95.25,94.91,95.25,4109
5-Dec-16,94.99,95.07,94.80,95.00,1420
2-Dec-16,94.61,94.65,94.40,94.40,2146
1-Dec-16,95.30,95.30,94.34,94.34,7622
30-Nov-16,94.92,94.99,94.56,94.80,4473
29-Nov-16,94.08,94.10,94.08,94.10,205
28-Nov-16,94.64,94.64,94.25,94.25,5947
25-Nov-16,95.08,95.08,94.55,94.55,2397
23-Nov-16,89.91,94.59,89.91,94.57,2100
22-Nov-16,94.23,94.36,94.00,94.36,3523
21-Nov-16,100.98,100.98,93.53,93.83,4003
18-Nov-16,93.00,93.00,92.77,92.77,3200
17-Nov-16,92.85,92.86,92.74,92.81,1184
16-Nov-16,92.50,92.57,92.50,92.57,1535
15-Nov-16,91.74,92.12,91.74,92.03,1536
14-Nov-16,92.00,92.00,91.44,91.44,1827
11-Nov-16,91.22,91.58,91.22,91.58,1733
10-Nov-16,91.79,92.24,91.55,91.93,4253
9-Nov-16,88.71,91.39,88.71,91.38,3722
8-Nov-16,89.48,90.71,89.48,90.37,1620
7-Nov-16,89.32,89.99,89.32,89.99,2712
4-Nov-16,87.97,88.61,87.97,88.61,1417
3-Nov-16,-,-,-,88.44,0
2-Nov-16,88.80,88.80,88.30,88.44,2614
1-Nov-16,89.25,89.25,88.69,88.69,1311
31-Oct-16,90.29,90.29,89.57,89.57,2088
28-Oct-16,90.00,90.02,89.82,89.82,1361
27-Oct-16,90.92,90.92,90.43,90.44,697
26-Oct-16,90.10,90.64,90.10,90.64,228
25-Oct-16,90.95,91.09,90.58,90.68,2065
24-Oct-16,91.09,91.09,90.72,91.01,1410
21-Oct-16,91.07,91.07,90.58,90.70,1676
20-Oct-16,91.29,91.29,90.67,91.27,3067
19-Oct-16,90.87,91.43,90.87,91.40,4435
18-Oct-16,91.62,91.62,90.79,90.93,5658
17-Oct-16,90.41,90.61,90.36,90.45,4189
14-Oct-16,91.30,91.37,90.72,91.01,2618
13-Oct-16,90.23,90.23,90.00,90.00,630
12-Oct-16,91.12,91.18,90.90,91.10,1518
11-Oct-16,92.53,92.53,90.90,91.08,3241
10-Oct-16,92.65,92.79,92.58,92.61,1199
7-Oct-16,-,-,-,92.33,0
6-Oct-16,91.95,92.39,91.95,92.33,1630
5-Oct-16,91.84,92.52,91.84,92.34,2424
4-Oct-16,92.37,92.37,91.70,91.70,632
3-Oct-16,92.46,92.46,91.96,91.96,3130
30-Sep-16,92.27,92.60,91.91,92.47,11511
29-Sep-16,91.66,92.22,91.66,92.12,1925
28-Sep-16,90.65,91.76,90.65,91.76,1057
27-Sep-16,90.01,90.80,90.00,90.76,9800
26-Sep-16,90.80,90.80,90.28,90.32,3920
23-Sep-16,91.02,91.03,90.92,90.92,9172
22-Sep-16,91.61,91.67,91.59,91.59,1302
21-Sep-16,90.35,91.03,90.13,91.03,2075
20-Sep-16,90.54,90.54,89.90,89.91,2825
19-Sep-16,90.47,90.67,90.09,90.09,1560
16-Sep-16,89.91,90.01,89.65,89.68,1281
15-Sep-16,89.78,90.41,89.78,90.39,638
14-Sep-16,89.74,89.88,89.22,89.22,2811
13-Sep-16,89.64,89.72,89.57,89.72,995
12-Sep-16,89.11,91.23,89.11,91.10,7145
9-Sep-16,92.16,92.16,90.00,90.00,5640
8-Sep-16,92.43,92.43,92.26,92.26,4215
7-Sep-16,91.98,92.23,91.95,92.23,792
6-Sep-16,91.39,91.87,91.39,91.87,750
2-Sep-16,-,-,-,91.00,0
1-Sep-16,91.06,91.22,91.00,91.00,6164
31-Aug-16,91.32,91.32,90.72,90.91,3389
30-Aug-16,92.04,92.04,91.50,91.50,3553
29-Aug-16,91.91,92.10,91.91,92.10,536
26-Aug-16,92.08,92.08,91.15,91.34,1639
25-Aug-16,91.46,91.84,91.46,91.64,3110
24-Aug-16,91.92,92.18,91.72,91.72,7922
23-Aug-16,92.34,92.34,92.18,92.21,5116
22-Aug-16,91.67,91.98,91.66,91.77,2585
19-Aug-16,91.92,92.28,91.92,92.22,2114
18-Aug-16,91.95,92.30,91.95,92.30,474
17-Aug-16,92.09,92.09,91.36,91.88,2846
16-Aug-16,91.59,91.85,91.57,91.84,2841
15-Aug-16,91.99,92.22,91.99,92.18,1571
12-Aug-16,91.86,91.86,91.52,91.66,8652
11-Aug-16,91.10,91.64,91.10,91.64,2737
10-Aug-16,-,-,-,91.07,0
9-Aug-16,91.21,91.29,90.96,91.07,4126
8-Aug-16,91.02,91.30,91.02,91.14,3511
5-Aug-16,90.47,90.99,90.47,90.94,3802
4-Aug-16,-,-,-,89.84,0
3-Aug-16,90.04,90.04,89.43,89.84,3685
2-Aug-16,89.28,89.28,89.24,89.24,732
1-Aug-16,90.14,90.33,90.09,90.33,1107
29-Jul-16,89.85,90.14,89.85,90.14,2120
28-Jul-16,90.05,90.05,90.05,90.05,416
27-Jul-16,90.01,90.01,89.90,89.90,350
26-Jul-16,89.80,89.80,89.58,89.70,526
25-Jul-16,89.41,89.58,89.40,89.58,1203
22-Jul-16,89.70,89.82,89.32,89.82,1146
21-Jul-16,89.80,89.80,89.38,89.38,1926
20-Jul-16,89.77,89.88,89.56,89.88,528
19-Jul-16,89.16,89.19,89.12,89.16,985
18-Jul-16,89.75,89.75,89.20,89.20,440
15-Jul-16,89.04,89.04,89.04,89.04,210
14-Jul-16,89.39,89.39,89.17,89.32,1044
13-Jul-16,88.68,88.68,88.68,88.68,100
12-Jul-16,88.79,88.88,88.60,88.85,1288
11-Jul-16,88.45,88.45,88.19,88.19,919
8-Jul-16,87.68,87.75,87.61,87.68,1552
7-Jul-16,86.11,86.11,86.11,86.11,404
6-Jul-16,85.67,86.22,85.41,86.22,4197
5-Jul-16,85.84,86.03,85.67,85.82,2526
1-Jul-16,86.02,86.29,86.02,86.22,4712
30-Jun-16,85.20,85.82,84.76,85.82,2619
29-Jun-16,84.11,84.75,83.97,84.63,4812
28-Jun-16,82.92,83.26,82.63,83.25,1197
27-Jun-16,82.44,82.44,81.77,81.85,6656
24-Jun-16,79.01,84.64,79.01,83.38,8227
23-Jun-16,-,-,-,85.30,0
22-Jun-16,85.30,85.30,85.30,85.30,490
21-Jun-16,85.18,85.24,85.18,85.24,2476
