Date,Open,High,Low,Close,Volume
16-Jun-17,107.45,113.50,103.71,112.20,49641
15-Jun-17,109.90,111.95,104.40,110.90,15301
14-Jun-17,114.70,115.17,110.05,111.40,22637
13-Jun-17,112.80,114.95,109.45,113.75,29393
12-Jun-17,115.50,116.15,110.70,111.70,30050
9-Jun-17,110.20,115.87,110.20,115.60,40866
8-Jun-17,108.15,112.80,107.28,112.40,33609
7-Jun-17,107.30,109.00,104.00,108.20,35081
6-Jun-17,105.80,106.45,102.85,106.00,25126
5-Jun-17,108.90,110.81,106.90,106.90,15002
2-Jun-17,108.75,113.05,108.35,108.35,48509
1-Jun-17,105.45,109.35,104.30,108.00,29881
31-May-17,105.85,106.80,103.80,105.50,29367
30-May-17,107.85,108.35,104.01,105.00,20395
26-May-17,102.75,106.50,102.75,106.45,28183
25-May-17,102.65,104.40,102.30,103.10,24999
24-May-17,103.30,105.55,100.60,102.40,18836
23-May-17,103.75,105.80,103.00,103.05,17241
22-May-17,101.00,103.85,100.05,103.20,18506
19-May-17,105.20,105.20,101.90,101.95,17403
18-May-17,103.60,105.50,102.26,105.20,27737
17-May-17,103.80,105.85,103.55,105.05,28621
16-May-17,105.50,105.55,104.65,105.50,11567
15-May-17,106.55,106.74,104.75,105.25,13999
12-May-17,105.45,105.95,104.80,105.45,16116
11-May-17,105.45,106.45,104.99,105.50,26429
10-May-17,105.15,105.80,104.10,105.25,8505
9-May-17,105.45,106.02,104.31,105.35,13373
8-May-17,103.85,106.00,103.50,105.90,15678
5-May-17,104.55,104.55,103.20,104.00,7267
4-May-17,105.00,105.00,103.55,104.25,10710
3-May-17,105.55,106.00,102.50,104.75,21907
2-May-17,104.75,105.35,102.65,105.00,20795
1-May-17,102.75,104.90,102.55,104.40,11855
28-Apr-17,105.00,105.80,102.15,102.50,19706
27-Apr-17,104.00,106.00,103.50,105.60,26875
26-Apr-17,100.00,104.45,99.65,104.10,35495
25-Apr-17,101.25,102.00,100.20,100.40,19485
24-Apr-17,100.35,100.80,98.35,100.30,22356
21-Apr-17,98.95,99.00,97.65,98.10,16103
20-Apr-17,97.85,99.00,97.30,98.95,17697
19-Apr-17,98.05,98.05,96.50,97.40,14962
18-Apr-17,97.25,98.80,96.15,97.20,25443
17-Apr-17,95.90,97.65,94.65,97.60,22747
13-Apr-17,94.45,97.15,93.68,96.00,16357
12-Apr-17,98.25,98.25,93.00,94.50,17375
11-Apr-17,94.90,97.95,93.40,97.95,25818
10-Apr-17,95.85,98.25,93.65,95.30,29604
7-Apr-17,96.40,97.95,93.15,96.10,89411
6-Apr-17,96.70,97.90,93.20,96.50,48831
5-Apr-17,95.85,96.73,95.00,96.65,34655
4-Apr-17,94.10,95.40,94.10,95.35,20683
3-Apr-17,95.90,97.20,93.14,94.20,20830
