Date,Open,High,Low,Close,Volume
16-Jun-17,12.50,12.50,12.45,12.49,506021
15-Jun-17,12.39,12.51,12.39,12.51,283690
14-Jun-17,12.71,12.71,12.48,12.48,1000930
13-Jun-17,12.44,12.50,12.41,12.50,738971
12-Jun-17,12.53,12.57,12.49,12.50,442108
9-Jun-17,12.68,12.68,12.58,12.59,390808
8-Jun-17,12.83,12.86,12.72,12.76,376234
7-Jun-17,12.97,12.98,12.83,12.84,356292
6-Jun-17,12.87,13.02,12.84,13.00,962711
5-Jun-17,12.75,12.81,12.73,12.73,450422
2-Jun-17,12.68,12.76,12.66,12.72,360147
1-Jun-17,12.57,12.64,12.56,12.63,343241
31-May-17,12.64,12.71,12.61,12.61,460485
30-May-17,12.63,12.68,12.63,12.64,506123
26-May-17,12.66,12.72,12.62,12.68,399670
25-May-17,12.56,12.61,12.54,12.55,275621
24-May-17,12.53,12.62,12.51,12.58,634663
23-May-17,12.73,12.76,12.54,12.56,670850
22-May-17,12.64,12.75,12.64,12.71,383862
19-May-17,12.62,12.64,12.54,12.59,463225
18-May-17,12.66,12.66,12.48,12.52,590784
17-May-17,12.52,12.71,12.51,12.68,933214
16-May-17,12.34,12.43,12.33,12.41,451695
15-May-17,12.39,12.39,12.29,12.31,421954
12-May-17,12.17,12.23,12.15,12.20,394085
11-May-17,12.08,12.18,12.04,12.13,775411
10-May-17,12.09,12.10,12.03,12.06,586827
9-May-17,12.04,12.06,12.00,12.04,717477
8-May-17,12.21,12.21,12.10,12.10,476312
5-May-17,12.17,12.20,12.10,12.18,795365
4-May-17,12.13,12.19,12.09,12.16,831757
3-May-17,12.33,12.40,12.21,12.22,748818
2-May-17,12.35,12.43,12.34,12.43,526678
1-May-17,12.53,12.54,12.33,12.42,578025
28-Apr-17,12.49,12.58,12.49,12.58,558976
27-Apr-17,12.61,12.65,12.53,12.53,962902
26-Apr-17,12.71,12.73,12.59,12.70,869180
25-Apr-17,12.85,12.85,12.68,12.76,1093103
24-Apr-17,12.99,13.01,12.91,12.97,779064
21-Apr-17,13.10,13.14,12.98,13.10,467165
20-Apr-17,13.03,13.27,13.00,13.05,488069
19-Apr-17,13.15,13.20,13.04,13.08,470801
18-Apr-17,13.08,13.27,13.03,13.24,1124961
17-Apr-17,13.23,13.23,13.08,13.10,678515
13-Apr-17,13.16,13.23,13.12,13.21,877401
12-Apr-17,13.02,13.12,12.98,13.10,690173
11-Apr-17,12.87,13.04,12.86,13.00,627612
10-Apr-17,12.81,12.82,12.73,12.78,871916
7-Apr-17,13.00,13.02,12.78,12.80,663850
6-Apr-17,12.90,12.94,12.86,12.92,406185
5-Apr-17,12.86,12.93,12.78,12.92,513088
4-Apr-17,12.95,13.06,12.90,12.95,278719
3-Apr-17,12.86,12.91,12.84,12.89,368024
31-Mar-17,12.78,13.01,12.78,12.86,329044
30-Mar-17,12.87,12.96,12.78,12.80,732351
29-Mar-17,12.86,12.94,12.86,12.89,412347
28-Mar-17,13.04,13.05,12.87,12.89,655096
27-Mar-17,13.02,13.06,12.96,13.02,403072
24-Mar-17,12.86,12.90,12.79,12.89,301966
23-Mar-17,12.78,12.88,12.78,12.83,526941
22-Mar-17,12.84,12.86,12.78,12.78,573551
21-Mar-17,12.69,12.81,12.69,12.78,559837
20-Mar-17,12.60,12.70,12.58,12.66,353787
17-Mar-17,12.60,12.65,12.56,12.59,467067
16-Mar-17,12.67,12.72,12.53,12.53,921696
15-Mar-17,12.20,12.54,12.20,12.52,723725
14-Mar-17,12.45,12.47,12.21,12.27,947715
13-Mar-17,12.44,12.49,12.37,12.45,603364
10-Mar-17,12.45,12.49,12.36,12.48,818269
9-Mar-17,12.55,12.55,12.35,12.43,1159770
8-Mar-17,12.35,12.68,12.27,12.60,3410836
7-Mar-17,12.31,12.32,12.20,12.20,565518
6-Mar-17,12.49,12.49,12.36,12.40,606110
3-Mar-17,12.37,12.52,12.32,12.49,761432
2-Mar-17,12.64,12.64,12.31,12.41,1279202
1-Mar-17,12.55,12.71,12.55,12.70,743448
28-Feb-17,12.69,12.76,12.62,12.64,886838
27-Feb-17,12.75,12.85,12.61,12.62,914233
24-Feb-17,12.71,12.75,12.69,12.75,1138752
23-Feb-17,12.60,12.67,12.60,12.66,827972
22-Feb-17,12.50,12.54,12.44,12.53,565011
21-Feb-17,12.45,12.54,12.40,12.50,487729
17-Feb-17,12.56,12.58,12.51,12.51,526411
16-Feb-17,12.47,12.56,12.47,12.55,528127
15-Feb-17,12.33,12.46,12.30,12.45,499428
14-Feb-17,12.54,12.56,12.33,12.39,1645044
13-Feb-17,12.46,12.47,12.35,12.47,874688
10-Feb-17,12.34,12.53,12.30,12.48,879274
9-Feb-17,12.45,12.48,12.32,12.33,608577
