Date,Open,High,Low,Close,Volume
16-Jun-17,18.76,18.78,18.75,18.76,11540
15-Jun-17,18.71,18.72,18.69,18.72,1742
14-Jun-17,18.84,18.89,18.81,18.81,75375
13-Jun-17,18.74,18.76,18.74,18.76,605
12-Jun-17,18.76,18.76,18.73,18.73,918
9-Jun-17,18.73,18.74,18.72,18.72,1700
8-Jun-17,18.75,18.76,18.72,18.76,4082
7-Jun-17,18.72,18.72,18.71,18.72,1487
6-Jun-17,18.75,18.79,18.74,18.79,3570
5-Jun-17,18.78,18.79,18.75,18.79,4781
2-Jun-17,18.75,18.76,18.73,18.76,2730
1-Jun-17,18.67,18.72,18.67,18.72,1964
31-May-17,18.62,18.68,18.62,18.68,18456
30-May-17,18.66,18.66,18.58,18.61,10603
26-May-17,18.65,18.65,18.64,18.65,7779
25-May-17,18.67,18.68,18.63,18.64,2060
24-May-17,18.60,18.65,18.59,18.65,5139
23-May-17,18.58,18.61,18.56,18.58,2759
22-May-17,18.59,18.59,18.59,18.59,1015
19-May-17,18.51,18.59,18.51,18.59,953
18-May-17,18.39,18.40,18.34,18.40,3790
17-May-17,18.62,18.68,18.59,18.59,18027
16-May-17,18.67,18.71,18.66,18.67,8330
15-May-17,18.59,18.62,18.58,18.60,7489
12-May-17,18.48,18.51,18.48,18.51,1685
11-May-17,18.44,18.46,18.44,18.46,1085
10-May-17,18.36,18.42,18.36,18.39,13938
9-May-17,18.33,18.34,18.28,18.28,4677
8-May-17,18.42,18.42,18.33,18.37,10314
5-May-17,18.37,18.43,18.37,18.41,3197
4-May-17,18.40,18.40,18.38,18.39,2932
3-May-17,18.49,18.51,18.45,18.45,12120
2-May-17,18.45,18.49,18.45,18.47,10687
1-May-17,18.46,18.47,18.38,18.43,19584
28-Apr-17,18.43,18.48,18.39,18.39,5203
27-Apr-17,18.41,18.51,18.37,18.38,11440
26-Apr-17,18.39,18.50,18.38,18.38,3385
25-Apr-17,18.46,18.51,18.45,18.51,2521
24-Apr-17,18.45,18.59,18.45,18.54,11486
21-Apr-17,18.45,18.45,18.40,18.40,8988
20-Apr-17,18.44,18.51,18.42,18.43,2187
19-Apr-17,18.54,18.54,18.39,18.42,13890
18-Apr-17,18.56,18.57,18.48,18.48,2163
17-Apr-17,18.45,18.55,18.43,18.48,11147
13-Apr-17,18.34,18.42,18.34,18.40,4813
12-Apr-17,18.31,18.37,18.31,18.37,1711
11-Apr-17,18.25,18.34,18.23,18.26,4069
10-Apr-17,18.21,18.35,18.21,18.27,2523
7-Apr-17,18.37,18.37,18.28,18.28,5879
6-Apr-17,18.31,18.33,18.24,18.29,2666
5-Apr-17,18.28,18.36,18.24,18.29,5659
4-Apr-17,18.27,18.37,18.26,18.34,4595
3-Apr-17,18.39,18.39,18.31,18.36,3046
31-Mar-17,18.44,18.44,18.31,18.34,2494
30-Mar-17,18.42,18.45,18.39,18.42,4635
29-Mar-17,18.44,18.44,18.35,18.41,7532
28-Mar-17,18.36,18.41,18.31,18.35,2227
27-Mar-17,18.36,18.42,18.36,18.39,3987
24-Mar-17,18.38,18.43,18.35,18.43,19241
23-Mar-17,18.29,18.37,18.29,18.37,1848
22-Mar-17,18.41,18.41,18.32,18.38,570
21-Mar-17,18.40,18.45,18.28,18.32,4674
20-Mar-17,18.29,18.38,18.29,18.38,894
17-Mar-17,18.29,18.31,18.28,18.29,1441
16-Mar-17,18.27,18.28,18.27,18.28,1701
15-Mar-17,17.96,18.21,17.96,18.21,9393
14-Mar-17,17.94,18.05,17.94,18.04,5342
13-Mar-17,18.01,18.03,17.92,17.98,6788
10-Mar-17,17.91,18.08,17.91,17.97,6261
9-Mar-17,17.92,17.92,17.83,17.87,8892
8-Mar-17,18.00,18.06,17.97,17.98,2994
7-Mar-17,18.06,18.10,18.06,18.07,6036
6-Mar-17,18.05,18.05,18.00,18.03,9191
3-Mar-17,18.07,18.10,17.99,18.10,8119
2-Mar-17,18.01,18.11,17.91,17.92,4783
1-Mar-17,18.05,18.10,17.99,18.10,7282
28-Feb-17,18.13,18.17,18.09,18.11,2018
27-Feb-17,18.19,18.19,18.17,18.17,287
24-Feb-17,18.23,18.23,18.14,18.14,5766
23-Feb-17,18.22,18.25,18.18,18.23,8687
22-Feb-17,18.10,18.14,18.07,18.14,5470
21-Feb-17,18.04,18.08,18.04,18.08,3502
17-Feb-17,18.07,18.11,18.01,18.04,1483
16-Feb-17,18.16,18.16,18.06,18.11,22714
15-Feb-17,18.07,18.15,18.07,18.15,15616
14-Feb-17,18.07,18.11,18.05,18.10,9326
13-Feb-17,18.01,18.05,17.99,18.05,8026
10-Feb-17,18.00,18.08,18.00,18.04,1793
9-Feb-17,17.93,17.94,17.93,17.94,741
8-Feb-17,17.98,18.10,17.89,17.92,13147
7-Feb-17,18.03,18.06,18.01,18.06,1762
6-Feb-17,18.16,18.16,18.02,18.02,7969
3-Feb-17,18.13,18.14,17.94,18.01,12404
2-Feb-17,18.09,18.10,17.93,17.98,16752
1-Feb-17,17.87,17.97,17.85,17.89,4082
31-Jan-17,17.86,17.93,17.85,17.87,13721
30-Jan-17,17.76,17.88,17.76,17.81,4886
27-Jan-17,17.84,17.84,17.69,17.75,6476
26-Jan-17,17.72,17.72,17.66,17.69,2782
25-Jan-17,17.71,17.83,17.70,17.81,16292
24-Jan-17,17.78,17.82,17.75,17.79,3337
23-Jan-17,17.76,17.83,17.71,17.78,7231
20-Jan-17,17.67,17.73,17.63,17.67,7060
19-Jan-17,17.58,17.66,17.58,17.66,3939
18-Jan-17,17.68,17.71,17.60,17.63,62080
17-Jan-17,17.66,17.78,17.66,17.70,6430
13-Jan-17,17.70,17.70,17.62,17.63,3704
12-Jan-17,17.70,17.75,17.68,17.69,3366
11-Jan-17,17.52,17.53,17.52,17.52,1373
10-Jan-17,17.53,17.57,17.50,17.53,5624
9-Jan-17,17.56,17.69,17.56,17.62,5357
6-Jan-17,17.67,17.69,17.60,17.60,2642
5-Jan-17,17.68,17.70,17.67,17.68,1504
4-Jan-17,17.52,17.58,17.48,17.54,133936
3-Jan-17,17.40,17.40,17.40,17.40,1069
30-Dec-16,17.52,17.62,17.49,17.49,31801
29-Dec-16,17.58,17.65,17.46,17.54,3818
28-Dec-16,17.42,17.46,17.39,17.46,1542
27-Dec-16,17.51,17.57,17.41,17.43,4608
23-Dec-16,17.46,17.54,17.46,17.49,28850
22-Dec-16,17.44,17.50,17.42,17.46,1686
21-Dec-16,17.49,17.53,17.42,17.46,8709
20-Dec-16,17.49,17.49,17.39,17.44,6446
19-Dec-16,17.40,17.44,17.40,17.44,1995
16-Dec-16,17.43,17.55,17.36,17.36,40529
15-Dec-16,17.36,17.45,17.36,17.41,4831
14-Dec-16,17.64,17.70,17.49,17.55,3442
13-Dec-16,17.67,17.72,17.60,17.63,7509
12-Dec-16,17.60,17.64,17.60,17.64,1185
9-Dec-16,17.51,17.58,17.50,17.50,4635
8-Dec-16,17.54,17.58,17.49,17.49,7577
7-Dec-16,17.54,17.66,17.54,17.58,8244
6-Dec-16,17.58,17.58,17.50,17.50,16965
5-Dec-16,17.38,17.47,17.38,17.44,8341
2-Dec-16,17.32,17.40,17.27,17.37,7295
1-Dec-16,17.28,17.37,17.25,17.31,4619
30-Nov-16,17.31,17.34,17.29,17.33,13034
29-Nov-16,17.23,17.39,17.23,17.32,9385
28-Nov-16,17.42,17.42,17.28,17.41,2043
25-Nov-16,17.23,17.29,17.23,17.29,1298
23-Nov-16,17.33,17.33,17.22,17.22,1145
22-Nov-16,17.31,17.45,17.31,17.42,6815
21-Nov-16,17.33,17.41,17.32,17.41,22355
18-Nov-16,17.44,17.44,17.25,17.32,14253
17-Nov-16,17.45,17.45,17.29,17.35,3813
16-Nov-16,17.34,17.42,17.33,17.33,23441
15-Nov-16,17.37,17.53,17.37,17.53,13534
14-Nov-16,17.35,17.40,17.28,17.39,4047
11-Nov-16,17.54,17.56,17.28,17.49,3831
10-Nov-16,17.79,17.79,17.53,17.63,15012
9-Nov-16,18.00,18.02,17.80,17.90,2553
8-Nov-16,18.09,18.28,18.09,18.23,74595
7-Nov-16,18.10,18.15,17.99,18.14,44673
4-Nov-16,18.03,18.10,17.95,18.09,41421
3-Nov-16,18.09,18.11,18.07,18.08,16381
2-Nov-16,18.12,18.12,18.07,18.08,96290
1-Nov-16,18.13,18.13,18.05,18.05,6234
31-Oct-16,18.08,18.16,18.04,18.12,326057
28-Oct-16,18.05,18.10,18.02,18.05,15033
27-Oct-16,18.12,18.15,18.07,18.07,1827
26-Oct-16,18.08,18.23,18.08,18.23,2251
25-Oct-16,18.26,18.26,18.14,18.20,10115
24-Oct-16,18.24,18.24,18.14,18.14,1140
21-Oct-16,18.11,18.11,18.11,18.11,224
20-Oct-16,-,-,-,18.19,0
19-Oct-16,18.14,18.22,18.09,18.19,3544
18-Oct-16,18.08,18.12,18.04,18.10,6430
17-Oct-16,17.91,18.06,17.91,18.03,12884
14-Oct-16,-,-,-,18.07,0
