Date,Open,High,Low,Close,Volume
16-Jun-17,26.75,27.58,26.62,27.58,4027496
15-Jun-17,27.16,27.28,26.62,26.75,3487221
14-Jun-17,28.50,28.50,27.33,27.37,3375973
13-Jun-17,27.44,28.50,27.08,28.48,3257170
12-Jun-17,27.21,28.49,27.08,27.36,5512432
9-Jun-17,26.77,27.48,26.60,27.25,5115288
8-Jun-17,26.22,27.25,26.00,26.77,3705304
7-Jun-17,26.12,26.24,25.76,26.22,4920256
6-Jun-17,26.19,26.41,25.65,26.10,3795459
5-Jun-17,26.33,26.44,25.92,26.28,3496494
2-Jun-17,26.93,26.99,25.79,26.40,6658154
1-Jun-17,26.90,27.49,26.75,27.03,4141693
31-May-17,27.92,28.12,26.72,26.90,4788442
30-May-17,28.00,28.37,27.89,27.91,2743917
26-May-17,27.99,28.19,27.63,28.13,2486547
25-May-17,28.66,29.06,27.70,28.09,4853961
24-May-17,28.96,29.29,28.30,28.44,3151786
23-May-17,28.40,29.10,28.33,28.95,4142084
22-May-17,28.69,28.85,27.78,28.29,2727155
19-May-17,27.57,28.93,27.55,28.56,4975740
18-May-17,27.00,27.51,26.78,27.41,2674217
17-May-17,27.72,28.16,27.33,27.46,3669652
16-May-17,27.80,28.21,27.68,28.07,5121422
15-May-17,27.04,28.04,26.96,27.74,3953478
12-May-17,27.18,27.55,26.64,26.78,2755912
11-May-17,27.17,27.58,26.64,27.20,2958545
10-May-17,27.47,27.92,27.42,27.62,3695997
9-May-17,27.90,28.01,27.32,27.42,3805445
8-May-17,28.76,29.33,27.66,27.76,6447370
5-May-17,27.37,28.68,27.16,28.42,6661639
4-May-17,26.20,27.47,26.06,27.07,13283841
3-May-17,26.18,26.24,25.04,25.51,8303534
2-May-17,26.62,26.63,25.94,26.37,7617716
1-May-17,26.88,26.92,26.37,26.73,3794435
28-Apr-17,27.56,27.56,26.71,26.74,3567819
27-Apr-17,27.57,27.63,26.90,27.43,3005082
26-Apr-17,27.18,27.45,26.98,27.26,3773853
25-Apr-17,26.67,27.55,26.45,27.34,5094604
24-Apr-17,26.31,26.46,25.90,26.41,3341786
21-Apr-17,26.46,26.50,25.82,26.00,3916288
20-Apr-17,26.70,26.95,26.53,26.58,3750109
19-Apr-17,27.07,27.24,26.36,26.60,3468322
18-Apr-17,27.27,27.27,26.74,27.08,4645787
17-Apr-17,28.50,28.50,27.38,27.51,4606858
13-Apr-17,28.50,28.85,28.28,28.42,2695921
12-Apr-17,29.40,29.48,28.49,28.62,5074593
11-Apr-17,29.82,30.01,29.52,29.65,4062135
10-Apr-17,29.53,30.07,29.36,29.86,2306881
7-Apr-17,29.54,29.85,29.20,29.51,2922986
6-Apr-17,28.85,29.70,28.76,29.66,3638746
5-Apr-17,29.39,29.52,28.76,28.80,3892969
4-Apr-17,28.42,29.25,28.28,29.23,5140820
3-Apr-17,29.42,29.67,28.14,28.42,5237486
31-Mar-17,29.67,29.79,28.90,29.35,7377723
30-Mar-17,30.62,30.86,29.48,29.67,6368852
29-Mar-17,30.27,31.10,30.27,30.86,4344359
28-Mar-17,29.26,30.42,29.13,30.24,3948238
27-Mar-17,28.74,29.51,28.65,29.24,3387212
24-Mar-17,29.49,29.70,28.98,29.18,6549053
23-Mar-17,29.06,29.52,28.87,29.39,3676419
22-Mar-17,29.29,29.58,28.72,29.23,4495829
21-Mar-17,30.46,30.53,29.40,29.54,5078275
20-Mar-17,29.98,30.40,29.65,30.39,6301988
17-Mar-17,28.96,29.58,28.92,29.29,9977087
16-Mar-17,29.10,29.16,28.35,28.71,4926593
15-Mar-17,28.83,29.39,28.48,28.85,6407066
14-Mar-17,29.18,29.18,28.49,28.68,4798411
13-Mar-17,29.68,29.68,29.20,29.42,4511606
10-Mar-17,29.39,29.61,29.00,29.42,3142414
9-Mar-17,29.91,30.89,29.00,29.34,5520044
8-Mar-17,30.12,30.45,29.54,29.62,4775880
7-Mar-17,30.67,30.75,29.88,30.20,5349425
6-Mar-17,30.79,31.08,30.42,30.83,3378785
3-Mar-17,31.47,31.53,30.84,30.95,5302280
2-Mar-17,32.15,32.30,31.53,31.56,4037638
1-Mar-17,31.99,32.27,31.36,32.15,5654604
28-Feb-17,31.15,32.14,31.02,31.42,5672538
27-Feb-17,31.10,31.54,30.92,31.49,3897784
24-Feb-17,31.42,31.51,30.58,31.15,5696401
23-Feb-17,33.24,33.26,31.08,31.82,7986243
22-Feb-17,33.76,33.98,33.19,33.22,3145939
21-Feb-17,34.18,34.54,33.44,33.93,5137493
17-Feb-17,33.51,34.15,33.31,34.11,6668823
16-Feb-17,33.68,35.71,33.38,33.52,10609504
15-Feb-17,36.20,36.26,34.32,34.49,9225971
14-Feb-17,36.48,36.57,35.78,36.32,7961331
13-Feb-17,36.08,37.10,36.02,36.71,6424960
10-Feb-17,34.75,35.90,34.58,35.84,4172322
9-Feb-17,34.90,35.01,34.45,34.49,3718818
8-Feb-17,34.90,35.17,34.41,34.94,3068347
7-Feb-17,35.05,35.56,34.35,34.89,4909000
6-Feb-17,35.70,35.75,34.77,35.49,3882460
3-Feb-17,35.79,36.14,35.54,35.68,3189401
2-Feb-17,36.41,36.41,35.32,35.63,3911060
1-Feb-17,35.34,36.69,35.26,36.63,4594791
31-Jan-17,35.74,36.10,35.16,35.29,4355328
30-Jan-17,36.28,36.28,35.12,35.39,4156173
27-Jan-17,36.47,36.80,35.79,36.51,4210197
26-Jan-17,34.81,36.48,34.50,36.21,6072724
25-Jan-17,37.11,37.17,36.02,36.54,4963997
24-Jan-17,35.63,37.13,35.56,36.85,10489118
23-Jan-17,34.00,35.29,33.92,35.25,7577126
20-Jan-17,33.72,34.34,33.04,34.20,7960517
19-Jan-17,32.58,32.72,31.99,32.25,5019969
18-Jan-17,32.89,32.92,32.29,32.32,5392334
17-Jan-17,34.23,34.26,32.86,32.89,4777844
13-Jan-17,34.37,34.70,33.34,33.98,4144901
12-Jan-17,33.93,34.57,33.41,34.51,5902033
11-Jan-17,32.87,34.24,32.86,34.19,6499962
10-Jan-17,33.41,33.78,32.40,32.73,6816358
9-Jan-17,33.47,33.95,33.07,33.77,4523247
6-Jan-17,33.07,33.50,33.02,33.47,2840150
5-Jan-17,33.04,33.40,32.32,33.05,5949647
4-Jan-17,32.11,33.04,32.04,33.04,5479475
3-Jan-17,32.02,32.59,31.66,31.87,6719839
30-Dec-16,31.81,32.16,31.08,31.48,4181315
29-Dec-16,31.52,32.04,31.44,31.90,4220127
28-Dec-16,32.11,32.61,31.28,31.63,3653427
27-Dec-16,30.91,32.11,30.72,31.95,6222852
23-Dec-16,30.11,30.81,29.61,30.71,5475503
22-Dec-16,28.97,30.17,28.82,30.11,4335176
21-Dec-16,29.11,29.11,28.55,28.90,3782364
20-Dec-16,28.47,29.08,28.29,28.99,3921788
19-Dec-16,29.16,29.50,28.14,28.29,5416929
16-Dec-16,28.58,29.61,28.22,29.48,10461747
15-Dec-16,27.97,29.08,27.75,28.65,4453938
14-Dec-16,28.28,28.84,28.03,28.11,3011925
13-Dec-16,29.07,29.30,28.05,28.41,6542450
12-Dec-16,30.82,30.87,28.67,29.00,6049627
9-Dec-16,30.43,30.95,30.04,30.95,4674539
8-Dec-16,29.92,30.75,29.72,30.37,4430724
7-Dec-16,28.56,30.11,28.50,29.72,6748365
6-Dec-16,28.29,28.78,27.82,28.57,6881661
5-Dec-16,28.79,29.29,28.30,28.58,7761842
2-Dec-16,28.79,29.61,28.06,28.38,5097318
1-Dec-16,29.09,29.95,28.56,28.72,5958866
30-Nov-16,27.98,29.31,27.82,28.94,6436738
29-Nov-16,27.90,28.13,27.34,27.43,3933559
28-Nov-16,28.46,28.79,27.91,28.19,3159797
25-Nov-16,28.48,28.93,28.17,28.55,1755698
23-Nov-16,28.31,28.47,27.77,28.38,6710910
22-Nov-16,29.76,29.76,27.92,28.39,9453158
21-Nov-16,29.58,30.24,29.38,29.87,7051056
18-Nov-16,26.97,29.03,26.97,28.96,7934258
17-Nov-16,27.62,27.78,26.94,27.09,5538627
16-Nov-16,27.70,27.85,27.44,27.44,3502452
15-Nov-16,28.04,28.25,27.41,27.80,5606987
14-Nov-16,27.83,28.30,27.42,28.20,5719771
11-Nov-16,27.10,28.00,26.91,27.78,7297405
10-Nov-16,26.53,28.23,26.53,27.13,9181498
9-Nov-16,24.05,26.72,23.72,26.48,10914592
8-Nov-16,23.20,24.49,23.04,24.34,8295268
7-Nov-16,23.51,23.66,23.12,23.29,5833523
4-Nov-16,22.65,23.42,22.58,23.11,7892020
3-Nov-16,23.57,23.57,22.18,22.60,19321137
2-Nov-16,24.79,25.11,24.56,24.70,5569344
1-Nov-16,24.15,25.01,23.92,24.89,7449126
31-Oct-16,24.46,24.80,23.94,24.01,3501085
28-Oct-16,24.62,24.93,24.09,24.52,4721814
27-Oct-16,25.87,25.95,24.46,24.53,4568314
26-Oct-16,25.45,26.00,25.24,25.55,4571953
25-Oct-16,25.39,25.80,25.20,25.54,4860076
24-Oct-16,25.92,25.94,25.00,25.35,4582105
21-Oct-16,25.03,26.21,24.77,25.92,8578252
20-Oct-16,23.80,25.36,23.53,24.98,8322617
19-Oct-16,23.37,24.41,23.27,24.15,6426110
18-Oct-16,22.86,23.63,22.73,23.46,5603399
17-Oct-16,22.27,22.79,22.23,22.60,5070745
14-Oct-16,23.25,23.56,22.22,22.28,4740948
13-Oct-16,22.61,23.17,22.00,23.04,6075177
