Date,Open,High,Low,Close,Volume
16-Jun-17,15.16,15.17,15.12,15.17,9219
15-Jun-17,15.19,15.19,15.10,15.15,19407
14-Jun-17,15.41,15.41,15.30,15.30,14999
13-Jun-17,15.43,15.46,15.39,15.46,13426
12-Jun-17,15.35,15.35,15.28,15.33,24406
9-Jun-17,15.63,15.63,15.44,15.49,52167
8-Jun-17,15.61,15.68,15.61,15.65,57852
7-Jun-17,15.58,15.59,15.51,15.56,19086
6-Jun-17,15.59,15.67,15.59,15.64,47379
5-Jun-17,15.53,15.53,15.46,15.46,39381
2-Jun-17,15.52,15.56,15.52,15.55,20088
1-Jun-17,15.42,15.52,15.42,15.49,39285
31-May-17,15.37,15.37,15.33,15.33,17743
30-May-17,15.33,15.33,15.31,15.33,26613
26-May-17,15.27,15.28,15.26,15.26,91881
25-May-17,15.20,15.26,15.18,15.24,40254
24-May-17,14.90,15.01,14.90,15.00,20285
23-May-17,14.93,14.95,14.90,14.91,9488
22-May-17,14.91,14.94,14.76,14.93,24932
19-May-17,14.82,14.91,14.82,14.88,15481
18-May-17,14.65,14.77,14.56,14.75,5548
17-May-17,14.85,14.85,14.75,14.75,120435
16-May-17,14.97,14.97,14.89,14.93,22942
15-May-17,14.91,15.00,14.85,14.97,144798
12-May-17,14.75,14.81,14.75,14.77,65726
11-May-17,14.75,14.75,14.66,14.69,40284
10-May-17,14.72,14.76,14.66,14.73,54205
9-May-17,14.53,14.62,14.53,14.56,43637
8-May-17,14.43,14.43,14.32,14.32,69102
5-May-17,14.40,14.41,14.30,14.32,91238
4-May-17,14.56,14.56,14.33,14.40,97770
3-May-17,14.55,14.56,14.50,14.50,32569
2-May-17,14.57,14.62,14.53,14.55,37788
1-May-17,14.70,14.70,14.58,14.64,34301
28-Apr-17,14.56,14.62,14.53,14.57,30339
27-Apr-17,14.62,14.62,14.54,14.56,5228
26-Apr-17,14.58,14.62,14.57,14.62,4622
25-Apr-17,14.55,14.60,14.54,14.56,16385
24-Apr-17,14.37,14.37,14.26,14.30,32952
21-Apr-17,14.21,14.25,14.18,14.21,5626
20-Apr-17,14.25,14.30,14.22,14.29,8026
19-Apr-17,14.13,14.21,14.12,14.13,8958
18-Apr-17,14.21,14.24,14.11,14.11,38536
17-Apr-17,14.40,14.47,14.40,14.47,2656
13-Apr-17,14.41,14.49,14.39,14.40,20219
12-Apr-17,14.42,14.42,14.31,14.41,18383
11-Apr-17,14.40,14.40,14.29,14.33,6775
10-Apr-17,14.44,14.45,14.40,14.44,9424
7-Apr-17,14.44,14.51,14.44,14.50,9800
6-Apr-17,14.63,14.63,14.42,14.50,23134
5-Apr-17,14.64,14.64,14.50,14.50,17558
4-Apr-17,14.61,14.61,14.55,14.56,20512
3-Apr-17,14.54,14.57,14.46,14.57,17576
31-Mar-17,14.55,14.59,14.46,14.49,8217
30-Mar-17,14.57,14.64,14.53,14.63,24939
29-Mar-17,14.64,14.68,14.60,14.68,5099
28-Mar-17,14.71,14.75,14.60,14.68,16567
27-Mar-17,14.67,14.71,14.50,14.71,27650
24-Mar-17,14.89,14.89,14.75,14.76,34411
23-Mar-17,14.80,14.90,14.77,14.88,11041
22-Mar-17,14.70,14.83,14.64,14.82,20290
21-Mar-17,14.99,14.99,14.70,14.71,21096
20-Mar-17,14.81,14.84,14.76,14.84,7672
17-Mar-17,14.82,14.89,14.71,14.77,13134
16-Mar-17,14.92,14.92,14.78,14.88,24537
15-Mar-17,14.55,14.77,14.48,14.74,41459
14-Mar-17,14.48,14.48,14.37,14.43,40099
13-Mar-17,14.43,14.44,14.40,14.44,13636
10-Mar-17,14.14,14.16,14.11,14.16,8169
9-Mar-17,14.10,14.11,14.02,14.06,11098
8-Mar-17,14.25,14.28,14.23,14.24,4022
7-Mar-17,14.17,14.24,14.17,14.19,7631
6-Mar-17,14.12,14.12,14.07,14.08,14290
3-Mar-17,14.12,14.15,14.12,14.15,4490
2-Mar-17,14.17,14.21,14.10,14.11,17852
1-Mar-17,14.35,14.46,14.32,14.45,12903
28-Feb-17,14.30,14.34,14.28,14.29,13628
27-Feb-17,14.35,14.35,14.31,14.33,16192
24-Feb-17,14.48,14.48,14.41,14.45,29260
23-Feb-17,14.62,14.64,14.54,14.60,48117
22-Feb-17,14.53,14.54,14.35,14.52,54254
21-Feb-17,14.40,14.44,14.32,14.41,110725
17-Feb-17,14.20,14.31,14.20,14.31,3044
16-Feb-17,14.42,14.42,14.34,14.37,12481
15-Feb-17,14.36,14.43,14.36,14.42,19150
14-Feb-17,14.15,14.17,14.03,14.12,26051
