Date,Open,High,Low,Close,Volume
16-Jun-17,30.20,30.48,30.20,30.48,927
15-Jun-17,31.06,31.06,31.06,31.06,298
14-Jun-17,30.95,30.95,30.88,30.90,835
13-Jun-17,31.10,31.10,30.48,30.54,953
12-Jun-17,30.94,31.15,30.60,31.09,18312
9-Jun-17,30.16,30.44,30.16,30.44,3073
8-Jun-17,30.10,30.10,30.10,30.10,3432
7-Jun-17,29.59,29.62,29.59,29.62,578
6-Jun-17,29.75,29.94,29.56,29.56,3212
5-Jun-17,29.40,29.56,29.40,29.56,760
2-Jun-17,30.07,30.18,30.05,30.05,750
1-Jun-17,29.80,30.53,29.62,30.53,3669
31-May-17,30.53,30.68,30.22,30.57,3214
30-May-17,29.67,30.40,29.60,30.39,5371
26-May-17,28.51,28.75,28.51,28.75,606
25-May-17,28.52,28.70,28.24,28.40,8430
24-May-17,28.77,28.79,28.31,28.38,4730
23-May-17,30.21,30.27,30.04,30.04,2957
22-May-17,30.57,30.58,30.44,30.44,1059
19-May-17,31.22,31.22,29.58,29.58,2687
18-May-17,31.23,31.31,31.20,31.31,3213
17-May-17,30.81,30.92,27.03,30.92,2936
16-May-17,30.14,30.72,30.14,30.56,8389
15-May-17,30.81,30.95,30.02,30.30,6332
12-May-17,30.02,30.20,30.01,30.08,4399
11-May-17,29.24,29.27,29.24,29.24,1840
10-May-17,29.32,29.32,29.31,29.32,1128
9-May-17,29.32,29.43,29.32,29.36,3079
8-May-17,29.02,29.32,29.02,29.32,8485
5-May-17,28.12,28.12,27.95,28.00,3148
4-May-17,26.85,27.67,26.65,27.67,4906
3-May-17,26.86,26.96,26.64,26.96,4393
2-May-17,27.28,27.30,27.00,27.07,2582
1-May-17,27.28,27.44,27.15,27.20,7731
28-Apr-17,27.98,27.98,27.13,27.58,8773
27-Apr-17,27.88,28.08,27.65,28.06,2819
26-Apr-17,27.78,28.17,27.72,28.00,1374
25-Apr-17,27.46,27.82,27.20,27.78,1638
24-Apr-17,27.55,27.64,27.02,27.02,12725
21-Apr-17,27.54,27.70,27.34,27.63,8654
20-Apr-17,27.30,27.31,26.41,26.84,16162
19-Apr-17,28.59,28.59,27.49,27.63,13956
18-Apr-17,28.90,28.91,28.53,28.63,3483
17-Apr-17,28.85,29.00,28.55,28.94,29575
13-Apr-17,29.29,29.29,28.61,28.86,2262
12-Apr-17,29.51,29.51,29.31,29.36,727
11-Apr-17,29.55,29.84,29.42,29.75,1703
10-Apr-17,29.59,29.59,29.37,29.41,3906
7-Apr-17,30.07,30.24,29.92,30.23,7690
6-Apr-17,31.58,31.61,31.33,31.33,3052
5-Apr-17,31.59,31.91,31.59,31.85,4399
4-Apr-17,-,-,-,30.86,0
3-Apr-17,31.40,31.68,30.86,30.86,2610
31-Mar-17,31.49,31.49,31.49,31.49,131
30-Mar-17,31.72,31.72,31.49,31.49,750
29-Mar-17,31.75,31.75,31.30,31.45,8654
28-Mar-17,31.97,31.97,31.84,31.85,784
27-Mar-17,32.60,32.70,32.08,32.40,3742
24-Mar-17,32.41,32.41,32.30,32.30,750
23-Mar-17,32.37,32.80,32.36,32.78,1989
22-Mar-17,32.46,32.70,32.20,32.55,1884
21-Mar-17,32.65,32.89,32.20,32.89,7788
20-Mar-17,31.07,31.79,31.07,31.77,9434
17-Mar-17,30.34,30.34,30.28,30.31,2120
16-Mar-17,30.78,30.92,30.59,30.65,1940
15-Mar-17,31.02,31.24,30.77,30.89,2092
14-Mar-17,30.83,31.00,30.70,30.87,3610
13-Mar-17,29.79,30.38,29.79,30.38,11920
10-Mar-17,29.42,29.42,28.67,28.67,5501
9-Mar-17,28.61,28.64,28.50,28.50,9235
8-Mar-17,28.93,28.94,28.93,28.94,371
7-Mar-17,29.02,29.02,28.80,28.80,2570
6-Mar-17,29.43,29.59,29.16,29.27,14953
3-Mar-17,29.22,29.22,29.22,29.22,622
2-Mar-17,28.50,28.98,28.28,28.98,11133
1-Mar-17,28.66,28.83,28.65,28.83,1846
28-Feb-17,29.63,29.63,28.75,28.86,7603
27-Feb-17,30.17,30.18,29.74,29.87,1886
24-Feb-17,30.23,30.50,30.06,30.46,1565
23-Feb-17,30.30,30.69,30.09,30.64,2790
22-Feb-17,30.19,30.20,30.06,30.14,12290
21-Feb-17,29.88,30.28,29.86,30.28,2102
17-Feb-17,30.56,30.63,30.01,30.40,2118
16-Feb-17,30.52,31.02,30.35,31.02,5221
15-Feb-17,29.05,29.96,29.05,29.96,1859
14-Feb-17,29.33,29.33,28.77,28.77,3953
13-Feb-17,29.33,29.33,29.06,29.06,1556
10-Feb-17,29.89,29.89,29.43,29.48,3184
9-Feb-17,31.16,31.16,30.10,30.14,3278
8-Feb-17,30.40,30.40,30.33,30.40,850
7-Feb-17,30.62,30.62,30.21,30.38,1194
6-Feb-17,31.14,31.25,31.00,31.11,1088
3-Feb-17,31.45,31.66,31.40,31.43,1288
2-Feb-17,31.81,31.81,31.50,31.50,3574
1-Feb-17,32.10,32.10,31.92,31.92,894
31-Jan-17,32.23,32.23,31.79,31.79,7952
30-Jan-17,32.50,32.50,31.44,31.44,2302
27-Jan-17,32.23,32.23,31.56,31.56,5616
26-Jan-17,32.49,32.49,32.23,32.36,3096
25-Jan-17,32.90,33.17,32.90,33.17,429
24-Jan-17,32.96,33.29,32.88,33.26,5328
23-Jan-17,32.78,32.87,32.70,32.87,2610
