Date,Open,High,Low,Close,Volume
16-Jun-17,110.09,110.16,110.01,110.13,478565
15-Jun-17,110.08,110.08,109.96,110.07,224577
14-Jun-17,110.20,110.33,110.07,110.17,393927
13-Jun-17,109.83,109.89,109.75,109.86,429293
12-Jun-17,109.76,109.91,109.71,109.83,209318
9-Jun-17,109.76,109.87,109.71,109.86,129326
8-Jun-17,109.96,109.96,109.81,109.82,496888
7-Jun-17,110.06,110.07,109.94,110.01,211186
6-Jun-17,110.05,110.17,110.03,110.09,276787
5-Jun-17,109.88,109.98,109.88,109.92,185236
2-Jun-17,109.98,110.04,109.93,110.03,234775
1-Jun-17,109.71,109.78,109.65,109.77,309592
31-May-17,109.98,110.07,109.95,110.02,324683
30-May-17,109.96,110.00,109.85,109.98,350048
26-May-17,109.84,109.90,109.81,109.85,277612
25-May-17,109.88,109.90,109.78,109.80,281407
24-May-17,109.71,109.86,109.63,109.82,331252
23-May-17,109.85,109.92,109.68,109.68,324857
22-May-17,109.78,109.89,109.75,109.82,182762
19-May-17,109.89,109.90,109.75,109.90,243004
18-May-17,109.89,109.96,109.84,109.87,218962
17-May-17,109.88,109.97,109.74,109.96,308860
16-May-17,109.52,109.65,109.50,109.59,280628
15-May-17,109.46,109.54,109.42,109.49,204935
12-May-17,109.38,109.54,109.38,109.54,372247
11-May-17,109.03,109.16,108.97,109.14,392241
10-May-17,109.13,109.21,109.07,109.11,290066
9-May-17,109.01,109.09,108.96,109.09,783294
8-May-17,109.12,109.12,109.02,109.02,154208
5-May-17,109.12,109.18,109.08,109.15,232605
4-May-17,109.06,109.19,109.00,109.13,207602
3-May-17,109.37,109.38,109.20,109.21,418291
2-May-17,109.23,109.45,109.23,109.43,374439
1-May-17,109.37,109.44,109.20,109.25,478136
28-Apr-17,109.50,109.61,109.42,109.60,233216
27-Apr-17,109.40,109.58,109.40,109.53,284157
26-Apr-17,109.35,109.50,109.30,109.50,799932
25-Apr-17,109.40,109.48,109.28,109.30,303473
24-Apr-17,109.48,109.55,109.40,109.54,321548
21-Apr-17,109.66,109.72,109.60,109.62,291479
20-Apr-17,109.64,109.64,109.53,109.61,528442
19-Apr-17,109.75,109.78,109.57,109.64,415298
18-Apr-17,109.66,109.88,109.62,109.85,754520
17-Apr-17,109.61,109.67,109.45,109.50,237319
13-Apr-17,109.54,109.62,109.37,109.60,371077
12-Apr-17,109.32,109.50,109.21,109.45,210749
11-Apr-17,109.20,109.32,109.08,109.29,681061
10-Apr-17,109.00,109.07,108.91,109.03,399649
7-Apr-17,109.19,109.25,108.82,108.84,209453
6-Apr-17,109.03,109.15,108.90,109.15,451030
5-Apr-17,108.94,109.12,108.85,109.08,668399
4-Apr-17,109.02,109.09,108.90,108.91,334488
3-Apr-17,108.77,109.04,108.77,109.04,676351
31-Mar-17,108.88,108.97,108.84,108.96,275900
30-Mar-17,108.91,108.97,108.76,108.78,235154
29-Mar-17,108.82,108.99,108.82,108.97,224136
28-Mar-17,108.87,108.95,108.70,108.71,320155
27-Mar-17,108.93,109.03,108.83,108.86,334696
24-Mar-17,108.80,108.88,108.72,108.75,465365
23-Mar-17,108.83,108.86,108.69,108.79,386705
22-Mar-17,108.74,108.86,108.69,108.81,238903
21-Mar-17,108.47,108.74,108.44,108.67,581413
20-Mar-17,108.40,108.55,108.35,108.51,321028
17-Mar-17,108.41,108.44,108.32,108.41,190606
16-Mar-17,108.28,108.36,108.22,108.22,478222
15-Mar-17,107.89,108.39,107.84,108.36,619064
14-Mar-17,107.84,107.94,107.81,107.81,283081
13-Mar-17,107.89,107.95,107.83,107.85,530711
10-Mar-17,107.91,108.04,107.84,107.97,375023
9-Mar-17,107.96,108.00,107.83,107.90,535646
8-Mar-17,108.11,108.19,108.00,108.12,2051734
7-Mar-17,108.44,108.52,108.27,108.27,593559
6-Mar-17,108.50,108.58,108.46,108.54,387380
3-Mar-17,108.53,108.58,108.36,108.58,283761
2-Mar-17,108.56,108.61,108.36,108.47,430486
1-Mar-17,108.66,108.68,108.50,108.61,388220
28-Feb-17,109.20,109.28,109.09,109.17,393437
27-Feb-17,109.33,109.34,109.10,109.10,327964
24-Feb-17,109.18,109.41,109.16,109.35,351133
23-Feb-17,108.99,109.09,108.96,109.04,365592
22-Feb-17,108.91,108.93,108.64,108.82,437703
21-Feb-17,108.66,108.85,108.60,108.77,245139
17-Feb-17,108.76,108.80,108.71,108.78,299833
16-Feb-17,108.48,108.67,108.43,108.63,318768
