Date,Open,High,Low,Close,Volume
16-Jun-17,24.52,24.68,24.44,24.64,39164
15-Jun-17,24.71,24.83,24.47,24.58,78884
14-Jun-17,25.15,25.15,24.72,24.84,30216
13-Jun-17,25.27,25.49,25.18,25.19,12961
12-Jun-17,25.59,25.69,25.09,25.28,25221
9-Jun-17,25.79,25.92,25.66,25.82,12338
8-Jun-17,25.70,25.98,25.68,25.79,11036
7-Jun-17,25.53,25.78,25.51,25.72,17684
6-Jun-17,25.92,26.19,25.58,25.59,22182
5-Jun-17,26.00,26.07,25.84,25.93,24806
2-Jun-17,25.96,26.25,25.86,26.10,28842
1-Jun-17,25.61,26.07,25.60,25.89,37385
31-May-17,24.91,25.59,24.86,25.59,28406
30-May-17,24.94,25.05,24.83,24.97,70049
26-May-17,25.15,25.20,24.86,24.97,22802
25-May-17,24.92,25.18,24.78,25.15,32936
24-May-17,25.01,25.09,24.81,24.90,56488
23-May-17,25.11,25.24,25.01,25.05,54614
22-May-17,25.07,25.41,24.92,25.22,232800
19-May-17,24.77,25.15,24.77,25.15,11933
18-May-17,24.40,24.81,24.38,24.81,27531
17-May-17,24.70,24.78,24.65,24.65,10917
16-May-17,24.50,24.69,24.28,24.67,19926
15-May-17,25.51,25.51,24.50,24.52,39344
12-May-17,24.72,25.09,24.70,25.05,22640
11-May-17,24.70,24.70,24.15,24.52,28850
10-May-17,24.65,24.75,24.33,24.70,36615
9-May-17,24.94,25.38,24.69,24.76,42897
8-May-17,24.84,25.17,24.77,25.06,76555
5-May-17,25.48,25.48,24.61,24.73,32699
4-May-17,25.22,25.99,25.22,25.45,97098
3-May-17,24.48,25.72,23.36,25.60,109876
2-May-17,24.06,24.95,24.06,24.58,82202
1-May-17,24.44,24.44,24.00,24.06,45521
28-Apr-17,23.85,24.20,23.63,24.20,32720
27-Apr-17,23.10,23.80,23.10,23.70,85797
26-Apr-17,22.77,23.04,22.77,23.04,24519
25-Apr-17,22.34,22.75,22.34,22.73,26401
24-Apr-17,22.36,22.49,22.18,22.33,23963
21-Apr-17,22.42,22.60,22.35,22.39,15737
20-Apr-17,22.50,22.71,22.41,22.42,15664
19-Apr-17,22.61,22.61,22.38,22.55,14333
18-Apr-17,22.74,22.84,22.58,22.67,14445
17-Apr-17,22.66,22.80,22.65,22.74,12159
13-Apr-17,22.54,22.71,22.43,22.67,16619
12-Apr-17,22.72,22.88,22.58,22.60,6439
11-Apr-17,22.38,22.76,22.38,22.72,13086
10-Apr-17,22.45,22.52,22.37,22.40,16768
7-Apr-17,22.17,22.39,22.10,22.37,29515
6-Apr-17,21.91,22.24,21.90,22.20,8002
5-Apr-17,21.90,21.93,21.80,21.89,20380
4-Apr-17,21.96,22.10,21.85,21.90,31921
3-Apr-17,22.32,22.44,22.11,22.15,26159
31-Mar-17,22.32,22.35,22.12,22.31,11144
30-Mar-17,22.35,22.44,22.04,22.30,11031
29-Mar-17,22.28,22.38,22.26,22.31,5381
28-Mar-17,22.40,22.45,22.25,22.27,14309
27-Mar-17,22.92,22.92,22.34,22.46,37877
24-Mar-17,23.14,23.17,22.81,22.93,39258
23-Mar-17,23.09,23.16,22.67,23.14,28099
22-Mar-17,22.67,23.04,22.67,22.97,29470
21-Mar-17,22.65,22.69,22.50,22.64,11595
20-Mar-17,22.76,22.76,22.55,22.65,16529
17-Mar-17,22.82,22.82,22.54,22.59,3590
16-Mar-17,22.04,22.84,22.04,22.73,25951
15-Mar-17,22.47,22.65,22.43,22.65,7600
14-Mar-17,22.64,22.64,22.42,22.42,21781
13-Mar-17,22.29,22.65,22.29,22.57,17883
10-Mar-17,22.05,22.32,22.05,22.29,11602
9-Mar-17,22.08,22.25,22.08,22.14,6467
8-Mar-17,21.91,22.25,21.91,22.11,11129
7-Mar-17,21.87,22.05,21.87,21.99,11874
6-Mar-17,21.94,22.10,21.85,21.91,18879
3-Mar-17,22.11,22.11,21.88,21.93,24377
2-Mar-17,22.31,22.47,22.13,22.13,21790
1-Mar-17,22.29,22.51,22.28,22.29,11793
28-Feb-17,22.04,22.29,22.02,22.28,12522
27-Feb-17,21.76,22.20,21.76,22.06,17320
24-Feb-17,21.98,22.02,21.77,21.96,26887
23-Feb-17,22.05,22.07,21.94,21.94,24973
22-Feb-17,22.20,22.38,22.03,22.05,20218
21-Feb-17,22.16,22.58,22.16,22.30,25510
17-Feb-17,21.83,22.35,21.83,22.24,33455
16-Feb-17,22.06,22.26,21.96,21.99,19090
15-Feb-17,22.26,22.44,22.09,22.10,12470
14-Feb-17,21.76,22.26,21.76,22.16,32413
13-Feb-17,22.14,22.14,21.76,21.81,88039
10-Feb-17,22.35,22.49,22.11,22.16,29627
9-Feb-17,22.46,22.46,22.27,22.28,36914
8-Feb-17,22.65,22.73,22.35,22.35,15599
7-Feb-17,22.43,22.70,22.43,22.68,17154
6-Feb-17,22.40,22.55,22.37,22.47,25846
3-Feb-17,22.24,22.39,22.22,22.34,14677
2-Feb-17,21.77,22.31,21.77,22.21,60375
1-Feb-17,22.16,22.16,21.83,21.96,15381
31-Jan-17,21.92,22.26,21.92,22.02,30613
30-Jan-17,22.03,22.17,21.93,21.94,50536
27-Jan-17,22.17,22.39,22.17,22.24,24265
26-Jan-17,22.73,22.74,22.15,22.17,30308
25-Jan-17,22.35,22.76,22.35,22.73,25088
24-Jan-17,22.51,22.65,22.36,22.38,17576
23-Jan-17,22.72,22.72,22.35,22.53,40633
20-Jan-17,22.83,22.83,22.48,22.60,22216
19-Jan-17,22.58,22.84,22.58,22.82,14262
18-Jan-17,22.84,22.97,22.57,22.71,18997
17-Jan-17,22.69,22.86,22.55,22.69,31692
13-Jan-17,22.36,22.65,22.31,22.55,18784
12-Jan-17,22.66,22.70,22.25,22.43,54365
11-Jan-17,23.00,23.00,22.53,22.55,116146
10-Jan-17,22.35,22.63,22.16,22.60,98700
9-Jan-17,22.09,22.13,21.57,22.09,30670
6-Jan-17,22.32,22.32,21.77,21.94,27642
5-Jan-17,22.25,22.35,22.05,22.10,34957
4-Jan-17,21.76,22.10,21.76,22.05,24331
3-Jan-17,22.56,22.56,21.69,21.71,72279
30-Dec-16,22.33,22.64,22.18,22.36,31353
29-Dec-16,22.52,22.88,22.28,22.42,31617
28-Dec-16,22.10,22.49,22.10,22.45,40077
27-Dec-16,21.99,22.20,21.78,22.20,37153
23-Dec-16,22.41,22.41,21.75,21.91,65779
22-Dec-16,22.31,22.43,22.24,22.33,71760
21-Dec-16,22.01,22.30,21.86,22.30,40412
20-Dec-16,22.50,22.53,21.92,22.04,106326
19-Dec-16,22.44,22.44,21.90,22.37,116316
16-Dec-16,21.68,22.14,21.60,22.10,75441
15-Dec-16,21.36,21.58,21.18,21.56,30501
14-Dec-16,21.48,21.53,21.31,21.35,43945
13-Dec-16,21.49,21.56,21.35,21.44,37440
12-Dec-16,21.23,21.49,20.89,21.46,63802
9-Dec-16,21.00,21.07,20.59,21.06,57630
8-Dec-16,20.80,21.24,20.65,20.90,54751
7-Dec-16,20.50,20.79,20.49,20.71,35487
6-Dec-16,19.88,20.48,19.77,20.40,63388
5-Dec-16,19.61,19.88,19.61,19.82,66636
2-Dec-16,19.93,19.93,19.58,19.63,59949
1-Dec-16,20.27,20.49,19.91,19.96,34986
30-Nov-16,20.19,20.32,19.99,20.21,30152
29-Nov-16,20.16,20.16,19.92,19.93,65360
28-Nov-16,20.54,20.55,20.15,20.16,66192
25-Nov-16,20.24,20.51,20.24,20.48,77901
23-Nov-16,20.16,20.18,20.02,20.18,187151
22-Nov-16,20.09,20.11,19.99,20.05,102826
21-Nov-16,19.88,20.16,19.66,20.08,319487
18-Nov-16,19.72,19.72,19.52,19.62,65005
17-Nov-16,19.72,19.76,19.45,19.62,54289
16-Nov-16,19.23,19.69,19.23,19.64,16468
15-Nov-16,19.33,19.33,19.05,19.18,11967
14-Nov-16,19.48,19.48,19.01,19.27,16680
11-Nov-16,19.39,19.52,19.29,19.37,14591
10-Nov-16,19.12,19.30,19.02,19.23,22067
9-Nov-16,19.11,19.16,18.91,19.05,13300
8-Nov-16,18.65,19.19,18.65,19.00,16398
7-Nov-16,19.03,19.03,18.61,18.81,18186
4-Nov-16,19.20,19.20,18.64,18.90,86259
3-Nov-16,19.29,19.37,19.02,19.24,25247
2-Nov-16,19.38,19.57,19.36,19.56,19809
1-Nov-16,19.35,19.44,19.18,19.29,42785
31-Oct-16,19.35,19.35,19.19,19.28,51496
28-Oct-16,19.12,19.33,19.11,19.33,30894
27-Oct-16,18.80,19.19,18.73,19.14,33019
26-Oct-16,18.84,18.87,18.72,18.80,15262
25-Oct-16,18.77,18.88,18.67,18.82,64434
24-Oct-16,18.45,18.76,18.45,18.71,88122
21-Oct-16,17.87,18.30,17.85,18.17,82924
20-Oct-16,17.68,17.87,17.51,17.80,122333
19-Oct-16,17.79,17.79,17.38,17.41,233432
18-Oct-16,17.76,17.82,17.60,17.62,40641
17-Oct-16,17.61,17.78,17.54,17.65,36646
14-Oct-16,17.65,17.95,17.51,17.56,58019
13-Oct-16,17.93,18.01,17.73,17.78,30750
12-Oct-16,17.82,18.21,17.75,17.89,37592
11-Oct-16,18.02,18.24,17.82,17.82,37225
10-Oct-16,18.44,18.44,17.81,17.94,42306
7-Oct-16,18.46,18.49,18.30,18.36,9875
6-Oct-16,18.23,18.56,18.17,18.44,18448
5-Oct-16,18.40,18.41,18.00,18.24,36960
4-Oct-16,18.24,18.72,18.23,18.46,37099
3-Oct-16,18.34,18.40,18.00,18.27,27027
30-Sep-16,19.02,19.02,18.12,18.20,64890
29-Sep-16,19.15,19.25,19.03,19.07,4922
28-Sep-16,19.12,19.17,18.77,19.10,26298
27-Sep-16,19.71,19.73,19.05,19.06,23783
26-Sep-16,19.75,19.80,19.52,19.73,4365
23-Sep-16,19.79,19.91,19.50,19.86,8412
22-Sep-16,19.97,20.12,19.76,19.79,9344
21-Sep-16,19.86,20.14,19.86,20.01,56083
20-Sep-16,19.83,19.96,19.70,19.96,5929
19-Sep-16,19.95,19.95,19.80,19.82,1143
16-Sep-16,19.83,20.19,19.83,20.18,1135
15-Sep-16,19.87,20.10,19.85,19.95,3907
14-Sep-16,19.99,19.99,19.77,19.86,15923
13-Sep-16,20.47,20.47,20.00,20.06,52110
12-Sep-16,20.53,20.95,20.51,20.61,11353
9-Sep-16,20.29,20.70,20.26,20.48,9798
8-Sep-16,20.52,20.58,20.31,20.37,6113
7-Sep-16,19.81,20.53,19.81,20.53,29092
6-Sep-16,20.20,20.20,19.78,19.79,22365
2-Sep-16,20.87,21.00,20.31,20.34,9975
1-Sep-16,21.21,21.37,20.95,20.98,4411
31-Aug-16,21.10,21.42,21.10,21.26,3174
30-Aug-16,20.93,21.32,20.76,21.31,3921
29-Aug-16,20.92,21.02,20.81,20.84,7086
26-Aug-16,20.81,21.40,20.81,21.04,7841
25-Aug-16,21.14,21.16,20.83,20.88,7989
24-Aug-16,21.31,21.36,21.14,21.16,25172
23-Aug-16,21.54,21.54,21.31,21.36,21271
22-Aug-16,21.59,21.72,21.46,21.48,3778
19-Aug-16,21.50,21.63,21.41,21.63,25711
18-Aug-16,21.80,21.80,21.42,21.48,9130
17-Aug-16,21.66,21.70,21.58,21.70,1551
16-Aug-16,22.20,22.20,21.68,21.72,7812
15-Aug-16,21.88,22.20,21.88,22.20,5282
12-Aug-16,21.61,21.85,21.38,21.83,5272
11-Aug-16,21.79,21.95,21.53,21.54,6219
10-Aug-16,21.58,21.77,21.51,21.77,5317
9-Aug-16,21.66,21.81,21.64,21.65,1911
8-Aug-16,21.88,21.92,21.66,21.66,4824
