Date,Open,High,Low,Close,Volume
16-Jun-17,26.18,26.46,25.79,26.23,336309
15-Jun-17,25.84,26.09,25.52,26.09,65361
14-Jun-17,26.17,26.33,25.81,26.06,86465
13-Jun-17,25.43,26.42,25.00,26.21,207508
12-Jun-17,26.55,26.60,26.03,26.07,109731
9-Jun-17,26.61,26.73,26.18,26.54,52022
8-Jun-17,26.10,26.64,26.10,26.55,82995
7-Jun-17,26.31,26.67,26.07,26.15,68681
6-Jun-17,26.25,26.60,25.81,26.41,66402
5-Jun-17,26.34,26.68,26.19,26.24,51499
2-Jun-17,26.82,26.88,26.24,26.39,39995
1-Jun-17,27.08,27.12,26.64,26.86,59432
31-May-17,26.99,27.10,26.48,26.85,176477
30-May-17,26.90,27.19,26.66,27.03,104519
26-May-17,26.62,26.98,26.32,26.86,80925
25-May-17,26.93,27.32,26.56,26.56,51280
24-May-17,26.54,26.96,25.80,26.90,118212
23-May-17,26.37,26.66,25.96,26.54,38687
22-May-17,26.55,26.55,25.96,26.19,63445
19-May-17,25.95,26.65,25.71,26.47,231621
18-May-17,25.61,25.99,25.38,25.87,113784
17-May-17,25.80,26.06,25.50,25.62,85629
16-May-17,26.00,26.15,25.25,26.05,288883
15-May-17,26.15,26.22,25.89,26.00,262098
12-May-17,25.36,26.64,25.36,25.98,1766815
11-May-17,25.26,25.52,25.24,25.31,51469
10-May-17,25.09,25.50,25.09,25.23,106740
9-May-17,25.01,25.26,24.83,25.18,78273
8-May-17,24.77,25.37,24.62,24.99,61518
5-May-17,24.77,25.02,24.60,24.74,314775
4-May-17,24.92,25.16,24.64,24.79,144620
3-May-17,25.69,25.69,24.94,25.18,66087
2-May-17,25.54,25.73,25.50,25.58,52620
1-May-17,25.88,25.97,25.42,25.50,234846
28-Apr-17,25.96,25.96,25.58,25.68,55812
27-Apr-17,25.84,26.20,25.74,25.84,108889
26-Apr-17,25.47,25.89,25.35,25.85,94228
25-Apr-17,25.63,25.71,24.85,25.45,192035
24-Apr-17,25.64,26.00,25.51,25.56,39730
21-Apr-17,25.40,25.53,25.12,25.46,48193
20-Apr-17,25.10,25.55,25.10,25.38,39180
19-Apr-17,25.05,25.36,24.89,25.18,80189
18-Apr-17,24.69,25.12,24.32,25.04,55279
17-Apr-17,24.92,24.95,24.67,24.74,40737
13-Apr-17,24.87,25.36,24.75,24.77,77530
12-Apr-17,24.56,24.87,24.48,24.76,77170
11-Apr-17,24.46,24.54,24.14,24.51,81698
10-Apr-17,24.52,24.67,24.38,24.53,54155
7-Apr-17,24.40,24.56,24.32,24.44,22841
6-Apr-17,24.16,24.56,24.16,24.42,30675
5-Apr-17,24.54,24.74,24.15,24.23,33352
4-Apr-17,24.37,24.56,24.12,24.39,69452
3-Apr-17,24.46,24.54,24.08,24.21,33160
31-Mar-17,24.22,24.49,24.00,24.42,79604
30-Mar-17,24.09,24.41,24.05,24.20,116499
29-Mar-17,23.99,24.29,23.78,24.00,598511
28-Mar-17,24.02,24.18,23.88,24.00,71606
27-Mar-17,23.72,24.11,23.71,23.96,40979
24-Mar-17,24.13,24.34,23.95,24.03,47645
23-Mar-17,23.61,24.17,23.61,23.73,32014
22-Mar-17,23.50,24.39,23.50,23.63,37423
21-Mar-17,23.94,23.94,23.34,23.54,106442
20-Mar-17,24.25,24.25,23.73,23.79,52709
17-Mar-17,23.71,24.26,23.37,24.25,290894
16-Mar-17,23.42,23.74,22.31,23.51,120040
15-Mar-17,23.22,23.67,23.14,23.48,39284
14-Mar-17,23.15,23.34,22.98,23.19,38063
13-Mar-17,23.38,23.68,23.18,23.32,27191
10-Mar-17,23.18,23.28,23.05,23.20,25109
9-Mar-17,23.14,23.27,22.88,23.11,144044
8-Mar-17,23.73,23.89,23.19,23.19,32667
7-Mar-17,23.83,24.08,23.69,23.74,82040
6-Mar-17,23.95,24.02,23.64,23.86,87710
3-Mar-17,23.67,23.97,23.50,23.80,187590
2-Mar-17,23.88,24.10,23.51,23.77,136380
1-Mar-17,24.37,24.70,23.59,24.13,336202
28-Feb-17,23.82,24.38,23.64,24.33,158140
27-Feb-17,23.97,24.07,23.14,23.98,120643
24-Feb-17,24.11,24.14,23.84,23.93,113768
23-Feb-17,24.50,24.61,23.90,24.11,168064
22-Feb-17,23.75,24.30,23.75,24.18,121410
21-Feb-17,24.25,24.25,23.85,23.95,179575
17-Feb-17,23.49,24.17,23.43,24.06,289842
16-Feb-17,23.61,23.74,23.03,23.74,208547
15-Feb-17,23.88,24.22,23.60,23.61,280115
14-Feb-17,23.39,23.81,23.27,23.65,159094
13-Feb-17,23.74,23.94,22.95,23.32,394170
10-Feb-17,23.71,23.97,23.65,23.81,32719
9-Feb-17,23.75,23.83,23.48,23.66,49736
8-Feb-17,23.41,23.76,23.14,23.51,90514
7-Feb-17,23.47,23.80,23.37,23.49,60271
6-Feb-17,23.77,23.77,23.22,23.61,28512
3-Feb-17,23.47,23.73,23.47,23.71,87742
2-Feb-17,23.12,23.44,23.03,23.36,88912
1-Feb-17,23.08,23.24,22.78,23.05,63885
31-Jan-17,23.53,23.58,22.72,22.85,139715
30-Jan-17,23.81,23.81,23.07,23.58,108112
27-Jan-17,23.81,24.19,23.66,23.97,106465
26-Jan-17,23.52,23.97,23.39,23.97,64350
25-Jan-17,23.05,23.65,22.92,23.38,123453
24-Jan-17,22.74,23.19,22.72,23.04,278487
23-Jan-17,22.75,22.78,22.42,22.61,87768
20-Jan-17,22.72,22.90,22.67,22.77,83536
