Date,Open,High,Low,Close,Volume
16-Jun-17,14.13,14.14,14.08,14.12,1476493
15-Jun-17,13.98,14.06,13.96,14.06,1042920
14-Jun-17,14.23,14.28,14.00,14.00,1195785
13-Jun-17,14.20,14.27,14.14,14.25,890102
12-Jun-17,14.33,14.37,14.19,14.19,2584098
9-Jun-17,14.27,14.36,14.26,14.32,1205953
8-Jun-17,14.23,14.31,14.22,14.24,1348112
7-Jun-17,14.40,14.44,14.21,14.24,1661839
6-Jun-17,14.32,14.45,14.30,14.44,1064098
5-Jun-17,14.34,14.37,14.29,14.34,1512718
2-Jun-17,14.42,14.47,14.36,14.42,1460636
1-Jun-17,14.59,14.61,14.48,14.49,2487408
31-May-17,14.61,14.64,14.52,14.59,2029202
30-May-17,14.74,14.80,14.70,14.75,2592972
26-May-17,14.80,14.89,14.78,14.87,1106224
25-May-17,15.05,15.10,14.74,14.76,1306361
24-May-17,15.08,15.14,15.03,15.09,1150897
23-May-17,15.17,15.18,15.09,15.12,1361183
22-May-17,15.15,15.21,15.14,15.17,1975353
19-May-17,14.96,15.07,14.95,15.07,736627
18-May-17,14.72,14.85,14.68,14.78,841738
17-May-17,14.81,14.88,14.75,14.82,3215022
16-May-17,14.77,14.79,14.72,14.72,755684
15-May-17,14.83,14.83,14.69,14.70,893761
12-May-17,14.66,14.66,14.58,14.62,788714
11-May-17,14.63,14.67,14.59,14.62,1312198
10-May-17,14.43,14.60,14.42,14.56,2232071
9-May-17,14.43,14.44,14.31,14.33,1472964
8-May-17,14.39,14.46,14.32,14.40,1583092
5-May-17,14.32,14.49,14.31,14.46,2436220
4-May-17,14.46,14.47,14.24,14.26,3352873
3-May-17,14.70,14.70,14.57,14.61,2146443
2-May-17,14.82,14.84,14.63,14.67,3161977
1-May-17,14.81,14.89,14.80,14.83,3598660
28-Apr-17,14.87,14.90,14.78,14.80,2065889
27-Apr-17,14.80,14.84,14.71,14.84,919028
26-Apr-17,14.94,15.05,14.90,14.92,5213778
25-Apr-17,14.89,15.01,14.86,15.00,1586409
24-Apr-17,14.97,14.97,14.89,14.93,1767648
21-Apr-17,15.15,15.15,14.95,14.98,1585084
20-Apr-17,15.22,15.24,15.11,15.13,1847358
19-Apr-17,15.47,15.48,15.13,15.19,2094492
18-Apr-17,15.44,15.49,15.35,15.46,1462969
17-Apr-17,15.61,15.63,15.52,15.52,1866010
13-Apr-17,15.63,15.65,15.56,15.61,2122972
12-Apr-17,15.56,15.64,15.52,15.56,1429337
11-Apr-17,15.52,15.59,15.44,15.56,1391664
10-Apr-17,15.48,15.53,15.45,15.53,945755
