Date,Open,High,Low,Close,Volume
6-Jun-17,78.61,78.61,76.25,76.88,4194109
5-Jun-17,80.15,80.34,78.49,79.28,2324803
2-Jun-17,80.49,80.93,79.85,80.43,1892758
1-Jun-17,78.03,80.58,78.01,80.56,3956971
31-May-17,78.27,78.38,76.43,77.70,3429315
30-May-17,78.08,78.99,77.82,78.17,1980261
26-May-17,79.15,80.46,77.71,78.28,2182268
25-May-17,76.02,81.00,76.00,78.80,6420361
24-May-17,78.86,79.14,76.72,78.08,5007179
23-May-17,80.85,80.91,78.59,78.85,3588356
22-May-17,79.62,81.10,79.35,80.92,2126697
19-May-17,78.97,80.00,78.32,79.68,2163076
18-May-17,78.34,79.45,77.83,79.00,1856336
17-May-17,79.16,79.60,77.66,78.08,2763820
16-May-17,80.78,81.13,78.88,79.10,2625728
15-May-17,81.50,82.05,80.78,80.94,1595703
12-May-17,81.31,81.35,80.33,81.29,1633673
11-May-17,82.35,83.04,81.15,81.49,1396043
10-May-17,82.53,83.33,82.33,83.02,1217158
9-May-17,82.46,83.48,82.33,82.78,1870947
8-May-17,82.13,82.37,81.68,82.29,1279141
5-May-17,82.38,82.68,81.65,82.00,1543458
4-May-17,82.10,82.56,81.70,81.96,2386539
3-May-17,81.73,82.39,81.41,81.92,2472893
2-May-17,80.75,82.10,80.50,81.70,3348388
1-May-17,83.07,83.21,80.66,80.75,3632078
28-Apr-17,82.98,83.21,82.23,82.77,2393323
27-Apr-17,81.73,83.14,81.49,83.13,3065563
26-Apr-17,81.00,82.42,80.69,81.73,2962589
25-Apr-17,80.28,80.82,79.37,80.69,1942648
24-Apr-17,80.02,80.50,79.45,79.79,2245067
21-Apr-17,79.73,79.79,78.68,78.81,2285036
20-Apr-17,78.45,80.50,78.45,79.57,4098646
19-Apr-17,77.81,78.90,77.49,78.02,2262769
18-Apr-17,76.73,77.81,76.53,77.43,2173059
17-Apr-17,76.67,76.94,76.17,76.83,1806281
13-Apr-17,77.19,77.60,76.45,76.46,1851776
12-Apr-17,76.80,77.52,76.54,77.14,1939309
11-Apr-17,77.68,77.75,76.41,77.08,2283364
10-Apr-17,77.67,78.65,77.42,77.74,1551626
