Date,Open,High,Low,Close,Volume
6-Jun-17,59.70,59.70,58.69,59.45,943159
5-Jun-17,58.95,59.32,58.79,58.84,571460
2-Jun-17,58.48,59.21,58.48,59.04,768408
1-Jun-17,58.47,58.60,57.80,58.42,839577
31-May-17,58.55,58.76,58.05,58.51,1145586
30-May-17,58.03,58.62,58.00,58.32,1116650
26-May-17,57.47,58.32,57.14,58.17,1219449
25-May-17,56.70,57.75,56.70,57.75,1871621
24-May-17,55.72,56.69,55.46,56.66,858914
23-May-17,55.75,55.90,55.43,55.71,1416381
22-May-17,55.85,56.25,55.43,55.64,774551
19-May-17,55.77,56.08,55.49,55.69,728906
18-May-17,55.71,55.98,55.43,55.78,761604
17-May-17,56.32,56.70,55.66,55.66,730241
16-May-17,56.55,56.96,56.43,56.55,874282
15-May-17,56.37,56.88,56.24,56.56,752583
12-May-17,55.49,56.27,55.43,56.13,1180619
11-May-17,55.64,55.70,54.79,55.36,843111
10-May-17,55.23,55.72,54.86,55.69,619389
9-May-17,54.91,55.48,54.36,55.13,1070939
8-May-17,55.91,56.00,54.49,54.77,1229297
5-May-17,57.05,57.14,55.41,55.97,1643677
4-May-17,54.49,57.10,54.01,56.80,3266458
3-May-17,56.50,57.00,56.23,56.36,1869980
2-May-17,56.74,56.98,56.15,56.73,1017037
1-May-17,57.38,57.80,56.42,56.45,1976637
28-Apr-17,56.40,56.60,55.34,55.86,818384
27-Apr-17,55.04,57.08,55.04,56.46,2168978
26-Apr-17,54.87,55.38,54.74,55.14,1280186
25-Apr-17,54.95,55.90,54.80,54.90,2550304
24-Apr-17,55.45,55.84,55.18,55.53,1093688
21-Apr-17,55.04,55.24,54.62,55.20,695137
20-Apr-17,54.98,55.20,54.55,54.94,669963
19-Apr-17,54.61,55.22,54.11,54.87,1155804
18-Apr-17,53.93,54.63,53.39,54.47,1574891
17-Apr-17,53.67,54.09,53.54,53.80,947267
13-Apr-17,53.98,54.19,53.49,53.50,901824
12-Apr-17,54.20,54.38,53.79,54.07,1143953
11-Apr-17,53.50,54.27,53.50,54.26,871291
10-Apr-17,53.33,53.63,53.03,53.48,1064935
7-Apr-17,52.99,53.51,52.52,53.11,1400765
6-Apr-17,52.43,53.40,52.24,53.14,1344160
5-Apr-17,52.34,52.99,51.49,52.16,4425077
4-Apr-17,54.48,54.64,53.59,53.76,1552223
3-Apr-17,54.68,55.08,54.38,54.58,1480808
31-Mar-17,55.43,55.45,54.42,54.68,1346143
30-Mar-17,54.86,55.42,54.74,55.36,915644
29-Mar-17,54.25,55.22,54.15,54.91,2149800
28-Mar-17,55.71,56.34,55.50,56.11,1165004
27-Mar-17,55.33,55.70,55.07,55.66,1129176
24-Mar-17,56.24,56.32,54.51,55.98,2311297
23-Mar-17,57.88,58.43,56.95,57.00,1863814
22-Mar-17,57.13,57.98,56.95,57.93,1323310
21-Mar-17,56.99,57.24,56.53,57.14,1133589
20-Mar-17,56.60,56.91,56.30,56.68,978868
17-Mar-17,55.83,56.77,55.69,56.53,1455969
16-Mar-17,55.04,55.86,54.93,55.64,1704349
15-Mar-17,54.46,55.37,54.17,55.06,891819
14-Mar-17,54.08,54.35,53.89,54.25,413387
13-Mar-17,53.93,54.21,53.60,54.15,590696
10-Mar-17,53.82,54.16,53.63,53.95,515222
9-Mar-17,53.87,54.08,53.50,53.61,859394
8-Mar-17,53.74,54.37,53.67,54.02,678700
7-Mar-17,54.16,54.20,53.77,53.80,689594
6-Mar-17,54.36,54.57,53.83,54.08,1160996
3-Mar-17,55.55,55.55,54.62,54.79,714296
2-Mar-17,55.52,55.80,55.23,55.45,810431
1-Mar-17,55.25,55.60,54.93,55.49,1156060
28-Feb-17,55.01,55.32,54.72,55.01,1220740
27-Feb-17,54.52,55.13,54.46,55.02,809407
24-Feb-17,54.62,54.93,54.43,54.69,870895
23-Feb-17,54.70,54.89,54.48,54.76,1171568
22-Feb-17,54.36,54.96,54.36,54.64,1099102
21-Feb-17,55.00,55.47,54.40,54.93,2267248
17-Feb-17,54.75,55.18,54.45,55.01,1116918
16-Feb-17,55.23,55.54,54.56,54.95,1278378
15-Feb-17,55.60,55.65,54.79,55.22,1175352
14-Feb-17,54.48,55.56,54.48,55.41,1293375
13-Feb-17,56.11,56.30,54.73,54.77,1570706
10-Feb-17,54.20,56.10,54.14,55.92,3499654
9-Feb-17,53.62,55.99,53.50,54.13,5926640
8-Feb-17,51.26,52.59,51.20,51.97,2865137
7-Feb-17,51.15,51.32,50.87,51.03,1473680
6-Feb-17,51.53,51.74,51.02,51.08,1042286
3-Feb-17,50.86,51.93,50.86,51.59,1114216
2-Feb-17,50.84,51.02,50.57,50.81,873790
1-Feb-17,52.02,52.02,50.54,50.87,1095031
31-Jan-17,51.98,52.24,51.22,51.87,1021753
30-Jan-17,51.69,52.23,51.46,51.98,886086
27-Jan-17,51.77,51.88,51.28,51.82,960607
26-Jan-17,52.02,52.29,51.70,51.70,938298
25-Jan-17,51.81,52.64,51.81,52.01,561641
24-Jan-17,51.59,52.00,51.45,51.73,748955
23-Jan-17,51.02,51.50,50.70,51.44,1062802
20-Jan-17,50.91,51.15,50.71,51.02,536661
19-Jan-17,51.22,51.46,50.60,50.77,655136
18-Jan-17,51.25,51.44,50.85,51.38,813738
17-Jan-17,51.72,51.82,51.05,51.30,684482
13-Jan-17,51.65,52.04,51.42,51.84,1102596
12-Jan-17,51.05,51.51,50.54,51.42,1579134
11-Jan-17,51.24,51.34,50.26,50.94,2444982
10-Jan-17,51.83,52.37,51.44,51.63,2063555
9-Jan-17,51.40,52.04,51.24,51.83,829416
6-Jan-17,51.96,52.21,51.15,51.47,2238730
5-Jan-17,52.62,53.14,51.44,51.79,2277811
4-Jan-17,51.77,52.78,51.54,52.70,1860237
3-Jan-17,52.72,52.82,51.75,52.30,1797087
30-Dec-16,53.24,53.43,52.31,52.44,792701
29-Dec-16,53.27,53.60,53.07,53.23,502743
28-Dec-16,53.51,53.74,52.76,53.14,663464
27-Dec-16,53.49,53.67,53.16,53.23,666207
23-Dec-16,53.85,54.26,53.05,53.59,561328
22-Dec-16,54.76,54.76,53.70,54.04,986984
21-Dec-16,54.55,55.20,54.48,54.64,1042718
20-Dec-16,54.97,55.83,54.56,54.69,871025
19-Dec-16,55.64,55.84,54.37,54.69,1804012
16-Dec-16,53.55,56.13,53.50,55.44,5349435
15-Dec-16,53.57,53.95,53.10,53.58,696047
14-Dec-16,53.61,53.94,53.17,53.29,847390
13-Dec-16,53.34,53.96,52.91,53.72,723410
12-Dec-16,53.97,54.11,52.68,53.20,914851
9-Dec-16,54.35,54.50,53.75,53.99,893740
8-Dec-16,54.28,54.70,54.00,54.31,638652
7-Dec-16,53.62,54.22,53.29,54.18,739306
6-Dec-16,53.18,53.57,52.79,53.47,936216
5-Dec-16,54.41,54.73,53.02,53.28,1400007
