Date,Open,High,Low,Close,Volume
16-Jun-17,8.59,8.59,8.53,8.56,217240
15-Jun-17,8.58,8.60,8.54,8.60,181506
14-Jun-17,8.55,8.61,8.55,8.58,180899
13-Jun-17,8.56,8.61,8.53,8.54,164747
12-Jun-17,8.65,8.65,8.55,8.57,188004
9-Jun-17,8.63,8.65,8.62,8.65,176673
8-Jun-17,8.66,8.67,8.62,8.62,124995
7-Jun-17,8.65,8.69,8.64,8.65,144773
6-Jun-17,8.66,8.69,8.64,8.64,164823
5-Jun-17,8.63,8.70,8.63,8.67,226393
2-Jun-17,8.64,8.70,8.62,8.65,275796
1-Jun-17,8.65,8.67,8.63,8.64,192829
31-May-17,8.64,8.65,8.62,8.63,121511
30-May-17,8.65,8.67,8.62,8.62,209032
26-May-17,8.64,8.67,8.63,8.66,138805
25-May-17,8.64,8.66,8.61,8.64,124617
24-May-17,8.62,8.66,8.60,8.64,108890
23-May-17,8.57,8.62,8.56,8.62,97021
22-May-17,8.57,8.58,8.55,8.57,116460
19-May-17,8.54,8.57,8.54,8.57,83082
18-May-17,8.49,8.54,8.47,8.52,142066
17-May-17,8.62,8.62,8.48,8.51,326388
16-May-17,8.64,8.66,8.63,8.63,148995
15-May-17,8.63,8.74,8.63,8.73,320172
12-May-17,8.65,8.66,8.62,8.65,117753
11-May-17,8.65,8.67,8.61,8.65,154181
10-May-17,8.62,8.68,8.62,8.62,102094
9-May-17,8.64,8.65,8.63,8.65,87927
8-May-17,8.65,8.66,8.63,8.63,111504
5-May-17,8.61,8.65,8.61,8.65,63244
4-May-17,8.65,8.65,8.58,8.60,163215
3-May-17,8.62,8.65,8.62,8.65,165942
2-May-17,8.62,8.64,8.60,8.60,156886
1-May-17,8.63,8.64,8.60,8.62,223206
28-Apr-17,8.55,8.64,8.54,8.64,270352
27-Apr-17,8.56,8.58,8.52,8.52,181664
26-Apr-17,8.52,8.56,8.52,8.55,153019
25-Apr-17,8.54,8.56,8.52,8.52,133782
24-Apr-17,8.51,8.55,8.50,8.55,150216
21-Apr-17,8.47,8.51,8.46,8.47,115123
20-Apr-17,8.45,8.49,8.45,8.48,84102
19-Apr-17,8.50,8.50,8.45,8.45,130420
18-Apr-17,8.48,8.50,8.45,8.50,104810
17-Apr-17,8.50,8.50,8.47,8.49,98316
13-Apr-17,8.48,8.49,8.46,8.48,111289
12-Apr-17,8.52,8.55,8.52,8.52,132385
11-Apr-17,8.53,8.55,8.51,8.51,232671
10-Apr-17,8.49,8.56,8.48,8.54,174348
7-Apr-17,8.46,8.49,8.45,8.48,175706
6-Apr-17,8.45,8.46,8.43,8.46,134562
5-Apr-17,8.42,8.47,8.42,8.44,131491
4-Apr-17,8.40,8.45,8.39,8.41,268195
3-Apr-17,8.44,8.45,8.40,8.43,288595
31-Mar-17,8.42,8.46,8.40,8.40,233089
30-Mar-17,8.41,8.45,8.41,8.41,149693
29-Mar-17,8.40,8.43,8.39,8.40,161452
28-Mar-17,8.36,8.43,8.36,8.38,204986
27-Mar-17,8.33,8.36,8.32,8.35,102151
24-Mar-17,8.37,8.39,8.36,8.39,84291
23-Mar-17,8.33,8.35,8.32,8.35,128901
22-Mar-17,8.28,8.35,8.27,8.32,187459
21-Mar-17,8.37,8.38,8.29,8.29,277878
20-Mar-17,8.34,8.37,8.29,8.37,276633
17-Mar-17,8.29,8.33,8.28,8.33,155770
16-Mar-17,8.33,8.33,8.23,8.28,342243
15-Mar-17,8.22,8.32,8.18,8.30,382348
14-Mar-17,8.25,8.25,8.18,8.24,289605
13-Mar-17,8.35,8.35,8.24,8.26,308235
10-Mar-17,8.41,8.41,8.34,8.36,395540
9-Mar-17,8.45,8.46,8.32,8.39,570091
8-Mar-17,8.43,8.49,8.42,8.47,418390
7-Mar-17,8.56,8.56,8.42,8.45,528113
6-Mar-17,8.58,8.58,8.52,8.54,224132
3-Mar-17,8.55,8.58,8.50,8.55,438765
2-Mar-17,8.62,8.63,8.53,8.53,597375
1-Mar-17,8.63,8.68,8.61,8.66,336763
28-Feb-17,8.63,8.65,8.59,8.62,397728
27-Feb-17,8.67,8.68,8.59,8.61,372640
24-Feb-17,8.61,8.63,8.59,8.63,245357
23-Feb-17,8.57,8.60,8.56,8.59,280142
22-Feb-17,8.53,8.56,8.53,8.55,166565
21-Feb-17,8.53,8.53,8.51,8.52,209108
17-Feb-17,8.49,8.52,8.46,8.52,203632
16-Feb-17,8.51,8.52,8.48,8.48,196837
15-Feb-17,8.50,8.51,8.48,8.51,185024
14-Feb-17,8.48,8.50,8.47,8.50,224212
13-Feb-17,8.49,8.53,8.46,8.47,245491
10-Feb-17,8.50,8.53,8.49,8.53,314923
9-Feb-17,8.52,8.53,8.47,8.49,741150
8-Feb-17,8.54,8.54,8.46,8.52,576256
7-Feb-17,8.55,8.55,8.48,8.53,845012
6-Feb-17,8.57,8.57,8.47,8.52,630619
3-Feb-17,8.57,8.57,8.53,8.57,323237
2-Feb-17,8.55,8.57,8.53,8.55,262561
1-Feb-17,8.55,8.59,8.51,8.51,381852
31-Jan-17,8.49,8.57,8.49,8.49,284577
30-Jan-17,8.50,8.54,8.47,8.49,136407
27-Jan-17,8.53,8.56,8.51,8.52,205977
26-Jan-17,8.52,8.55,8.50,8.50,225021
25-Jan-17,8.54,8.54,8.52,8.52,325188
24-Jan-17,8.47,8.51,8.46,8.50,313348
23-Jan-17,8.43,8.46,8.41,8.44,159316
20-Jan-17,8.42,8.45,8.41,8.41,218791
19-Jan-17,8.45,8.47,8.42,8.42,261584
18-Jan-17,8.49,8.53,8.45,8.45,142487
17-Jan-17,8.45,8.50,8.44,8.46,310811
13-Jan-17,8.48,8.48,8.44,8.45,247383
12-Jan-17,8.44,8.48,8.43,8.44,265285
11-Jan-17,8.52,8.53,8.50,8.53,295722
10-Jan-17,8.47,8.50,8.45,8.50,203899
9-Jan-17,8.52,8.54,8.43,8.43,374360
6-Jan-17,8.49,8.50,8.41,8.49,269800
5-Jan-17,8.46,8.54,8.40,8.48,586182
4-Jan-17,8.49,8.55,8.47,8.55,490476
3-Jan-17,8.48,8.52,8.38,8.45,609958
30-Dec-16,8.42,8.48,8.42,8.48,387083
29-Dec-16,8.41,8.46,8.40,8.44,543402
28-Dec-16,8.32,8.41,8.32,8.41,290479
27-Dec-16,8.31,8.34,8.27,8.30,222383
23-Dec-16,8.31,8.31,8.27,8.31,146047
22-Dec-16,8.29,8.31,8.25,8.29,204549
21-Dec-16,8.25,8.28,8.24,8.28,172636
20-Dec-16,8.26,8.29,8.25,8.28,253820
