Date,Open,High,Low,Close,Volume
16-Jun-17,9.15,9.17,9.06,9.06,16825
15-Jun-17,9.11,9.11,8.99,9.10,24425
14-Jun-17,9.13,9.15,9.05,9.14,31705
13-Jun-17,9.01,9.08,9.01,9.08,22669
12-Jun-17,8.97,9.12,8.95,8.95,21045
9-Jun-17,9.12,9.14,9.01,9.02,35000
8-Jun-17,9.12,9.12,9.06,9.11,20950
7-Jun-17,9.01,9.12,8.96,9.12,21701
6-Jun-17,8.95,9.03,8.93,8.93,11197
5-Jun-17,9.11,9.11,8.96,8.96,18001
2-Jun-17,9.00,9.12,8.94,9.12,29454
1-Jun-17,8.98,8.99,8.90,8.98,30992
31-May-17,8.99,8.99,8.87,8.94,28589
30-May-17,8.89,8.94,8.86,8.86,40026
26-May-17,8.89,8.95,8.88,8.93,23919
25-May-17,8.95,8.95,8.88,8.88,21969
24-May-17,8.93,8.98,8.89,8.96,61102
23-May-17,8.93,8.95,8.85,8.91,47854
22-May-17,8.79,8.93,8.79,8.93,20589
19-May-17,8.86,8.89,8.77,8.77,27240
18-May-17,8.85,8.87,8.78,8.86,31351
17-May-17,8.93,8.93,8.80,8.83,45173
16-May-17,8.99,8.99,8.87,8.96,19765
15-May-17,8.92,8.94,8.87,8.94,28965
12-May-17,8.91,8.91,8.82,8.91,37908
11-May-17,9.03,9.05,8.96,9.01,43097
10-May-17,8.97,9.03,8.96,9.03,27019
9-May-17,8.97,8.98,8.94,8.96,13097
8-May-17,8.93,8.97,8.90,8.97,11404
5-May-17,8.97,8.97,8.85,8.93,43785
4-May-17,8.92,8.97,8.88,8.96,38484
3-May-17,8.89,8.96,8.87,8.90,17011
2-May-17,8.95,9.01,8.92,8.97,15614
1-May-17,8.99,9.04,8.94,8.94,43723
28-Apr-17,9.02,9.02,8.95,8.99,16670
27-Apr-17,8.97,8.99,8.96,8.99,19824
26-Apr-17,9.02,9.02,8.93,8.93,19182
25-Apr-17,9.01,9.08,8.90,9.02,53774
24-Apr-17,8.84,8.94,8.83,8.94,22344
21-Apr-17,8.88,8.90,8.78,8.78,31939
20-Apr-17,8.87,8.88,8.81,8.88,33953
19-Apr-17,8.85,8.85,8.74,8.81,76519
18-Apr-17,8.77,8.78,8.71,8.77,93413
17-Apr-17,8.76,8.76,8.70,8.70,25966
13-Apr-17,8.76,8.76,8.64,8.76,18253
12-Apr-17,8.72,8.76,8.58,8.76,70827
11-Apr-17,8.71,8.74,8.66,8.71,53499
10-Apr-17,8.72,8.74,8.66,8.71,31269
7-Apr-17,8.70,8.71,8.65,8.71,23018
6-Apr-17,8.63,8.70,8.63,8.69,26310
5-Apr-17,8.66,8.72,8.63,8.63,30195
4-Apr-17,8.76,8.76,8.67,8.67,76956
3-Apr-17,8.63,8.81,8.62,8.77,70286
31-Mar-17,8.67,8.67,8.61,8.63,26222
30-Mar-17,8.58,8.62,8.58,8.62,21753
29-Mar-17,8.52,8.58,8.52,8.57,26870
