Date,Open,High,Low,Close,Volume
16-Jun-17,13.22,13.26,13.18,13.24,24919
15-Jun-17,13.22,13.23,13.12,13.20,63529
14-Jun-17,13.52,13.52,13.36,13.44,20796
13-Jun-17,13.39,13.49,13.39,13.46,26204
12-Jun-17,13.43,13.43,13.30,13.39,28781
9-Jun-17,13.53,13.55,13.44,13.44,87808
8-Jun-17,13.54,13.55,13.46,13.53,26284
7-Jun-17,13.61,13.61,13.48,13.54,35213
6-Jun-17,13.60,13.63,13.55,13.63,21484
5-Jun-17,13.49,13.57,13.47,13.55,34570
2-Jun-17,13.55,13.58,13.47,13.52,29222
1-Jun-17,13.48,13.55,13.45,13.53,31057
31-May-17,13.54,13.54,13.45,13.49,61727
30-May-17,13.41,13.44,13.35,13.44,32211
26-May-17,13.50,13.51,13.44,13.49,102981
25-May-17,13.60,13.60,13.50,13.50,27141
24-May-17,13.44,13.54,13.44,13.47,66962
23-May-17,13.50,13.57,13.47,13.48,33309
22-May-17,13.42,13.49,13.41,13.47,28951
19-May-17,13.38,13.44,13.34,13.44,18888
18-May-17,13.15,13.28,13.15,13.27,18437
17-May-17,13.33,13.34,13.23,13.23,43872
16-May-17,13.43,13.45,13.38,13.43,18955
15-May-17,13.30,13.35,13.26,13.35,51949
12-May-17,13.23,13.30,13.21,13.29,21798
11-May-17,13.20,13.24,13.15,13.22,32642
10-May-17,13.24,13.32,13.21,13.24,18563
9-May-17,13.31,13.33,13.25,13.26,24824
8-May-17,13.31,13.31,13.22,13.27,26531
5-May-17,13.25,13.43,13.25,13.42,22845
4-May-17,13.14,13.26,13.14,13.24,13438
3-May-17,13.18,13.20,13.13,13.14,66699
2-May-17,13.20,13.25,13.17,13.23,53104
1-May-17,13.20,13.20,13.11,13.12,33947
28-Apr-17,13.02,13.15,13.02,13.07,54313
27-Apr-17,12.98,13.06,12.95,13.05,40800
26-Apr-17,12.82,12.93,12.82,12.90,292435
25-Apr-17,12.84,12.93,12.84,12.90,73060
24-Apr-17,12.70,12.77,12.70,12.77,40330
21-Apr-17,12.48,12.51,12.45,12.45,13345
20-Apr-17,12.49,12.55,12.48,12.48,14294
19-Apr-17,12.54,12.54,12.47,12.48,15710
18-Apr-17,12.55,12.58,12.50,12.51,15182
17-Apr-17,12.66,12.69,12.55,12.68,25443
13-Apr-17,12.63,12.64,12.54,12.54,52324
12-Apr-17,12.68,12.68,12.63,12.64,10018
11-Apr-17,12.60,12.70,12.56,12.70,31510
10-Apr-17,12.51,12.56,12.50,12.56,23393
7-Apr-17,12.60,12.63,12.57,12.62,17408
6-Apr-17,12.52,12.58,12.52,12.56,6143
5-Apr-17,12.50,12.59,12.50,12.52,46240
4-Apr-17,12.51,12.59,12.51,12.56,14239
3-Apr-17,12.56,12.60,12.49,12.57,24797
31-Mar-17,12.55,12.62,12.55,12.60,40229
30-Mar-17,12.58,12.58,12.45,12.45,44693
29-Mar-17,12.52,12.55,12.49,12.55,9145
28-Mar-17,12.50,12.56,12.49,12.56,25706
27-Mar-17,12.45,12.50,12.45,12.46,13735
24-Mar-17,12.55,12.55,12.40,12.45,20410
23-Mar-17,12.42,12.50,12.40,12.44,25352
22-Mar-17,12.39,12.46,12.38,12.46,15407
21-Mar-17,12.54,12.57,12.41,12.41,26485
20-Mar-17,12.46,12.52,12.45,12.47,52949
17-Mar-17,12.36,12.49,12.36,12.45,43063
16-Mar-17,12.37,12.37,12.32,12.37,20311
15-Mar-17,12.14,12.29,12.12,12.29,67982
14-Mar-17,12.22,12.24,12.14,12.14,23959
13-Mar-17,12.29,12.31,12.26,12.29,25743
10-Mar-17,12.23,12.27,12.21,12.26,17098
9-Mar-17,12.18,12.23,12.17,12.19,12326
8-Mar-17,12.19,12.25,12.19,12.21,15194
7-Mar-17,12.20,12.30,12.20,12.27,9223
6-Mar-17,12.30,12.31,12.26,12.28,25651
3-Mar-17,12.28,12.34,12.22,12.33,17931
2-Mar-17,12.28,12.30,12.26,12.28,17639
1-Mar-17,12.30,12.42,12.30,12.35,154001
28-Feb-17,12.20,12.25,12.19,12.21,11648
27-Feb-17,12.13,12.18,12.11,12.17,20732
24-Feb-17,12.26,12.26,12.10,12.23,115592
23-Feb-17,12.48,12.51,12.33,12.33,52292
22-Feb-17,12.47,12.54,12.41,12.52,43724
21-Feb-17,12.49,12.50,12.41,12.50,17414
17-Feb-17,12.53,12.53,12.44,12.47,13368
16-Feb-17,12.50,12.58,12.50,12.57,29358
15-Feb-17,12.44,12.50,12.44,12.50,42309
14-Feb-17,12.48,12.48,12.41,12.44,14879
13-Feb-17,12.45,12.46,12.40,12.40,60853
10-Feb-17,12.32,12.38,12.27,12.37,19774
9-Feb-17,12.36,12.38,12.32,12.35,24084
8-Feb-17,12.17,12.33,12.17,12.32,51753
7-Feb-17,12.21,12.21,12.16,12.20,15326
6-Feb-17,12.28,12.28,12.20,12.25,27762
3-Feb-17,12.36,12.38,12.28,12.38,61798
2-Feb-17,12.31,12.33,12.25,12.25,14976
1-Feb-17,12.31,12.32,12.23,12.27,17274
31-Jan-17,12.14,12.23,12.14,12.19,45767
30-Jan-17,12.16,12.17,12.09,12.17,50361
