Date,Open,High,Low,Close,Volume
16-Jun-17,48.53,48.53,47.89,48.25,1836714
15-Jun-17,47.69,48.76,47.30,48.35,2820030
14-Jun-17,48.06,48.82,47.27,48.67,4288985
13-Jun-17,48.21,48.61,47.98,48.46,2908993
12-Jun-17,47.60,48.12,47.11,47.75,3250026
9-Jun-17,46.35,47.60,46.23,47.51,6970608
8-Jun-17,44.80,46.34,44.71,45.79,3706507
7-Jun-17,44.35,45.03,44.06,44.85,2528708
6-Jun-17,43.97,44.40,43.65,44.04,1880677
5-Jun-17,44.54,45.19,44.40,44.58,1398703
2-Jun-17,44.06,44.94,43.90,44.51,2812787
1-Jun-17,43.71,44.66,43.15,44.65,2246999
31-May-17,43.95,44.00,42.53,43.36,2488565
30-May-17,44.50,44.50,43.68,43.89,1322919
26-May-17,44.53,44.93,44.30,44.70,1120326
25-May-17,44.85,45.30,44.56,44.86,2375493
24-May-17,44.45,44.64,44.07,44.54,1813523
23-May-17,43.60,44.51,43.19,44.23,2022657
22-May-17,43.39,43.64,42.83,43.39,1980430
19-May-17,42.31,43.50,42.22,42.88,2133967
18-May-17,41.58,42.56,41.32,41.97,2979975
17-May-17,42.90,43.33,41.39,41.68,4740247
16-May-17,44.75,44.80,44.07,44.48,1492000
15-May-17,43.87,44.71,43.83,44.55,1453936
12-May-17,43.71,43.90,43.08,43.59,1826371
11-May-17,44.45,44.50,43.20,44.10,2269883
10-May-17,44.05,44.82,43.97,44.75,1625256
9-May-17,45.06,45.23,43.96,44.32,1872497
8-May-17,45.43,45.44,44.57,44.85,1498608
5-May-17,45.47,45.49,44.69,45.12,1912701
4-May-17,45.43,45.65,44.45,45.06,2406639
3-May-17,44.48,44.97,44.23,44.86,2034650
2-May-17,44.87,45.05,44.21,44.74,2546705
1-May-17,44.47,45.13,44.10,44.72,3224458
28-Apr-17,45.25,45.32,44.02,44.10,2948498
27-Apr-17,45.96,46.13,44.76,45.32,2402875
26-Apr-17,45.81,46.54,45.42,45.61,3011889
25-Apr-17,45.52,46.22,45.50,45.69,3335935
24-Apr-17,44.98,45.25,44.47,44.81,3433276
21-Apr-17,43.89,44.06,42.92,43.07,3080200
20-Apr-17,43.00,44.09,42.56,43.93,3800314
19-Apr-17,43.11,43.51,42.12,42.38,2957988
18-Apr-17,42.60,43.10,41.94,42.63,3215893
17-Apr-17,41.78,43.30,41.48,43.26,3245590
13-Apr-17,42.35,43.20,41.40,41.45,5043572
12-Apr-17,43.35,43.50,42.45,42.65,3762422
11-Apr-17,43.22,43.55,42.34,43.55,3875826
10-Apr-17,43.68,44.32,43.12,43.55,2842716
7-Apr-17,43.40,44.31,43.07,43.65,3041964
6-Apr-17,43.32,44.33,42.61,43.91,2972060
5-Apr-17,44.76,45.23,43.18,43.27,5355712
4-Apr-17,43.49,44.23,43.49,43.88,2330478
3-Apr-17,44.56,44.79,42.98,44.15,3827226
31-Mar-17,44.78,45.11,44.40,44.40,2840073
30-Mar-17,43.69,45.25,43.65,45.02,3063685
29-Mar-17,44.10,44.17,43.46,43.75,2981005
28-Mar-17,42.58,44.54,42.58,44.12,4142242
27-Mar-17,41.51,42.90,41.08,42.75,4749499
24-Mar-17,43.89,44.22,42.69,43.45,4486500
23-Mar-17,42.99,44.70,42.82,43.51,4827119
22-Mar-17,42.87,43.47,41.94,43.13,6188936
21-Mar-17,46.81,46.84,43.02,43.17,7186015
20-Mar-17,47.07,47.21,46.28,46.37,3108143
17-Mar-17,48.38,48.44,47.18,47.32,2737102
16-Mar-17,48.25,48.85,47.92,48.23,2816527
15-Mar-17,47.77,48.24,47.47,47.88,4543980
14-Mar-17,47.38,47.56,46.72,47.51,2638321
13-Mar-17,47.72,47.98,47.27,47.79,2130779
10-Mar-17,48.48,48.51,46.81,47.58,3453943
9-Mar-17,47.90,48.61,47.11,47.68,3125683
8-Mar-17,49.13,49.29,47.57,47.63,3542803
7-Mar-17,48.31,48.53,47.85,48.11,2381982
6-Mar-17,48.54,48.82,47.92,48.55,2858466
3-Mar-17,49.18,49.55,48.75,49.32,3311206
2-Mar-17,50.87,50.92,48.90,48.96,4262324
1-Mar-17,49.80,51.11,49.56,50.66,5180269
28-Feb-17,47.93,48.04,47.29,47.79,2792754
27-Feb-17,47.61,48.36,47.61,48.22,2894864
24-Feb-17,47.03,47.68,46.98,47.67,3591609
23-Feb-17,48.27,48.33,47.35,48.26,3369419
22-Feb-17,47.50,48.13,47.41,47.95,2985910
21-Feb-17,47.47,48.00,47.40,47.87,4279168
17-Feb-17,46.46,47.04,46.11,47.00,2917942
16-Feb-17,47.00,47.25,46.34,47.06,4006652
15-Feb-17,46.87,47.28,45.99,47.10,4719446
14-Feb-17,45.30,46.40,44.90,46.33,4196224
13-Feb-17,44.56,45.69,44.53,45.23,3465138
10-Feb-17,43.95,44.26,43.55,44.00,3352880
9-Feb-17,42.62,43.69,42.48,43.56,3606138
8-Feb-17,42.32,42.41,41.74,42.25,2577078
7-Feb-17,43.29,43.43,42.52,42.67,2839936
6-Feb-17,42.70,43.56,42.69,42.88,2815425
3-Feb-17,42.68,43.44,42.38,43.28,5771887
2-Feb-17,40.90,41.63,40.45,41.25,2154952
1-Feb-17,42.18,42.62,41.02,41.24,3540691
31-Jan-17,41.52,42.19,41.04,41.50,3054241
30-Jan-17,42.05,42.11,41.08,42.01,3559276
27-Jan-17,43.38,43.41,42.59,42.75,2249828
26-Jan-17,43.42,43.72,43.08,43.43,3375951
