Date,Open,High,Low,Close,Volume
6-Jun-17,153.41,154.52,152.48,152.81,13427733
5-Jun-17,153.64,154.71,153.41,153.63,12520387
2-Jun-17,151.85,153.63,151.30,153.61,16854365
1-Jun-17,151.75,152.29,150.30,151.53,14530600
31-May-17,152.70,153.35,151.09,151.46,18023917
30-May-17,151.97,152.90,151.64,152.38,13226007
26-May-17,152.23,152.25,151.15,152.13,14996185
25-May-17,150.30,152.59,149.95,151.96,19891352
24-May-17,148.51,150.23,148.42,150.04,17940668
23-May-17,148.52,148.81,147.25,148.07,12817837
22-May-17,148.08,148.59,147.69,148.24,12586712
19-May-17,148.44,149.39,147.96,148.06,16187892
18-May-17,144.72,148.15,144.51,147.66,23031566
17-May-17,148.00,148.67,144.42,144.85,28300050
16-May-17,150.11,150.21,149.03,149.78,14550830
15-May-17,150.17,151.48,149.77,150.19,15064664
12-May-17,150.40,150.46,149.63,150.33,9598229
11-May-17,150.31,150.65,149.41,150.04,11841864
10-May-17,150.23,150.52,148.86,150.29,12080650
9-May-17,151.49,152.59,150.21,150.48,17453859
8-May-17,150.71,151.08,149.74,151.06,15827488
5-May-17,151.45,151.63,149.79,150.24,17148543
4-May-17,150.17,151.52,148.72,150.85,36225452
3-May-17,153.60,153.60,151.34,151.80,29782492
2-May-17,153.34,153.44,151.66,152.78,21870380
1-May-17,151.74,152.57,151.42,152.46,25218300
28-Apr-17,149.50,151.53,149.07,150.25,30652248
27-Apr-17,146.67,147.75,146.14,147.70,11275112
26-Apr-17,147.09,147.59,146.09,146.56,12394959
25-Apr-17,145.79,147.15,145.79,146.49,17767523
24-Apr-17,144.96,145.67,144.34,145.47,14407175
21-Apr-17,143.90,144.17,142.27,143.68,12382002
20-Apr-17,142.95,144.25,142.69,143.80,15968164
19-Apr-17,141.35,143.04,141.27,142.27,15563945
18-Apr-17,141.27,141.90,140.61,140.96,14807472
17-Apr-17,139.76,141.55,139.75,141.42,11519663
13-Apr-17,139.62,140.58,139.33,139.39,10965614
12-Apr-17,139.72,140.40,139.44,139.58,11612456
11-Apr-17,140.80,141.03,138.81,139.92,16638087
10-Apr-17,141.00,141.43,140.63,141.04,9039366
7-Apr-17,141.20,141.55,140.24,140.78,11818341
6-Apr-17,142.11,142.22,140.91,141.17,15103426
5-Apr-17,142.26,143.44,141.29,141.85,17158059
4-Apr-17,141.86,142.09,141.27,141.73,12948599
3-Apr-17,141.93,142.47,140.82,142.28,13563960
