Date,Open,High,Low,Close,Volume
5-Jun-17,36.30,36.50,36.20,36.34,11655132
2-Jun-17,36.27,36.33,36.00,36.32,19127420
1-Jun-17,36.12,36.13,35.80,36.12,17510915
31-May-17,36.31,36.38,35.87,36.11,17741896
30-May-17,36.27,36.44,36.09,36.18,13026915
26-May-17,36.26,36.33,36.13,36.26,11145523
25-May-17,36.12,36.39,36.06,36.26,13148542
24-May-17,35.98,36.18,35.89,36.12,20860257
23-May-17,35.87,35.99,35.56,35.86,16903704
22-May-17,35.48,36.11,35.38,35.77,14638066
19-May-17,35.15,35.55,35.13,35.40,18340127
18-May-17,35.19,35.47,35.08,35.22,17171872
17-May-17,35.67,35.99,35.02,35.04,26670188
16-May-17,35.75,35.89,35.42,35.82,22291843
15-May-17,35.54,35.72,35.42,35.63,22120137
12-May-17,35.72,35.74,35.40,35.53,19730842
11-May-17,35.91,36.00,35.45,35.69,21508923
10-May-17,36.27,36.38,35.93,36.01,25133822
9-May-17,36.48,36.75,36.28,36.37,17819144
8-May-17,36.73,36.85,36.48,36.54,17660214
5-May-17,36.86,36.93,36.50,36.82,18119243
4-May-17,36.99,37.11,36.64,36.85,16437088
3-May-17,36.72,37.17,36.62,36.98,22040256
2-May-17,36.37,37.03,36.35,36.97,35813021
1-May-17,36.11,36.40,35.94,36.31,24825614
28-Apr-17,36.10,36.48,35.88,36.15,56769258
27-Apr-17,36.87,37.50,36.78,37.43,39889967
26-Apr-17,36.78,37.23,36.78,36.93,27240993
25-Apr-17,36.77,37.00,36.66,36.87,22066776
24-Apr-17,36.67,36.85,36.46,36.75,26305762
21-Apr-17,36.20,36.42,35.85,36.32,20390513
20-Apr-17,36.18,36.27,35.86,36.18,22968262
19-Apr-17,35.97,36.22,35.89,35.91,16594635
18-Apr-17,35.43,35.81,35.30,35.76,12321050
17-Apr-17,35.44,35.59,35.33,35.48,12560746
13-Apr-17,35.55,35.76,35.25,35.25,15763996
12-Apr-17,35.87,36.01,35.50,35.63,19289787
11-Apr-17,35.77,35.79,35.21,35.74,22711830
10-Apr-17,36.02,36.09,35.61,35.80,19973723
7-Apr-17,36.07,36.32,35.98,36.03,15689513
6-Apr-17,36.13,36.28,36.03,36.03,20198223
5-Apr-17,36.43,36.76,36.17,36.22,22455525
4-Apr-17,36.12,36.38,35.99,36.28,18918045
3-Apr-17,36.19,36.74,36.12,36.16,32013641
31-Mar-17,35.75,36.25,35.74,36.07,21438385
30-Mar-17,35.58,35.89,35.52,35.75,16432950
29-Mar-17,35.52,35.70,35.44,35.57,17202642
28-Mar-17,35.34,35.71,35.21,35.60,18398148
27-Mar-17,35.07,35.50,34.94,35.39,16992235
24-Mar-17,35.65,35.73,35.12,35.16,22187960
23-Mar-17,35.49,35.49,35.02,35.27,20640352
22-Mar-17,35.22,35.46,35.00,35.37,19144498
21-Mar-17,35.59,35.60,35.00,35.04,22814547
20-Mar-17,35.37,35.63,35.26,35.43,17322274
17-Mar-17,35.31,35.33,35.10,35.27,30778867
16-Mar-17,35.17,35.36,35.07,35.14,19616053
15-Mar-17,34.94,35.17,34.68,35.10,27996095
14-Mar-17,35.06,35.23,34.66,35.18,28586871
13-Mar-17,35.85,36.04,34.94,35.16,53582931
10-Mar-17,36.12,36.30,35.78,35.91,25402348
9-Mar-17,35.60,35.94,35.50,35.82,23616786
8-Mar-17,35.67,35.90,35.52,35.62,20920148
7-Mar-17,35.54,35.80,35.38,35.80,23434893
6-Mar-17,35.79,35.80,35.42,35.57,24416732
3-Mar-17,35.94,36.08,35.67,35.90,17540896
2-Mar-17,35.93,36.02,35.65,35.91,23602100
1-Mar-17,35.85,36.10,35.44,35.93,34085869
28-Feb-17,36.42,36.46,36.00,36.20,24977011
27-Feb-17,36.42,36.68,36.27,36.51,14065236
24-Feb-17,36.14,36.53,35.95,36.53,18617592
23-Feb-17,36.24,36.30,35.90,36.18,22774979
22-Feb-17,36.34,36.40,35.79,36.07,29904370
21-Feb-17,36.53,36.65,36.33,36.52,20556017
17-Feb-17,36.32,36.48,36.10,36.48,18909888
16-Feb-17,36.18,36.56,36.10,36.41,21317455
