Date,Open,High,Low,Close,Volume
16-Jun-17,64.97,65.12,64.53,64.99,3131899
15-Jun-17,64.60,64.97,64.33,64.77,2251634
14-Jun-17,64.64,65.59,64.55,65.24,3874175
13-Jun-17,64.36,65.30,64.36,64.87,3174603
12-Jun-17,63.68,64.29,62.88,63.95,2793747
9-Jun-17,64.55,64.88,62.51,63.69,4220717
8-Jun-17,63.80,64.71,63.56,64.63,3905315
7-Jun-17,63.66,63.97,63.11,63.86,3272539
6-Jun-17,62.31,64.16,62.03,63.66,5598690
5-Jun-17,62.47,62.76,62.00,62.41,3044275
2-Jun-17,62.00,62.76,61.62,62.55,4715620
1-Jun-17,59.56,62.36,59.55,62.05,9716017
31-May-17,58.91,59.47,58.20,59.13,4644529
30-May-17,58.04,58.95,58.04,58.70,3143053
26-May-17,58.04,58.49,57.82,58.02,1741642
25-May-17,57.50,58.10,57.31,57.95,2303214
24-May-17,57.47,57.75,57.38,57.53,1751672
23-May-17,57.90,58.56,57.37,57.53,2673675
22-May-17,57.48,57.98,57.25,57.70,4428567
19-May-17,57.01,57.72,56.54,56.77,3950082
18-May-17,56.46,57.46,56.33,56.85,3643643
17-May-17,57.63,57.66,56.75,56.84,4702932
16-May-17,58.25,58.72,57.82,58.10,3220751
15-May-17,58.65,58.70,58.13,58.30,2662280
12-May-17,58.10,59.14,58.09,58.65,4192032
11-May-17,58.25,58.30,57.37,57.46,3400327
10-May-17,57.99,58.53,57.83,58.33,2842655
9-May-17,57.48,58.30,57.33,58.04,3084702
8-May-17,57.91,57.97,56.81,57.20,4730238
5-May-17,58.39,58.94,57.89,58.75,4270043
4-May-17,59.49,59.54,58.49,58.50,2609543
3-May-17,59.22,59.36,58.78,59.31,2237264
2-May-17,59.47,59.74,59.17,59.19,2684592
1-May-17,59.28,59.85,58.86,59.39,3437079
28-Apr-17,59.31,59.50,58.64,58.99,4141388
27-Apr-17,57.74,59.85,57.31,59.20,7873273
26-Apr-17,59.60,59.60,58.73,59.26,7849493
25-Apr-17,57.89,58.82,57.83,58.47,3674029
24-Apr-17,57.84,58.00,57.19,57.65,2941966
21-Apr-17,57.77,57.77,56.96,57.38,2722726
20-Apr-17,57.10,57.94,56.85,57.77,3622289
19-Apr-17,56.83,56.88,56.32,56.69,2637518
18-Apr-17,56.16,57.05,56.07,56.87,3170848
17-Apr-17,55.94,56.76,55.70,56.44,3024796
13-Apr-17,56.50,56.94,55.72,55.90,2513709
12-Apr-17,56.26,56.73,56.12,56.51,2674760
11-Apr-17,55.70,56.29,55.42,56.15,2868201
10-Apr-17,56.26,56.28,55.18,55.56,4896072
7-Apr-17,56.56,56.90,56.04,56.20,3132126
6-Apr-17,56.20,57.05,56.14,56.68,2761469
5-Apr-17,56.96,57.33,56.10,56.17,3583459
4-Apr-17,56.97,57.06,56.38,56.67,2889303
3-Apr-17,57.98,58.48,56.83,57.18,6519597
31-Mar-17,56.76,57.22,56.59,57.07,1973788
30-Mar-17,57.30,57.54,57.00,57.03,2469550
29-Mar-17,56.72,57.34,56.70,57.25,2836418
28-Mar-17,56.65,57.45,56.55,56.93,2985608
27-Mar-17,55.03,56.95,54.71,56.63,3301554
24-Mar-17,55.97,55.97,55.23,55.62,1999520
23-Mar-17,55.80,56.11,55.50,55.59,2609792
22-Mar-17,55.74,56.25,55.63,55.86,2998657
21-Mar-17,56.64,57.50,55.80,55.92,4341338
20-Mar-17,57.48,57.92,57.13,57.36,5675523
17-Mar-17,56.66,57.50,56.42,57.17,5484102
16-Mar-17,56.01,56.74,55.19,56.52,5761466
15-Mar-17,55.70,56.28,55.31,56.10,3603271
14-Mar-17,55.16,56.07,55.00,55.56,3706116
13-Mar-17,54.39,55.44,54.38,55.17,3961733
10-Mar-17,53.97,54.45,53.95,54.21,2582441
9-Mar-17,53.95,54.20,53.38,53.75,2444767
8-Mar-17,54.27,54.62,53.95,53.98,2274403
7-Mar-17,54.25,54.36,53.85,54.30,3265094
6-Mar-17,53.71,54.52,53.68,54.31,2974516
3-Mar-17,53.53,53.91,53.08,53.84,3176013
2-Mar-17,54.90,54.90,53.31,53.66,5064372
1-Mar-17,54.65,55.33,54.43,54.96,7705929
28-Feb-17,52.91,53.40,52.80,52.95,3081901
27-Feb-17,52.17,52.98,51.90,52.91,3463389
24-Feb-17,51.51,52.20,51.35,52.17,2432316
23-Feb-17,52.08,52.36,51.70,51.77,2412701
22-Feb-17,52.04,52.20,51.69,51.97,2108607
21-Feb-17,52.19,52.30,51.83,52.04,2277725
17-Feb-17,52.15,52.42,51.85,52.03,3044982
16-Feb-17,53.10,53.10,52.13,52.51,4684328
15-Feb-17,53.10,53.24,52.73,53.00,2811212
14-Feb-17,53.80,54.26,52.78,53.06,3362657
13-Feb-17,52.85,53.35,52.65,53.16,2892978
10-Feb-17,53.27,53.31,52.65,52.74,2378363
9-Feb-17,52.20,53.28,52.20,52.93,5184907
8-Feb-17,51.81,52.36,51.63,52.14,2913050
7-Feb-17,51.94,52.01,51.50,51.94,2848839
6-Feb-17,52.17,52.45,51.82,51.98,2458467
3-Feb-17,51.90,52.25,51.71,51.81,3640258
2-Feb-17,51.76,51.95,51.55,51.69,3946031
1-Feb-17,52.19,52.26,51.47,51.75,5836274
31-Jan-17,52.72,53.03,52.27,52.58,3394444
30-Jan-17,53.00,53.50,52.64,52.80,4023383
27-Jan-17,52.75,53.78,52.70,53.32,8064253
