Date,Open,High,Low,Close,Volume
16-Jun-17,6.55,6.55,6.49,6.55,1437725
15-Jun-17,6.50,6.52,6.47,6.52,2654535
14-Jun-17,6.71,6.71,6.59,6.65,1186294
13-Jun-17,6.68,6.75,6.68,6.74,1570113
12-Jun-17,6.66,6.70,6.60,6.64,2382153
9-Jun-17,6.67,6.74,6.64,6.68,2277688
8-Jun-17,6.63,6.72,6.63,6.67,2361857
7-Jun-17,6.50,6.60,6.50,6.57,2065357
6-Jun-17,6.45,6.54,6.43,6.46,2795129
5-Jun-17,6.42,6.46,6.39,6.43,1307030
2-Jun-17,6.43,6.50,6.41,6.48,2992440
1-Jun-17,6.22,6.26,6.20,6.25,1412956
31-May-17,6.24,6.25,6.18,6.22,1327237
30-May-17,6.24,6.27,6.22,6.26,1264824
26-May-17,6.24,6.25,6.21,6.24,676740
25-May-17,6.29,6.29,6.25,6.27,1142917
24-May-17,6.25,6.29,6.23,6.27,1159810
23-May-17,6.21,6.29,6.21,6.26,1268386
22-May-17,6.24,6.25,6.19,6.23,1311914
19-May-17,6.17,6.28,6.16,6.24,1279082
18-May-17,6.11,6.13,6.03,6.12,2852852
17-May-17,6.29,6.29,6.16,6.18,4160166
16-May-17,6.38,6.39,6.29,6.31,2034322
15-May-17,6.40,6.42,6.33,6.36,1481716
12-May-17,6.42,6.42,6.37,6.40,747591
11-May-17,6.48,6.49,6.42,6.45,771308
10-May-17,6.42,6.45,6.39,6.43,1432334
9-May-17,6.50,6.50,6.43,6.45,1093691
8-May-17,6.52,6.53,6.48,6.51,838597
5-May-17,6.48,6.49,6.45,6.49,1119613
4-May-17,6.48,6.52,6.39,6.42,1460518
3-May-17,6.48,6.50,6.44,6.48,1465756
2-May-17,6.40,6.50,6.40,6.50,2192974
1-May-17,6.39,6.40,6.34,6.37,1399942
28-Apr-17,6.40,6.40,6.33,6.34,1428420
27-Apr-17,6.50,6.51,6.44,6.46,2346901
26-Apr-17,6.50,6.51,6.47,6.47,936529
25-Apr-17,6.42,6.47,6.42,6.43,2423655
24-Apr-17,6.31,6.35,6.30,6.35,2945609
21-Apr-17,6.22,6.29,6.22,6.29,1579984
20-Apr-17,6.20,6.23,6.19,6.20,4024347
19-Apr-17,6.07,6.15,6.03,6.12,11004639
