Date,Open,High,Low,Close,Volume
6-Jun-17,147.82,149.69,146.80,147.34,18795017
5-Jun-17,142.98,148.53,142.51,148.01,20434442
2-Jun-17,144.24,145.30,143.40,143.64,12186434
1-Jun-17,144.99,145.03,142.52,144.36,12583467
31-May-17,146.69,147.00,142.05,144.35,22182894
30-May-17,143.70,146.29,143.05,144.87,24741298
26-May-17,137.93,145.28,137.11,141.84,19478497
25-May-17,140.00,140.03,136.44,138.26,15205701
24-May-17,140.96,141.07,138.08,138.57,20434495
23-May-17,139.70,139.79,135.71,137.03,17031247
22-May-17,137.77,139.48,137.33,138.90,20915225
19-May-17,137.02,138.22,135.22,136.00,25459271
18-May-17,129.50,133.43,127.05,133.07,28900757
17-May-17,134.10,134.86,127.55,127.72,31784158
16-May-17,136.38,137.44,133.36,136.81,28017471
15-May-17,129.56,134.41,129.38,134.31,27188548
12-May-17,126.63,129.60,125.78,127.89,24065459
11-May-17,120.05,130.43,119.91,126.50,48494808
10-May-17,114.29,121.82,114.02,121.29,53227434
9-May-17,103.00,104.93,102.66,102.94,21191792
8-May-17,104.34,104.40,102.31,102.77,9130990
5-May-17,103.38,104.15,102.75,103.86,5710736
4-May-17,104.50,104.95,103.53,103.85,5244692
3-May-17,103.20,104.64,102.60,104.25,8422633
2-May-17,105.55,105.60,102.56,103.48,15749327
1-May-17,104.74,106.85,104.45,106.64,7693333
28-Apr-17,105.36,105.64,104.07,104.30,8706157
27-Apr-17,104.32,105.98,103.59,105.64,7992465
26-Apr-17,105.29,105.39,103.94,104.02,8175145
25-Apr-17,103.54,105.33,102.67,104.74,9710972
24-Apr-17,102.96,103.48,102.11,102.95,9295490
21-Apr-17,100.84,101.79,100.36,101.68,8547390
20-Apr-17,100.27,101.45,99.41,101.26,10100358
19-Apr-17,100.00,100.98,99.41,99.68,9520659
18-Apr-17,98.65,99.54,97.60,99.29,9252944
17-Apr-17,96.01,99.24,95.80,99.23,12432305
13-Apr-17,96.33,97.21,95.49,95.49,12672345
12-Apr-17,98.12,98.70,97.10,97.31,10352296
11-Apr-17,96.55,98.90,96.35,98.12,15453747
10-Apr-17,100.36,100.63,97.60,97.77,18908264
7-Apr-17,101.02,101.73,99.72,100.33,10726650
6-Apr-17,100.24,101.25,98.41,100.76,15878004
5-Apr-17,100.02,102.37,99.50,100.03,18676232
4-Apr-17,103.40,104.42,100.34,100.78,31782004
3-Apr-17,108.95,109.65,107.42,108.38,11130813
31-Mar-17,109.01,109.89,108.40,108.93,11020165
30-Mar-17,107.63,110.00,107.40,109.40,13138349
29-Mar-17,107.99,108.49,107.25,107.34,8749791
28-Mar-17,108.30,108.89,107.27,107.69,10811109
27-Mar-17,105.58,108.40,103.58,108.25,12666100
24-Mar-17,108.97,109.29,106.42,107.47,10987546
23-Mar-17,107.75,108.56,106.70,107.09,13348542
22-Mar-17,105.46,108.26,105.30,108.07,15419106
21-Mar-17,108.75,109.96,105.58,105.91,22837103
20-Mar-17,106.78,109.61,106.13,109.45,18714152
