Date,Open,High,Low,Close,Volume
6-Jun-17,67.20,67.49,66.02,66.11,4350284
5-Jun-17,68.31,68.50,67.29,67.40,3597428
2-Jun-17,67.93,68.42,67.77,68.32,1853735
1-Jun-17,67.42,67.93,66.98,67.90,1979479
31-May-17,67.08,67.56,66.78,67.42,5185749
30-May-17,67.61,68.08,66.95,67.08,2841854
26-May-17,67.88,68.04,67.52,67.80,3631285
25-May-17,67.83,68.44,67.72,67.86,2221135
24-May-17,67.82,67.94,67.05,67.89,2485272
23-May-17,67.53,67.88,67.10,67.62,2099527
22-May-17,66.33,67.24,66.25,67.22,2736843
19-May-17,66.71,67.07,66.00,66.37,4974670
18-May-17,63.75,66.27,63.63,65.72,4936294
17-May-17,65.44,66.44,63.81,63.91,6304699
16-May-17,65.65,66.28,65.50,65.91,3436892
15-May-17,65.61,65.85,65.01,65.69,3484073
12-May-17,66.83,66.87,65.25,65.55,3731406
11-May-17,66.06,66.31,65.17,65.81,3044664
10-May-17,66.94,67.63,65.94,66.00,6144725
9-May-17,65.98,66.06,65.16,65.50,3383516
8-May-17,66.84,67.07,65.83,66.15,3889730
5-May-17,65.79,66.49,65.32,66.49,2707253
4-May-17,65.48,65.63,64.91,65.48,3368642
3-May-17,66.82,67.14,65.09,65.35,6369370
2-May-17,68.56,68.88,66.57,66.94,3769179
1-May-17,67.83,68.40,67.45,68.31,4259206
28-Apr-17,67.79,67.87,66.97,67.27,3814203
27-Apr-17,67.66,68.19,67.50,67.74,2909597
26-Apr-17,67.69,67.76,67.14,67.58,4727299
25-Apr-17,66.00,67.45,65.26,67.35,6728291
24-Apr-17,65.03,65.97,64.97,65.93,5564527
21-Apr-17,65.24,65.24,64.53,64.70,4858289
20-Apr-17,65.21,65.41,64.78,64.81,2612092
19-Apr-17,65.05,65.51,64.82,65.13,3405602
18-Apr-17,64.82,65.33,64.58,64.61,1977813
17-Apr-17,64.50,64.97,64.21,64.94,2387784
13-Apr-17,64.15,64.36,63.70,64.04,2275266
12-Apr-17,63.77,64.00,63.50,63.92,1549193
11-Apr-17,63.84,64.02,63.45,63.93,2524360
10-Apr-17,63.89,64.26,62.38,63.89,2386227
7-Apr-17,63.27,64.14,63.14,63.58,2507405
6-Apr-17,62.35,63.33,62.22,63.24,6159983
5-Apr-17,63.76,64.00,63.38,63.50,2958458
4-Apr-17,63.32,63.94,63.26,63.68,2605265
3-Apr-17,64.20,64.32,62.97,63.55,4087809
31-Mar-17,64.95,65.35,64.18,64.59,4431770
30-Mar-17,64.75,65.21,64.29,65.13,2954193
29-Mar-17,64.39,65.08,63.97,64.74,3681697
28-Mar-17,64.00,64.42,63.64,64.23,3404197
27-Mar-17,63.92,64.28,63.65,64.22,2595963
24-Mar-17,63.54,64.76,63.26,64.17,4322745
23-Mar-17,63.14,63.70,62.89,63.12,2169075
22-Mar-17,62.68,63.58,62.49,63.27,4034534
21-Mar-17,62.98,63.43,62.34,62.47,3416426
20-Mar-17,63.39,63.55,62.75,63.11,2092661
17-Mar-17,62.99,63.79,62.65,63.50,4563006
16-Mar-17,63.09,63.19,62.07,62.39,2882741
15-Mar-17,61.61,63.08,61.44,62.99,5470720
14-Mar-17,61.80,62.04,61.14,61.35,2309579
13-Mar-17,61.51,61.98,61.12,61.84,3604188
10-Mar-17,61.58,61.86,60.88,61.48,4446033
