Date,Open,High,Low,Close,Volume
16-Jun-17,143.37,146.84,142.63,144.31,965028
15-Jun-17,146.40,146.40,141.14,144.23,1196251
14-Jun-17,150.07,151.93,144.44,145.84,876290
13-Jun-17,144.49,150.37,141.05,148.94,1698851
12-Jun-17,139.53,143.41,131.82,142.67,1829719
9-Jun-17,139.70,140.74,125.05,138.78,3768952
8-Jun-17,141.76,142.85,138.16,139.67,574881
7-Jun-17,139.16,142.79,138.27,141.98,628052
6-Jun-17,141.85,142.98,137.01,138.75,989839
5-Jun-17,151.40,151.40,141.75,142.48,1150025
2-Jun-17,150.10,152.08,147.04,151.11,843076
1-Jun-17,146.79,152.30,143.10,149.22,1920697
31-May-17,144.17,168.92,140.23,149.31,4478675
30-May-17,149.46,150.74,142.07,143.43,1046790
26-May-17,152.84,156.22,148.58,149.11,675370
25-May-17,157.29,159.25,152.80,153.19,674543
24-May-17,156.16,156.72,152.50,155.73,572657
23-May-17,154.28,156.75,152.80,155.17,801852
22-May-17,152.29,155.29,149.57,154.47,593997
19-May-17,156.00,163.72,151.72,152.34,905145
18-May-17,146.23,156.01,144.07,155.23,1055636
17-May-17,148.10,152.14,144.74,145.40,812802
16-May-17,145.70,154.45,145.70,149.51,1325570
15-May-17,146.30,149.13,144.61,145.55,499974
12-May-17,141.36,149.15,141.36,145.60,822251
11-May-17,139.43,145.61,138.55,142.73,710546
10-May-17,138.25,142.49,136.39,139.45,775563
9-May-17,136.90,139.59,136.00,137.89,633994
8-May-17,145.00,145.00,135.80,136.87,849559
5-May-17,143.85,145.95,141.52,145.13,516897
4-May-17,141.00,146.46,140.01,143.59,591478
3-May-17,142.72,143.62,139.69,140.81,490131
2-May-17,147.25,148.97,142.88,143.28,674062
1-May-17,147.93,149.89,145.50,147.01,652144
28-Apr-17,147.60,148.51,143.57,147.59,596630
27-Apr-17,143.00,147.77,139.41,146.61,589459
26-Apr-17,138.85,142.72,138.03,142.01,994541
25-Apr-17,138.00,139.60,136.50,138.44,639186
24-Apr-17,137.15,138.01,135.23,137.15,542902
21-Apr-17,138.83,140.41,135.15,136.01,743982
20-Apr-17,144.50,147.92,131.00,139.01,3954308
19-Apr-17,147.05,150.40,145.52,148.00,652943
18-Apr-17,145.68,146.94,143.82,146.01,585329
17-Apr-17,148.30,148.30,145.00,146.14,417683
13-Apr-17,143.35,147.08,142.02,146.50,646431
12-Apr-17,142.40,144.49,142.00,143.33,602909
11-Apr-17,143.15,144.50,139.34,141.07,780489
10-Apr-17,143.58,144.78,141.78,143.85,704449
7-Apr-17,142.07,144.18,140.80,143.37,956005
6-Apr-17,145.55,147.28,140.69,142.64,1500595
5-Apr-17,149.37,150.99,144.45,145.60,829218
4-Apr-17,148.74,150.90,148.11,149.19,411467
3-Apr-17,153.02,154.90,148.79,148.97,1025395
31-Mar-17,150.65,154.80,149.31,153.87,769172
30-Mar-17,151.62,153.44,148.00,150.86,938089
29-Mar-17,154.27,156.68,150.17,151.88,1088017
28-Mar-17,167.45,167.48,149.44,154.90,2958591
27-Mar-17,157.80,159.50,153.61,156.73,1014636
24-Mar-17,156.32,161.72,154.21,160.00,997141
23-Mar-17,155.95,158.94,153.15,153.62,844857
22-Mar-17,149.64,156.04,146.27,155.78,733036
21-Mar-17,152.01,153.45,149.04,149.67,888044
20-Mar-17,150.20,153.06,148.87,152.05,513460
17-Mar-17,152.66,153.12,149.70,149.99,1631804
16-Mar-17,152.75,154.95,150.18,153.25,1514961
15-Mar-17,148.88,155.89,145.00,152.75,2974442
14-Mar-17,171.75,171.80,141.47,153.65,5036899
13-Mar-17,173.19,175.96,168.58,171.84,781535
10-Mar-17,174.61,176.04,168.68,173.30,738621
9-Mar-17,178.08,179.77,171.01,173.06,803865
8-Mar-17,177.39,184.00,175.12,177.72,616560
7-Mar-17,176.68,179.20,174.01,177.14,470681
6-Mar-17,178.06,179.98,175.55,178.20,508198
3-Mar-17,173.50,182.41,173.10,180.84,581569
2-Mar-17,177.61,180.92,172.56,174.04,1272903
1-Mar-17,186.62,189.97,177.42,178.95,1398240
28-Feb-17,187.35,189.20,183.16,188.37,883816
27-Feb-17,182.91,188.63,182.91,187.42,551673
24-Feb-17,184.18,190.40,183.22,186.90,656242
23-Feb-17,190.59,190.74,181.54,185.94,892202
22-Feb-17,189.39,192.78,188.25,189.94,558839
