Date,Open,High,Low,Close,Volume
6-Jun-17,81.65,82.88,81.51,82.22,3269644
5-Jun-17,81.66,82.38,81.66,81.88,2589852
2-Jun-17,81.96,81.97,80.86,81.63,4725875
1-Jun-17,82.61,82.86,81.22,81.49,4320112
31-May-17,82.20,83.24,82.18,82.49,6503879
30-May-17,81.00,82.20,81.00,81.97,3258121
26-May-17,80.86,81.18,80.32,81.12,2812210
25-May-17,80.49,80.99,79.98,80.79,3226356
24-May-17,80.30,80.30,79.74,80.05,3671524
23-May-17,80.50,80.55,79.45,79.69,3683711
22-May-17,80.48,80.93,80.05,80.37,3672132
19-May-17,79.39,81.04,79.30,80.30,7506592
18-May-17,78.92,79.69,78.42,79.23,4930933
17-May-17,81.54,82.06,78.61,78.68,6401785
16-May-17,81.88,82.32,81.45,82.27,3918527
15-May-17,80.65,81.62,80.46,81.55,3596083
12-May-17,80.77,80.77,80.28,80.69,2648943
11-May-17,80.20,80.68,79.65,80.40,3168525
10-May-17,79.98,80.67,79.77,80.49,5180353
9-May-17,79.38,79.83,79.27,79.45,4433906
8-May-17,79.70,79.82,79.36,79.46,2776638
5-May-17,79.45,79.64,79.14,79.63,3653894
4-May-17,79.98,80.03,79.08,79.30,3241324
3-May-17,79.20,79.93,79.00,79.77,4665029
2-May-17,79.16,79.41,78.79,79.25,6234492
1-May-17,79.25,79.50,78.40,79.29,5065496
28-Apr-17,81.04,81.04,78.65,79.18,10522503
27-Apr-17,80.75,81.27,80.36,80.80,5762688
26-Apr-17,82.17,82.92,80.79,81.11,6763868
25-Apr-17,81.30,82.43,81.12,82.36,7604096
24-Apr-17,81.02,81.51,80.85,81.08,5129198
21-Apr-17,79.58,80.41,79.24,79.81,6314436
20-Apr-17,79.72,80.89,79.51,80.76,3586302
19-Apr-17,79.96,80.66,79.28,79.37,4673843
18-Apr-17,78.51,79.84,78.35,79.61,4529140
17-Apr-17,78.30,78.75,78.12,78.72,4462363
13-Apr-17,78.47,79.33,77.83,77.84,4658269
12-Apr-17,79.48,79.68,78.20,78.48,6335001
11-Apr-17,79.88,79.88,78.20,79.41,5321309
10-Apr-17,80.42,80.76,79.92,80.13,3314725
7-Apr-17,80.30,80.92,80.08,80.53,2686868
6-Apr-17,79.98,80.37,79.40,80.10,4178252
5-Apr-17,80.60,81.18,79.98,80.08,3548745
4-Apr-17,80.11,80.67,80.11,80.60,2761956
3-Apr-17,80.87,81.50,79.79,80.36,4564216
31-Mar-17,80.79,81.15,80.54,80.56,3761404
30-Mar-17,80.23,81.08,80.23,81.04,3372836
29-Mar-17,80.35,80.66,80.26,80.49,2811614
28-Mar-17,80.30,80.99,80.22,80.61,3578125
27-Mar-17,79.95,80.82,79.71,80.53,3260892
24-Mar-17,81.92,82.05,80.43,80.59,4100261
23-Mar-17,80.69,81.04,80.23,80.67,3335343
22-Mar-17,80.09,80.79,79.58,80.69,4307268
21-Mar-17,81.93,82.08,79.67,79.75,6221003
20-Mar-17,81.99,82.27,81.54,81.59,4383020
17-Mar-17,82.24,82.44,81.44,82.20,9232193
16-Mar-17,81.99,82.18,81.38,81.71,4195617
15-Mar-17,81.42,81.95,80.96,81.82,3668808
14-Mar-17,80.95,81.20,80.62,81.09,4271542
13-Mar-17,80.32,81.09,80.18,81.02,6082583
10-Mar-17,79.72,80.63,79.30,80.33,5118433
9-Mar-17,79.49,79.78,78.80,79.13,4255437
8-Mar-17,79.44,79.94,79.16,79.34,5386547
7-Mar-17,78.35,80.37,78.21,79.12,10556762
6-Mar-17,77.69,78.46,77.40,78.31,4066406
3-Mar-17,78.20,78.20,77.46,77.86,3994816
2-Mar-17,78.36,78.76,77.94,78.08,7605753
1-Mar-17,77.13,78.18,76.68,78.15,5332504
28-Feb-17,77.06,77.17,76.46,76.62,4770485
27-Feb-17,77.31,77.34,76.76,77.19,3055990
24-Feb-17,76.94,77.24,76.40,77.24,3516648
23-Feb-17,77.23,77.38,76.69,77.14,4921742
22-Feb-17,77.20,77.28,76.80,77.23,4057056
21-Feb-17,76.79,77.13,76.59,77.08,5104736
17-Feb-17,76.11,76.44,75.66,76.44,3955507
16-Feb-17,75.80,76.32,75.52,76.25,4882048
15-Feb-17,75.65,75.81,74.93,75.67,5731485
14-Feb-17,75.46,75.64,75.30,75.64,4000042
13-Feb-17,75.53,75.74,75.39,75.52,5466207
10-Feb-17,75.62,75.66,74.52,75.16,6289845
9-Feb-17,76.30,76.35,75.27,75.30,6950510
8-Feb-17,76.49,76.55,75.92,75.95,5864697
7-Feb-17,76.37,76.74,76.04,76.18,4500917
6-Feb-17,76.38,76.48,75.85,76.22,4632971
3-Feb-17,76.29,76.56,76.03,76.50,4546974
2-Feb-17,75.61,76.10,75.34,75.89,4434547
1-Feb-17,76.06,76.87,75.86,76.27,7815792
31-Jan-17,77.40,77.54,75.25,75.54,11129400
30-Jan-17,77.52,78.08,77.35,77.90,8355246
27-Jan-17,79.06,79.45,77.74,78.03,9737561
26-Jan-17,78.02,79.47,78.01,79.26,8991521
25-Jan-17,77.72,78.72,77.19,78.58,8119910
24-Jan-17,76.19,77.32,75.91,77.08,8561560
