Date,Open,High,Low,Close,Volume
6-Jun-17,9.60,9.79,9.42,9.68,446846
5-Jun-17,9.74,9.86,9.63,9.67,517912
2-Jun-17,9.52,9.80,9.44,9.74,597148
1-Jun-17,9.23,9.55,9.23,9.51,690231
31-May-17,9.32,9.39,8.88,9.19,541752
30-May-17,9.25,9.41,9.17,9.29,474546
26-May-17,9.43,9.43,9.11,9.27,514741
25-May-17,9.46,9.69,9.30,9.44,764047
24-May-17,9.42,9.64,9.26,9.38,996558
23-May-17,9.28,9.49,8.91,9.39,1646456
22-May-17,8.80,9.31,8.69,9.23,1870781
19-May-17,8.21,8.85,8.21,8.75,2591527
18-May-17,7.51,8.24,7.36,8.17,1416663
17-May-17,7.59,7.73,7.36,7.57,1003837
16-May-17,7.90,7.95,7.68,7.74,1339753
15-May-17,7.99,8.15,7.83,7.85,1030945
12-May-17,8.16,8.20,7.87,7.93,963989
11-May-17,8.41,8.44,8.08,8.18,1017550
10-May-17,8.48,8.53,8.25,8.45,917329
9-May-17,8.10,8.60,8.10,8.48,1427824
8-May-17,8.54,8.64,8.12,8.15,1391970
5-May-17,9.82,9.82,8.53,8.58,3204142
4-May-17,11.09,11.14,10.64,10.69,1045771
3-May-17,11.21,11.23,10.84,11.07,429235
2-May-17,10.91,11.28,10.86,11.25,692199
1-May-17,10.78,11.00,10.62,10.93,417811
28-Apr-17,11.25,11.25,10.62,10.66,489370
27-Apr-17,11.05,11.23,10.90,11.17,385559
26-Apr-17,10.87,11.07,10.76,10.94,583575
25-Apr-17,11.07,11.22,10.86,10.90,389317
24-Apr-17,10.79,11.14,10.68,10.97,482695
21-Apr-17,10.42,10.58,10.28,10.51,524694
20-Apr-17,10.33,10.51,10.16,10.41,428422
19-Apr-17,10.36,10.40,10.17,10.20,334849
18-Apr-17,10.17,10.33,10.05,10.27,225978
17-Apr-17,10.08,10.37,10.02,10.25,491480
13-Apr-17,10.31,10.39,10.01,10.02,475218
12-Apr-17,10.68,10.69,10.26,10.30,465836
11-Apr-17,10.95,10.96,10.47,10.74,488568
10-Apr-17,10.59,11.35,10.55,10.99,629829
7-Apr-17,10.62,10.72,10.45,10.47,341098
6-Apr-17,10.71,10.88,10.51,10.65,300899
5-Apr-17,10.97,11.26,10.66,10.67,415397
4-Apr-17,10.78,10.95,10.73,10.83,398841
3-Apr-17,11.02,11.09,10.75,10.80,524879
31-Mar-17,11.06,11.14,10.93,11.01,327149
30-Mar-17,11.00,11.28,10.95,11.08,315216
